time,translation_aligned_rms
0.0,0.10503207892179489
0.03125,0.16741257905960083
0.0625,0.19026125967502594
0.09375,0.1929067224264145
0.125,0.19995293021202087
0.15625,0.19628365337848663
0.1875,0.1990746408700943
0.21875,0.19369001686573029
0.25,0.19728653132915497
0.28125,0.1963535100221634
0.3125,0.19226467609405518
0.34375,0.18103307485580444
0.375,0.1737384796142578
0.40625,0.16936935484409332
0.4375,0.1422000676393509
0.46875,0.11678578704595566
0.5,0.0733788013458252
0.53125,0.08566732704639435
0.5625,0.09446872770786285
0.59375,0.08057691156864166
0.625,0.07148148864507675
0.65625,0.07011811435222626
0.6875,0.06525687128305435
0.71875,0.05948797985911369
0.75,0.049453675746917725
0.78125,0.04528801515698433
0.8125,0.037228215485811234
0.84375,0.027012158185243607
0.875,0.020186280831694603
0.90625,0.015003149397671223
0.9375,0.012774443253874779
0.96875,0.009165922179818153
1.0,0.0
