method,time,quantity,target_left,target_right,pairwise_rms,checkpoint_step
fm_only,0.9375,velocity_type_logit,0,1,0.08932790905237198,200
fm_only,0.9375,velocity_fractional_coordinate,0,1,0.017446544021368027,200
fm_only,0.9375,velocity_lattice_log,0,1,0.2776181101799011,200
fm_only,1.0,state_type_logit,0,1,0.09526021033525467,200
fm_only,1.0,state_fractional_coordinate,0,1,0.04130806028842926,200
fm_only,1.0,state_lattice_log,0,1,0.2960664927959442,200
fm_only,0.0,state_type_logit,0,1,0.0,400
fm_only,0.0,state_fractional_coordinate,0,1,0.0,400
fm_only,0.0,state_lattice_log,0,1,0.0,400
fm_only,0.0,velocity_type_logit,0,1,0.07968278974294662,400
fm_only,0.0,velocity_fractional_coordinate,0,1,0.05554162710905075,400
fm_only,0.0,velocity_lattice_log,0,1,0.2543620765209198,400
fm_only,0.0625,state_type_logit,0,1,0.004980175290256739,400
fm_only,0.0625,state_fractional_coordinate,0,1,0.0034713440109044313,400
fm_only,0.0625,state_lattice_log,0,1,0.01589762419462204,400
fm_only,0.0625,velocity_type_logit,0,1,0.07688767462968826,400
fm_only,0.0625,velocity_fractional_coordinate,0,1,0.04963516816496849,400
fm_only,0.0625,velocity_lattice_log,0,1,0.25025928020477295,400
fm_only,0.125,state_type_logit,0,1,0.009783808141946793,400
fm_only,0.125,state_fractional_coordinate,0,1,0.006572619080543518,400
fm_only,0.125,state_lattice_log,0,1,0.031538717448711395,400
fm_only,0.125,velocity_type_logit,0,1,0.0743398666381836,400
fm_only,0.125,velocity_fractional_coordinate,0,1,0.04416869953274727,400
fm_only,0.125,velocity_lattice_log,0,1,0.246355339884758,400
fm_only,0.1875,state_type_logit,0,1,0.014424667693674564,400
fm_only,0.1875,state_fractional_coordinate,0,1,0.00933013018220663,400
fm_only,0.1875,state_lattice_log,0,1,0.04693559184670448,400
fm_only,0.1875,velocity_type_logit,0,1,0.07202766835689545,400
fm_only,0.1875,velocity_fractional_coordinate,0,1,0.03912942484021187,400
fm_only,0.1875,velocity_lattice_log,0,1,0.24267856776714325,400
fm_only,0.25,state_type_logit,0,1,0.018916061148047447,400
fm_only,0.25,state_fractional_coordinate,0,1,0.01176900789141655,400
fm_only,0.25,state_lattice_log,0,1,0.06210244446992874,400
fm_only,0.25,velocity_type_logit,0,1,0.06993760168552399,400
fm_only,0.25,velocity_fractional_coordinate,0,1,0.03451378270983696,400
fm_only,0.25,velocity_lattice_log,0,1,0.23925580084323883,400
fm_only,0.3125,state_type_logit,0,1,0.023270802572369576,400
fm_only,0.3125,state_fractional_coordinate,0,1,0.013913621194660664,400
fm_only,0.3125,state_lattice_log,0,1,0.07705506682395935,400
fm_only,0.3125,velocity_type_logit,0,1,0.06805317848920822,400
fm_only,0.3125,velocity_fractional_coordinate,0,1,0.030322076752781868,400
fm_only,0.3125,velocity_lattice_log,0,1,0.23610088229179382,400
fm_only,0.375,state_type_logit,0,1,0.027501067146658897,400
fm_only,0.375,state_fractional_coordinate,0,1,0.015787627547979355,400
fm_only,0.375,state_lattice_log,0,1,0.09181027859449387,400
fm_only,0.375,velocity_type_logit,0,1,0.0663551390171051,400
fm_only,0.375,velocity_fractional_coordinate,0,1,0.02655721642076969,400
fm_only,0.375,velocity_lattice_log,0,1,0.2332090437412262,400
fm_only,0.4375,state_type_logit,0,1,0.03161820024251938,400
fm_only,0.4375,state_fractional_coordinate,0,1,0.017413951456546783,400
