variant,time,target,own_velocity_error,all_negative_velocity_error,own_target_margin,retrieved_condition,own_target_retrieval,score_own,score_negative,checkpoint_step
fm_only,0.0,0,1.7717406749725342,2.156370162963867,0.384629487991333,0,True,-1.7717406749725342,-2.156370162963867,200
fm_only,0.0,1,2.6314854621887207,2.9193062782287598,0.28782081604003906,1,True,-2.6314854621887207,-2.9193062782287598,200
fm_only,0.0625,0,1.6030751466751099,1.918325662612915,0.3152505159378052,0,True,-1.6030751466751099,-1.918325662612915,200
fm_only,0.0625,1,1.2975057363510132,1.4661545753479004,0.1686488389968872,1,True,-1.2975057363510132,-1.4661545753479004,200
fm_only,0.125,0,1.2475186586380005,1.5732815265655518,0.32576286792755127,0,True,-1.2475186586380005,-1.5732815265655518,200
fm_only,0.125,1,2.7192466259002686,3.4389595985412598,0.7197129726409912,1,True,-2.7192466259002686,-3.4389595985412598,200
fm_only,0.1875,0,2.7882745265960693,3.1337666511535645,0.3454921245574951,0,True,-2.7882745265960693,-3.1337666511535645,200
fm_only,0.1875,1,1.691179871559143,1.6282531023025513,-0.0629267692565918,0,False,-1.691179871559143,-1.6282531023025513,200
fm_only,0.25,0,2.138066291809082,2.065439224243164,-0.07262706756591797,1,False,-2.138066291809082,-2.065439224243164,200
fm_only,0.25,1,2.2355377674102783,2.3250341415405273,0.08949637413024902,1,True,-2.2355377674102783,-2.3250341415405273,200
fm_only,0.5,0,1.5195808410644531,1.3645938634872437,-0.15498697757720947,1,False,-1.5195808410644531,-1.3645938634872437,200
fm_only,0.5,1,1.5159296989440918,1.5368008613586426,0.02087116241455078,1,True,-1.5159296989440918,-1.5368008613586426,200
fm_only,0.75,0,2.001204252243042,1.7008979320526123,-0.3003063201904297,1,False,-2.001204252243042,-1.7008979320526123,200
fm_only,0.75,1,2.4937167167663574,2.282094717025757,-0.21162199974060059,0,False,-2.4937167167663574,-2.282094717025757,200
fm_only,1.0,0,1.390173316001892,1.4143362045288086,0.024162888526916504,0,True,-1.390173316001892,-1.4143362045288086,200
fm_only,1.0,1,2.4798593521118164,2.9351563453674316,0.45529699325561523,1,True,-2.4798593521118164,-2.9351563453674316,200
fm_only,0.0,0,1.969641923904419,2.1210408210754395,0.1513988971710205,0,True,-1.969641923904419,-2.1210408210754395,400
fm_only,0.0,1,2.5672430992126465,2.877617359161377,0.31037425994873047,1,True,-2.5672430992126465,-2.877617359161377,400
fm_only,0.0625,0,1.7051708698272705,1.8299245834350586,0.12475371360778809,0,True,-1.7051708698272705,-1.8299245834350586,400
fm_only,0.0625,1,1.2320358753204346,1.370253562927246,0.13821768760681152,1,True,-1.2320358753204346,-1.370253562927246,400
fm_only,0.125,0,1.1330348253250122,1.364471197128296,0.2314363718032837,0,True,-1.1330348253250122,-1.364471197128296,400
fm_only,0.125,1,2.2811532020568848,2.6316001415252686,0.3504469394683838,1,True,-2.2811532020568848,-2.6316001415252686,400
fm_only,0.1875,0,3.2699942588806152,3.06292724609375,-0.20706701278686523,1,False,-3.2699942588806152,-3.06292724609375,400
fm_only,0.1875,1,1.5006572008132935,1.462003231048584,-0.03865396976470947,0,False,-1.5006572008132935,-1.462003231048584,400
fm_only,0.25,0,2.1071953773498535,2.0268301963806152,-0.08036518096923828,1,False,-2.1071953773498535,-2.0268301963806152,400
fm_only,0.25,1,2.0875039100646973,2.0763790607452393,-0.011124849319458008,0,False,-2.0875039100646973,-2.0763790607452393,400
fm_only,0.5,0,1.4225337505340576,1.3557146787643433,-0.06681907176971436,1,False,-1.4225337505340576,-1.3557146787643433,400
fm_only,0.5,1,1.4224283695220947,1.3683345317840576,-0.05409383773803711,0,False,-1.4224283695220947,-1.3683345317840576,400
fm_only,0.75,0,1.9108929634094238,1.7648416757583618,-0.146051287651062,1,False,-1.9108929634094238,-1.7648416757583618,400
fm_only,0.75,1,2.433624267578125,2.443650722503662,0.01002645492553711,1,True,-2.433624267578125,-2.443650722503662,400
fm_only,1.0,0,1.3993721008300781,1.4118266105651855,0.012454509735107422,0,True,-1.3993721008300781,-1.4118266105651855,400
fm_only,1.0,1,2.339034080505371,2.3794713020324707,0.04043722152709961,1,True,-2.339034080505371,-2.3794713020324707,400
early_all_negative_identification,0.0,0,1.7409164905548096,2.1599833965301514,0.4190669059753418,0,True,-1.7409164905548096,-2.1599833965301514,200
early_all_negative_identification,0.0,1,2.5757248401641846,2.956617832183838,0.3808929920196533,1,True,-2.5757248401641846,-2.956617832183838,200
early_all_negative_identification,0.0625,0,1.5735678672790527,1.904004454612732,0.3304365873336792,0,True,-1.5735678672790527,-1.904004454612732,200
early_all_negative_identification,0.0625,1,1.3084931373596191,1.5033313035964966,0.19483816623687744,1,True,-1.3084931373596191,-1.5033313035964966,200
early_all_negative_identification,0.125,0,1.2279205322265625,1.5623648166656494,0.3344442844390869,0,True,-1.2279205322265625,-1.5623648166656494,200
early_all_negative_identification,0.125,1,2.7847039699554443,3.584041118621826,0.7993371486663818,1,True,-2.7847039699554443,-3.584041118621826,200
early_all_negative_identification,0.1875,0,2.784982204437256,3.086408853530884,0.30142664909362793,0,True,-2.784982204437256,-3.086408853530884,200
early_all_negative_identification,0.1875,1,1.6830554008483887,1.6650019884109497,-0.018053412437438965,0,False,-1.6830554008483887,-1.6650019884109497,200
early_all_negative_identification,0.25,0,2.170520782470703,2.0593199729919434,-0.11120080947875977,1,False,-2.170520782470703,-2.0593199729919434,200
early_all_negative_identification,0.25,1,2.243675708770752,2.362576484680176,0.11890077590942383,1,True,-2.243675708770752,-2.362576484680176,200
early_all_negative_identification,0.5,0,1.5495352745056152,1.369276762008667,-0.18025851249694824,1,False,-1.5495352745056152,-1.369276762008667,200
early_all_negative_identification,0.5,1,1.5193521976470947,1.567928433418274,0.0485762357711792,1,True,-1.5193521976470947,-1.567928433418274,200
early_all_negative_identification,0.75,0,2.0455708503723145,1.70829439163208,-0.3372764587402344,1,False,-2.0455708503723145,-1.70829439163208,200
early_all_negative_identification,0.75,1,2.4571356773376465,2.2907114028930664,-0.16642427444458008,0,False,-2.4571356773376465,-2.2907114028930664,200
early_all_negative_identification,1.0,0,1.4010286331176758,1.4088025093078613,0.007773876190185547,0,True,-1.4010286331176758,-1.4088025093078613,200
early_all_negative_identification,1.0,1,2.5114588737487793,3.007941722869873,0.49648284912109375,1,True,-2.5114588737487793,-3.007941722869873,200
early_all_negative_identification,0.0,0,2.023819923400879,2.2312958240509033,0.20747590065002441,0,True,-2.023819923400879,-2.2312958240509033,400
early_all_negative_identification,0.0,1,2.60209321975708,2.863124132156372,0.261030912399292,1,True,-2.60209321975708,-2.863124132156372,400
early_all_negative_identification,0.0625,0,1.7109520435333252,1.8497706651687622,0.138818621635437,0,True,-1.7109520435333252,-1.8497706651687622,400
early_all_negative_identification,0.0625,1,1.269904613494873,1.3931660652160645,0.1232614517211914,1,True,-1.269904613494873,-1.3931660652160645,400
early_all_negative_identification,0.125,0,1.1439005136489868,1.3613789081573486,0.21747839450836182,0,True,-1.1439005136489868,-1.3613789081573486,400
early_all_negative_identification,0.125,1,2.3214263916015625,2.700753688812256,0.37932729721069336,1,True,-2.3214263916015625,-2.700753688812256,400
early_all_negative_identification,0.1875,0,3.3132827281951904,3.0239691734313965,-0.28931355476379395,1,False,-3.3132827281951904,-3.0239691734313965,400
early_all_negative_identification,0.1875,1,1.5386765003204346,1.4632105827331543,-0.07546591758728027,0,False,-1.5386765003204346,-1.4632105827331543,400
early_all_negative_identification,0.25,0,2.138878107070923,2.0335206985473633,-0.10535740852355957,1,False,-2.138878107070923,-2.0335206985473633,400
early_all_negative_identification,0.25,1,2.086625337600708,2.1050801277160645,0.018454790115356445,1,True,-2.086625337600708,-2.1050801277160645,400
early_all_negative_identification,0.5,0,1.4143552780151367,1.3893343210220337,-0.025020956993103027,1,False,-1.4143552780151367,-1.3893343210220337,400
early_all_negative_identification,0.5,1,1.4269624948501587,1.3665876388549805,-0.06037485599517822,0,False,-1.4269624948501587,-1.3665876388549805,400
early_all_negative_identification,0.75,0,1.886557936668396,1.8068150281906128,-0.0797429084777832,1,False,-1.886557936668396,-1.8068150281906128,400
early_all_negative_identification,0.75,1,2.4577646255493164,2.4435338973999023,-0.014230728149414062,0,False,-2.4577646255493164,-2.4435338973999023,400
early_all_negative_identification,1.0,0,1.41129732131958,1.3970831632614136,-0.014214158058166504,1,False,-1.41129732131958,-1.3970831632614136,400
early_all_negative_identification,1.0,1,2.3181090354919434,2.3784737586975098,0.060364723205566406,1,True,-2.3181090354919434,-2.3784737586975098,400
