variant,state_head,early_time,early_pairwise_rms,terminal_pairwise_rms,terminal_over_early,early_positive_finite,terminal_retained,checkpoint_step
fm_only,type_logit,0.25,0.025660820305347443,0.09526021033525467,3.7122823511376,True,True,200
fm_only,fractional_coordinate,0.25,0.01607387885451317,0.04130806028842926,2.569887496497519,True,True,200
fm_only,lattice_log,0.25,0.07848348468542099,0.2960664927959442,3.772341327384272,True,True,200
fm_only,type_logit,0.25,0.018916061148047447,0.06456121057271957,3.4130366817609756,True,True,400
fm_only,fractional_coordinate,0.25,0.01176900789141655,0.023796137422323227,2.0219323193485477,True,True,400
fm_only,lattice_log,0.25,0.06210244446992874,0.22913435101509094,3.689618870414069,True,True,400
early_all_negative_identification,type_logit,0.25,0.02746248058974743,0.10247224569320679,3.7313543238866327,True,True,200
early_all_negative_identification,fractional_coordinate,0.25,0.023109549656510353,0.05592396482825279,2.419950438648988,True,True,200
early_all_negative_identification,lattice_log,0.25,0.08637422323226929,0.3268686830997467,3.784331376512212,True,True,200
early_all_negative_identification,type_logit,0.25,0.022250795736908913,0.07634849101305008,3.431270140438422,True,True,400
early_all_negative_identification,fractional_coordinate,0.25,0.011219440959393978,0.018494009971618652,1.6483896157173248,True,True,400
early_all_negative_identification,lattice_log,0.25,0.06502678990364075,0.23964379727840424,3.6853087417281065,True,True,400
