step,base_loss,topology_loss,gradient_norm_before_clip
1,2.6502797603607178,2.6497740745544434,0.32271599769592285
100,2.030845880508423,2.028954029083252,0.4339684844017029
200,2.103834629058838,2.1048736572265625,0.2980818450450897
300,2.189840078353882,2.1859078407287598,0.5624251961708069
400,2.09809947013855,2.095590829849243,0.37560781836509705
500,1.5825096368789673,1.5827012062072754,0.4570927023887634
600,2.21242094039917,2.223499298095703,0.5630265474319458
700,2.200521469116211,2.2150135040283203,0.5927112698554993
800,1.9750251770019531,2.0167791843414307,1.0681151151657104
900,2.6589407920837402,2.6864540576934814,1.0483763217926025
1000,3.2019753456115723,3.229667901992798,1.0783538818359375
1100,1.9646021127700806,1.9425818920135498,0.9614317417144775
1200,1.894871473312378,1.9095675945281982,1.0499393939971924
1300,1.8263647556304932,1.8498189449310303,1.3378123044967651
1400,1.7769334316253662,1.754585862159729,0.9067167043685913
1500,1.0579242706298828,1.0264198780059814,1.3534973859786987
