step,path_nll,gradient_norm
1.0,4.0358734130859375,37.99272537231445
25.0,3.418138265609741,21.196640014648438
50.0,2.5048108100891113,23.06452751159668
75.0,2.713395118713379,18.15914535522461
100.0,2.2305474281311035,10.364084243774414
125.0,2.2704288959503174,11.686370849609375
150.0,2.2941105365753174,14.416139602661133
175.0,2.3031582832336426,7.874002933502197
200.0,2.2953476905822754,9.755616188049316
225.0,2.41953444480896,8.822798728942871
250.0,2.144380807876587,6.991268634796143
275.0,2.5732905864715576,9.513936042785645
300.0,2.3573365211486816,5.456453323364258
325.0,2.0713086128234863,5.199385166168213
350.0,2.267568588256836,7.7448883056640625
375.0,2.1213598251342773,4.36297607421875
400.0,2.220940589904785,6.525819301605225
425.0,2.1812028884887695,3.89935302734375
450.0,2.135218620300293,4.549940586090088
475.0,2.153233289718628,3.617372512817383
500.0,2.1960787773132324,3.1883997917175293
525.0,2.040027141571045,2.3907322883605957
550.0,1.8971556425094604,4.418808460235596
575.0,2.179535388946533,3.3674802780151367
600.0,2.118290662765503,2.3117799758911133
625.0,2.2402281761169434,2.403144598007202
650.0,2.273299217224121,3.4581069946289062
675.0,2.257154941558838,2.6940808296203613
700.0,2.093154191970825,2.881754159927368
725.0,2.0288920402526855,2.901116132736206
750.0,2.106410026550293,2.0669679641723633
775.0,2.0329599380493164,2.377394199371338
800.0,2.0915958881378174,2.270019054412842
825.0,2.1433448791503906,1.6721000671386719
850.0,2.219066619873047,2.138637065887451
875.0,2.257120132446289,2.0650317668914795
900.0,2.124631881713867,1.7209190130233765
925.0,2.163526773452759,2.340911626815796
950.0,2.254012107849121,2.5800840854644775
975.0,2.0812020301818848,1.250733494758606
1000.0,2.2496140003204346,1.97951340675354
1025.0,2.2017621994018555,1.7247823476791382
1050.0,2.0470688343048096,1.1710247993469238
1075.0,2.1534907817840576,1.7606596946716309
1100.0,2.1075439453125,1.5108009576797485
1125.0,2.1428909301757812,1.5046344995498657
1150.0,2.2383646965026855,1.911881923675537
1175.0,2.18597412109375,1.9111075401306152
1200.0,2.0557491779327393,1.362304449081421
1225.0,2.1574034690856934,2.0750088691711426
1250.0,2.193847417831421,1.598253607749939
1275.0,2.2124860286712646,1.382830262184143
1300.0,2.214186429977417,1.5414652824401855
1325.0,2.1194698810577393,1.2249855995178223
1350.0,2.157714366912842,1.4179631471633911
1375.0,2.178166389465332,2.0560951232910156
1400.0,2.065748691558838,0.9670748114585876
1425.0,2.2231082916259766,1.9181573390960693
1450.0,2.1063015460968018,1.1895784139633179
1475.0,2.039341926574707,0.8814087510108948
1500.0,2.311558246612549,1.9597104787826538
1525.0,2.0402519702911377,1.13767671585083
1550.0,2.1283304691314697,1.3266457319259644
1575.0,2.168870449066162,1.9785535335540771
1600.0,2.0812058448791504,1.3818187713623047
1625.0,2.2571117877960205,1.722427487373352
1650.0,2.0793380737304688,1.461092472076416
1675.0,2.037118673324585,1.1633695363998413
1700.0,2.1135730743408203,1.5874828100204468
1725.0,2.0474488735198975,1.941756248474121
1750.0,2.0643534660339355,1.6299387216567993
1775.0,1.9870580434799194,1.4424456357955933
1800.0,2.0945215225219727,1.4454180002212524
1825.0,2.229017734527588,1.2998406887054443
1850.0,2.139230489730835,1.4015536308288574
1875.0,2.0690248012542725,1.2108004093170166
1900.0,2.1187527179718018,1.0573186874389648
1925.0,2.105645179748535,0.9017641544342041
1950.0,2.1797757148742676,1.2339404821395874
1975.0,2.0023837089538574,0.9495948553085327
2000.0,2.071549892425537,1.237754225730896
