node,dimension,predicted_coordinate_velocity,target_coordinate_velocity,difference
0,0,-0.41033026576042175,-0.41033318638801575,2.9206275939941406e-06
0,1,-0.039799682796001434,-0.03979244828224182,-7.234513759613037e-06
0,2,0.30878373980522156,0.3087952136993408,-1.1473894119262695e-05
1,0,0.053105611354112625,0.05310487747192383,7.338821887969971e-07
1,1,0.12494087219238281,0.12494289875030518,-2.0265579223632812e-06
1,2,0.045904211699962616,0.04590153694152832,2.6747584342956543e-06
2,0,0.11060349643230438,0.11060118675231934,2.3096799850463867e-06
2,1,-0.22496573626995087,-0.22496655583381653,8.195638656616211e-07
2,2,0.18091177940368652,0.18091416358947754,-2.384185791015625e-06
3,0,0.25251954793930054,0.2525207996368408,-1.2516975402832031e-06
3,1,-0.049520522356033325,-0.049521803855895996,1.2814998626708984e-06
3,2,-0.4960075318813324,-0.4960089921951294,1.4603137969970703e-06
