step,velocity_mse,endpoint_periodic_rms,coordinate_head_gradient_norm,coordinate_head_output_norm,target_velocity_norm
1,0.057829804718494415,0.07316736876964569,0.0004384354979265481,0.004623577930033207,0.8328659534454346
2,0.05761127173900604,0.07302900403738022,0.0005543221486732364,0.006510347593575716,0.8328659534454346
3,0.05739971622824669,0.07289478927850723,0.0008359461789950728,0.014946644194424152,0.8328659534454346
4,0.05717949569225311,0.07275483012199402,0.00116966781206429,0.021222364157438278,0.8328659534454346
5,0.05693667754530907,0.07260016351938248,0.0015591017436236143,0.024948449805378914,0.8328659534454346
6,0.05666040629148483,0.07242382317781448,0.0020198181737214327,0.026568032801151276,0.8328659534454346
7,0.05634281039237976,0.07222055643796921,0.0025577088817954063,0.027213068678975105,0.8328659534454346
8,0.055976502597332,0.0719854086637497,0.0031723002903163433,0.02844756282866001,0.8328659534454346
9,0.055551014840602875,0.07171130925416946,0.0038648711051791906,0.0319071002304554,0.8328659534454346
10,0.055047497153282166,0.07138556987047195,0.004653545096516609,0.03818902000784874,0.8328659534454346
11,0.05444218963384628,0.07099199295043945,0.005566995590925217,0.04706130176782608,0.8328659534454346
12,0.05371350049972534,0.07051529735326767,0.006617899518460035,0.05894126370549202,0.8328659534454346
13,0.05283799767494202,0.06993825733661652,0.007813128642737865,0.07401956617832184,0.8328659534454346
14,0.05177108943462372,0.06922855228185654,0.009209323674440384,0.09101901203393936,0.8328659534454346
15,0.05045371875166893,0.06834207475185394,0.010846886783838272,0.11042582243680954,0.8328659534454346
16,0.04884214699268341,0.06724174320697784,0.01261585857719183,0.1359063982963562,0.8328659534454346
17,0.046908821910619736,0.06589748710393906,0.014242741279304028,0.17197756469249725,0.8328659534454346
18,0.044633179903030396,0.06427920609712601,0.01532737910747528,0.22197256982326508,0.8328659534454346
19,0.042189471423625946,0.062494758516550064,0.014684634283185005,0.2901194989681244,0.8328659534454346
20,0.039986349642276764,0.060841165482997894,0.010637311264872551,0.3699265122413635,0.8328659534454346
21,0.038840290158987045,0.0599629282951355,0.005288800690323114,0.4717853367328644,0.8328659534454346
22,0.0394902378320694,0.060462553054094315,0.015630502253770828,0.5480116605758667,0.8328659534454346
23,0.0372561477124691,0.05872737243771553,0.012783822603523731,0.5752928853034973,0.8328659534454346
24,0.03641193360090256,0.05805819109082222,0.014614620245993137,0.5921269059181213,0.8328659534454346
25,0.03516550362110138,0.057055842131376266,0.012797970324754715,0.5882862210273743,0.8328659534454346
26,0.03379339724779129,0.05593165010213852,0.00902695581316948,0.5827860832214355,0.8328659534454346
27,0.033136822283267975,0.05538562685251236,0.008893455378711224,0.583410382270813,0.8328659534454346
28,0.03247131407260895,0.054826635867357254,0.006911551579833031,0.5778924822807312,0.8328659534454346
29,0.03203249350190163,0.054454900324344635,0.005152457393705845,0.5738765597343445,0.8328659534454346
30,0.03185706585645676,0.054305583238601685,0.006166486535221338,0.5733556151390076,0.8328659534454346
31,0.031017689034342766,0.05358538776636124,0.0030642265919595957,0.5628857016563416,0.8328659534454346
32,0.030836880207061768,0.05342897027730942,0.007002268917858601,0.5598863363265991,0.8328659534454346
33,0.029675668105483055,0.052413348108530045,0.005122894421219826,0.5530400276184082,0.8328659534454346
34,0.029257789254188538,0.05204300582408905,0.005619509611278772,0.5601128935813904,0.8328659534454346
35,0.028062833473086357,0.05096914991736412,0.006969265174120665,0.5550859570503235,0.8328659534454346
36,0.02734364941716194,0.05031180381774902,0.011474340222775936,0.5548481345176697,0.8328659534454346
37,0.026160819455981255,0.04921158030629158,0.010736514814198017,0.5650629997253418,0.8328659534454346
38,0.025418028235435486,0.04850791394710541,0.00577860651537776,0.5935713648796082,0.8328659534454346
39,0.024069372564554214,0.04720348119735718,0.0073294551111757755,0.6012961268424988,0.8328659534454346
40,0.02347540855407715,0.04661742225289345,0.012536294758319855,0.61496901512146,0.8328659534454346
41,0.022408530116081238,0.0455457977950573,0.003269888460636139,0.6554393768310547,0.8328659534454346
42,0.0211329385638237,0.044230468571186066,0.007059239316731691,0.6614766716957092,0.8328659534454346
43,0.0202455036342144,0.04329182580113411,0.010618473403155804,0.675869882106781,0.8328659534454346
44,0.01991933584213257,0.042941685765981674,0.014006086625158787,0.7275260090827942,0.8328659534454346
45,0.020977497100830078,0.04406749829649925,0.027575356885790825,0.6839067935943604,0.8328659534454346
46,0.019327042624354362,0.042298443615436554,0.028743254020810127,0.7688784599304199,0.8328659534454346
47,0.015875186771154404,0.03833548724651337,0.01434004120528698,0.6798020005226135,0.8328659534454346
