time,variant,baseline_mse,corrected_mse,relative_improvement,oracle_gain_fraction,bootstrap_95_low,bootstrap_median,bootstrap_95_high
0.4,noisy_current,1.048206859637503,1.1004724179892946,-0.04986187399104258,-1.2165192775541052,-0.06530682967283497,-0.04998783895437331,-0.03613835031242185
0.4,frozen_linear_probe,1.048206859637503,1.0817874456133723,-0.032036220395926795,-0.7816128150060744,-0.04650617377617123,-0.032042105687520306,-0.018141655778121886
0.4,tweedie_self_conditioned,1.048206859637503,1.088599602544491,-0.038535087359528486,-0.9401707734354193,-0.052033434503370286,-0.03877506983205414,-0.02547590688593538
0.4,clean_oracle,1.048206859637503,1.0052436618352658,0.04098732746043554,1.0,0.02586994648714367,0.04101642372458614,0.054736933858677374
0.5,noisy_current,1.5340020367984835,1.5931138613959774,-0.03853438468756032,-0.40236518974418184,-0.052413871757756816,-0.03852237900657529,-0.02580537432507781
0.5,frozen_linear_probe,1.5340020367984835,1.6009989861850045,-0.04367461566501318,-0.45603803360405576,-0.05948997399949559,-0.04360447286287994,-0.027950950692902828
0.5,tweedie_self_conditioned,1.5340020367984835,1.5947333775548032,-0.03959013045580306,-0.4133889896518456,-0.053286685551244425,-0.03926967001076698,-0.02582924719335841
0.5,clean_oracle,1.5340020367984835,1.3870911555786734,0.09576967806797587,1.0,0.07492235022933402,0.09556708634482314,0.11627974855613568
0.6,noisy_current,2.1613089894817676,2.2737512647581752,-0.05202508101507908,-0.3662954509048341,-0.06577381082041558,-0.05164625945904788,-0.03923522408510949
0.6,frozen_linear_probe,2.1613089894817676,2.2781273923028493,-0.05404983895851556,-0.38055126001446815,-0.071757177605105,-0.054348048056156006,-0.03666414125136763
0.6,tweedie_self_conditioned,2.1613089894817676,2.268392967322143,-0.049545890181140306,-0.34884009462901167,-0.06019931444882012,-0.04938550870488756,-0.03889569817758225
0.6,clean_oracle,2.1613089894817676,1.8543374587170547,0.14203037708102884,1.0,0.11862560153876422,0.14218054713059397,0.16507227659481707
