time,variant,topology_mse,explained_fraction,mse_improvement_over_noisy,soft_jaccard,auc
0.4,noisy_current,0.060288374733545425,0.3462249895820715,3.2585196763079693e-09,0.6025272746337578,0.8721264434530724
0.4,frozen_linear_probe,0.018140289965458578,0.8032843258996509,0.6991079954265539,0.7596511121373624,0.9535337886536761
0.4,tweedie_self_conditioned,0.03663122818201714,0.602766177486572,0.3923998073535856,0.7067998922429979,0.9210529018263288
0.4,clean_oracle,0.0,1.0,1.0,0.9999999986030161,1.0
0.5,noisy_current,0.08921566446588258,0.03253370081250806,-3.5884073490421997e-09,0.5034231244353577,0.8002899927549176
0.5,frozen_linear_probe,0.029966367363272184,0.6750407995202132,0.6641131609146433,0.6885651954216883,0.9069059881365283
0.5,tweedie_self_conditioned,0.054109005595819326,0.41323488611763903,0.39350330204164397,0.6319669535150751,0.8673580276198211
0.5,clean_oracle,0.0,1.0,1.0,1.000000009080395,1.0
0.6,noisy_current,0.12261112323085399,-0.32961104740769653,9.257311583965588e-09,0.4064412647858262,0.7145236760369731
0.6,frozen_linear_probe,0.04765827165442715,0.4831874783268115,0.6113054818196288,0.5932849607197568,0.8196424560735984
0.6,tweedie_self_conditioned,0.08427180345313445,0.08614556407522,0.31269039258056486,0.523861228430178,0.7700315016248767
0.6,clean_oracle,0.0,1.0,1.0,1.0000000060535967,1.0
