method,time,target_left,target_right,alignment_frame_jsd,automorphism_792_jsd,aligned_token_rms
orbit_alignment,0.0,0,1,0.0022013895213603973,0.0,0.21853676438331604
orbit_alignment,0.0,0,2,9.969208622351289e-05,0.0,0.005756056401878595
orbit_alignment,0.0,0,3,0.0025085932575166225,0.0,0.02510957233607769
orbit_alignment,0.0,0,4,0.01367313601076603,0.0,0.0501180998980999
orbit_alignment,0.0,0,5,0.00021299568470567465,0.0,0.03344174101948738
orbit_alignment,0.0,0,6,0.00042763003148138523,0.0,0.04890698567032814
orbit_alignment,0.0,0,7,0.0012649744749069214,0.0,0.09234459698200226
orbit_alignment,0.0,1,2,0.002628499176353216,0.0,0.21479351818561554
orbit_alignment,0.0,1,3,0.007320491597056389,0.0,0.22147499024868011
orbit_alignment,0.0,1,4,0.009945414029061794,0.0,0.22503015398979187
orbit_alignment,0.0,1,5,0.001890166662633419,0.0,0.19207854568958282
orbit_alignment,0.0,1,6,0.001857892144471407,0.0,0.1806812882423401
orbit_alignment,0.0,1,7,0.0019713076762855053,0.0,0.15289397537708282
orbit_alignment,0.0,2,3,0.0016896463930606842,0.0,0.022451885044574738
orbit_alignment,0.0,2,4,0.015782933682203293,0.0,0.046712957322597504
orbit_alignment,0.0,2,5,0.0002890561008825898,0.0,0.03007734753191471
orbit_alignment,0.0,2,6,0.0004937294870615005,0.0,0.04540451616048813
orbit_alignment,0.0,2,7,0.0013087689876556396,0.0,0.08865846693515778
orbit_alignment,0.0,3,4,0.027364570647478104,0.0,0.026059620082378387
orbit_alignment,0.0,3,5,0.0026805715169757605,0.0,0.046186696738004684
orbit_alignment,0.0,3,6,0.0028892927803099155,0.0,0.05973243713378906
orbit_alignment,0.0,3,7,0.0037675504572689533,0.0,0.1004452332854271
orbit_alignment,0.0,4,5,0.014090286567807198,0.0,0.06425413489341736
orbit_alignment,0.0,4,6,0.014342496171593666,0.0,0.07479877024888992
orbit_alignment,0.0,4,7,0.01505964808166027,0.0,0.11008802801370621
orbit_alignment,0.0,5,6,3.7241552490741014e-05,0.0,0.015473831444978714
orbit_alignment,0.0,5,7,0.0004476853646337986,0.0,0.05897441878914833
orbit_alignment,0.0,6,7,0.00022822408936917782,0.0,0.043518755584955215
orbit_alignment,0.125,0,1,0.0025721010752022266,0.01966739632189274,0.218389093875885
orbit_alignment,0.125,0,2,7.930176798254251e-05,1.8005026504397392e-05,0.0045433081686496735
orbit_alignment,0.125,0,3,0.0014455060008913279,0.00014020038361195475,0.018992125988006592
orbit_alignment,0.125,0,4,0.007796624209731817,0.00020663885516114533,0.03881029039621353
orbit_alignment,0.125,0,5,0.0002437244402244687,0.003410942619666457,0.030699187889695168
orbit_alignment,0.125,0,6,0.0004594445927068591,0.004207712598145008,0.044993191957473755
orbit_alignment,0.125,0,7,0.0012013791128993034,0.007317849900573492,0.08488351851701736
orbit_alignment,0.125,1,2,0.003020774107426405,0.018959134817123413,0.21531584858894348
orbit_alignment,0.125,1,3,0.006163683719933033,0.021968938410282135,0.21974824368953705
orbit_alignment,0.125,1,4,0.005219660699367523,0.022892087697982788,0.22152972221374512
orbit_alignment,0.125,1,5,0.0021971985697746277,0.010384099557995796,0.19419075548648834
orbit_alignment,0.125,1,6,0.0021360618993639946,0.008405083790421486,0.18359790742397308
orbit_alignment,0.125,1,7,0.00204408448189497,0.00405407790094614,0.1571132242679596
orbit_alignment,0.125,2,3,0.0008805023971945047,0.0001902195654110983,0.016890667378902435
orbit_alignment,0.125,2,4,0.00935964472591877,0.0002758254704531282,0.03615033999085426
orbit_alignment,0.125,2,5,0.0002749024424701929,0.0032199760898947716,0.0278960969299078
orbit_alignment,0.125,2,6,0.0004769011866301298,0.003960456233471632,0.04209793359041214
orbit_alignment,0.125,2,7,0.0012302654795348644,0.006919462233781815,0.08185359835624695
orbit_alignment,0.125,3,4,0.015850748866796494,1.2739517842419446e-05,0.02056760899722576
orbit_alignment,0.125,3,5,0.0016902973875403404,0.004173903726041317,0.03925416246056557
orbit_alignment,0.125,3,6,0.0019110802095383406,0.0051444340497255325,0.05216749384999275
orbit_alignment,0.125,3,7,0.002770968247205019,0.008692893199622631,0.09016919136047363
orbit_alignment,0.125,4,5,0.007992278784513474,0.004529727157205343,0.05262626335024834
orbit_alignment,0.125,4,6,0.008158944547176361,0.0055654002353549,0.06304042786359787
orbit_alignment,0.125,4,7,0.008477911353111267,0.009277639910578728,0.09690138697624207
orbit_alignment,0.125,5,6,3.540550824254751e-05,0.00012864419841207564,0.014300952665507793
orbit_alignment,0.125,5,7,0.0004151116590946913,0.00158059096429497,0.05424205958843231
orbit_alignment,0.125,6,7,0.00021983636543154716,0.0008567004697397351,0.03995724022388458
orbit_alignment,0.25,0,1,0.002573410514742136,0.057388585060834885,0.22956900298595428
orbit_alignment,0.25,0,2,9.133969433605671e-05,2.0619714632630348e-05,0.00463847117498517
orbit_alignment,0.25,0,3,0.0011553969234228134,8.187652565538883e-05,0.018361851572990417
orbit_alignment,0.25,0,4,0.006679474376142025,0.00017696816939860582,0.03773721307516098
orbit_alignment,0.25,0,5,0.00027054850943386555,0.0018783567938953638,0.03224361315369606
orbit_alignment,0.25,0,6,0.0005152083467692137,0.003705064533278346,0.04690597578883171
orbit_alignment,0.25,0,7,0.0013043633662164211,0.01163268182426691,0.08923143893480301
orbit_alignment,0.25,1,2,0.0031224447302520275,0.05569329857826233,0.22625166177749634
orbit_alignment,0.25,1,3,0.005442500114440918,0.06057638302445412,0.23009762167930603
orbit_alignment,0.25,1,4,0.004210145212709904,0.06212403625249863,0.22894999384880066
orbit_alignment,0.25,1,5,0.002575594000518322,0.04221556708216667,0.20425820350646973
orbit_alignment,0.25,1,6,0.002559618093073368,0.035798583179712296,0.19344203174114227
orbit_alignment,0.25,1,7,0.002277253195643425,0.020894942805171013,0.16543662548065186
orbit_alignment,0.25,2,3,0.0006329340394586325,0.00016804737970232964,0.01633179932832718
orbit_alignment,0.25,2,4,0.00827036239206791,0.0002939087862614542,0.034930773079395294
orbit_alignment,0.25,2,5,0.0003840795252472162,0.001548560569062829,0.029159454628825188
orbit_alignment,0.25,2,6,0.0006398772820830345,0.003225100226700306,0.043746884912252426
orbit_alignment,0.25,2,7,0.001472590258345008,0.010774798691272736,0.08595514297485352
orbit_alignment,0.25,3,4,0.013140963390469551,2.2693740902468562e-05,0.020120007917284966
orbit_alignment,0.25,3,5,0.0016796777490526438,0.0025890525430440903,0.03985854983329773
orbit_alignment,0.25,3,6,0.002016859594732523,0.004676708485931158,0.05325281620025635
