method,analysis,cfg_scale,sampler_steps,within_target_distance_mean,between_target_distance_mean,between_within_distance_ratio,condition_permutation_feature_shift_mean,sampling_failure_count
orbit_alignment,diagnostic_only_common_random_numbers,0.0,4,18.132518768310547,14.716255187988281,0.8115946650505066,3.2430062294006348,0
orbit_alignment,diagnostic_only_common_random_numbers,0.5,4,17.766754150390625,15.001462936401367,0.8443558812141418,4.485801696777344,0
orbit_alignment,diagnostic_only_common_random_numbers,1.0,4,17.32874298095703,15.237573623657227,0.8793236613273621,5.586170196533203,0
orbit_alignment,diagnostic_only_common_random_numbers,2.0,4,16.374563217163086,15.59203052520752,0.9522104859352112,7.435960292816162,0
orbit_alignment,diagnostic_only_common_random_numbers,0.0,8,18.119855880737305,14.733723640441895,0.8131258487701416,3.3018250465393066,0
orbit_alignment,diagnostic_only_common_random_numbers,0.5,8,17.72588348388672,15.025599479675293,0.8476643562316895,4.562126159667969,0
orbit_alignment,diagnostic_only_common_random_numbers,1.0,8,17.26885414123535,15.263413429260254,0.883869469165802,5.671092987060547,0
orbit_alignment,diagnostic_only_common_random_numbers,2.0,8,16.306236267089844,15.613879203796387,0.9575403332710266,7.504713535308838,0
orbit_alignment,diagnostic_only_common_random_numbers,0.0,16,18.114032745361328,14.740710258483887,0.813772976398468,3.322443723678589,0
orbit_alignment,diagnostic_only_common_random_numbers,0.5,16,17.712631225585938,15.035507202148438,0.8488579392433167,4.59335994720459,0
orbit_alignment,diagnostic_only_common_random_numbers,1.0,16,17.255584716796875,15.271772384643555,0.8850336074829102,5.698405742645264,0
orbit_alignment,diagnostic_only_common_random_numbers,2.0,16,16.287992477416992,15.619705200195312,0.9589705467224121,7.521021366119385,0
