method,time,quantity,pairwise_rms_mean,pairwise_rms_std
direct_irrep,0.0,state_fractional_coordinate,0.0,0.0
direct_irrep,0.0,state_lattice_log,0.0,0.0
direct_irrep,0.0,state_type_logit,0.0,0.0
direct_irrep,0.0,velocity_fractional_coordinate,0.030632303395707692,0.02822489433623217
direct_irrep,0.0,velocity_lattice_log,0.2970968299944486,0.15472818697292226
direct_irrep,0.0,velocity_type_logit,0.09499532742691892,0.03423573562556077
direct_irrep,0.125,state_fractional_coordinate,0.0038290397174673024,0.003528113190226372
direct_irrep,0.125,state_lattice_log,0.03713709905943168,0.01934102142729201
direct_irrep,0.125,state_type_logit,0.01187441696778738,0.004279466997363323
direct_irrep,0.125,velocity_fractional_coordinate,0.024369222644184316,0.022237777020402853
direct_irrep,0.125,velocity_lattice_log,0.29753087115074905,0.1571990588702728
direct_irrep,0.125,velocity_type_logit,0.08756280856739197,0.03202822754111178
direct_irrep,0.25,state_fractional_coordinate,0.006866691931333792,0.006306030533828706
direct_irrep,0.25,state_lattice_log,0.07432353493225362,0.03898727855942047
direct_irrep,0.25,state_type_logit,0.022804251622541676,0.008276826906366391
direct_irrep,0.25,velocity_fractional_coordinate,0.0208233469415323,0.01637310272666066
direct_irrep,0.25,velocity_lattice_log,0.2982021936082414,0.15934006928575964
direct_irrep,0.25,velocity_type_logit,0.08129847362371427,0.03023498452320543
direct_irrep,0.375,state_fractional_coordinate,0.008870879736995059,0.008587482367750301
direct_irrep,0.375,state_lattice_log,0.11158835532010666,0.05889726875330027
direct_irrep,0.375,state_type_logit,0.03292585395476116,0.01203913851748935
direct_irrep,0.375,velocity_fractional_coordinate,0.018424383264833262,0.014692031217478137
direct_irrep,0.375,velocity_lattice_log,0.2986636453175119,0.16102553927413923
direct_irrep,0.375,velocity_type_logit,0.07602295884862542,0.0287630828581977
direct_irrep,0.5,state_fractional_coordinate,0.010772104861514111,0.010513837026141278
direct_irrep,0.5,state_lattice_log,0.1489058930559882,0.07901339510367955
direct_irrep,0.5,state_type_logit,0.042356021386305134,0.015603587829064092
direct_irrep,0.5,velocity_fractional_coordinate,0.01476055162285255,0.011903667995299917
direct_irrep,0.5,velocity_lattice_log,0.2990039041531937,0.16238256789502237
direct_irrep,0.5,velocity_type_logit,0.07154955492088837,0.02755258413396979
direct_irrep,0.625,state_fractional_coordinate,0.012391166254279338,0.012025055644095997
direct_irrep,0.625,state_lattice_log,0.1862619754725269,0.09929523789841004
