method,time,target,posterior,entropy_nats,top_mode_mass,effective_frame_count,mode_count
orbit_alignment,0.0,0,alignment_frame,2.079441547393799,0.125,8.0,8
orbit_alignment,0.0,1,alignment_frame,2.070592164993286,0.15394584834575653,7.9295172691345215,8
orbit_alignment,0.0,2,alignment_frame,2.079042911529541,0.12944278120994568,7.996812343597412,8
orbit_alignment,0.0,3,alignment_frame,2.069563388824463,0.14332161843776703,7.9213643074035645,8
orbit_alignment,0.0,4,alignment_frame,2.0250027179718018,0.18733713030815125,7.576131343841553,8
orbit_alignment,0.0,5,alignment_frame,2.078591823577881,0.13259221613407135,7.9932050704956055,8
orbit_alignment,0.0,6,alignment_frame,2.077737331390381,0.13568684458732605,7.986378192901611,8
orbit_alignment,0.0,7,alignment_frame,2.074413776397705,0.14264057576656342,7.959878921508789,8
orbit_alignment,0.0,0,crystal_automorphism_792,3.109957456588745,0.157701775431633,22.42009162902832,792
orbit_alignment,0.0,1,crystal_automorphism_792,3.109957456588745,0.157701775431633,22.42009162902832,792
orbit_alignment,0.0,2,crystal_automorphism_792,3.109957456588745,0.157701775431633,22.42009162902832,792
orbit_alignment,0.0,3,crystal_automorphism_792,3.109957456588745,0.157701775431633,22.42009162902832,792
orbit_alignment,0.0,4,crystal_automorphism_792,3.109957456588745,0.157701775431633,22.42009162902832,792
orbit_alignment,0.0,5,crystal_automorphism_792,3.109957456588745,0.157701775431633,22.42009162902832,792
orbit_alignment,0.0,6,crystal_automorphism_792,3.109957456588745,0.157701775431633,22.42009162902832,792
orbit_alignment,0.0,7,crystal_automorphism_792,3.109957456588745,0.157701775431633,22.42009162902832,792
orbit_alignment,0.125,0,alignment_frame,2.079441547393799,0.125,8.0,8
orbit_alignment,0.125,1,alignment_frame,2.0691046714782715,0.15604542195796967,7.917731285095215,8
orbit_alignment,0.125,2,alignment_frame,2.079124927520752,0.12884120643138885,7.997467517852783,8
orbit_alignment,0.125,3,alignment_frame,2.0737082958221436,0.1390874683856964,7.954265117645264,8
orbit_alignment,0.125,4,alignment_frame,2.0481667518615723,0.1707831472158432,7.753673553466797,8
orbit_alignment,0.125,5,alignment_frame,2.078462839126587,0.13603545725345612,7.99217414855957,8
orbit_alignment,0.125,6,alignment_frame,2.0775957107543945,0.14006400108337402,7.9852471351623535,8
orbit_alignment,0.125,7,alignment_frame,2.074634075164795,0.1469830572605133,7.96163272857666,8
orbit_alignment,0.125,0,crystal_automorphism_792,3.0499205589294434,0.16631841659545898,21.11366844177246,792
orbit_alignment,0.125,1,crystal_automorphism_792,3.125981092453003,0.1570204496383667,22.782236099243164,792
orbit_alignment,0.125,2,crystal_automorphism_792,3.055738925933838,0.16319958865642548,21.23687171936035,792
orbit_alignment,0.125,3,crystal_automorphism_792,3.0426228046417236,0.16416124999523163,20.960145950317383,792
orbit_alignment,0.125,4,crystal_automorphism_792,3.0362000465393066,0.16455388069152832,20.82595443725586,792
orbit_alignment,0.125,5,crystal_automorphism_792,3.090477228164673,0.16415947675704956,21.987567901611328,792
orbit_alignment,0.125,6,crystal_automorphism_792,3.096950054168701,0.16345687210559845,22.130352020263672,792
orbit_alignment,0.125,7,crystal_automorphism_792,3.1129093170166016,0.16086648404598236,22.486370086669922,792
orbit_alignment,0.25,0,alignment_frame,2.079441547393799,0.125,8.0,8
orbit_alignment,0.25,1,alignment_frame,2.0690460205078125,0.15902350842952728,7.917266845703125,8
orbit_alignment,0.25,2,alignment_frame,2.0790770053863525,0.1288643330335617,7.997084140777588,8
orbit_alignment,0.25,3,alignment_frame,2.0748350620269775,0.13799665868282318,7.96323299407959,8
orbit_alignment,0.25,4,alignment_frame,2.0525009632110596,0.16753944754600525,7.787353038787842,8
orbit_alignment,0.25,5,alignment_frame,2.0783610343933105,0.1333739459514618,7.991360664367676,8
orbit_alignment,0.25,6,alignment_frame,2.0773894786834717,0.1354924887418747,7.98360013961792,8
orbit_alignment,0.25,7,alignment_frame,2.0742921829223633,0.14462251961231232,7.958910942077637,8
orbit_alignment,0.25,0,crystal_automorphism_792,2.947514057159424,0.18984422087669373,19.058517456054688,792
orbit_alignment,0.25,1,crystal_automorphism_792,3.0776803493499756,0.1848609298467636,21.70798683166504,792
