method,time,own_target_win_rate,mean_margin,median_margin,mean_condition_velocity_shift_rms
raw_tensor,0.0,0.375,0.021162882447242737,-0.04626607894897461,0.37379664182662964
raw_tensor,0.125,0.75,0.07907450199127197,0.04822349548339844,0.3578295111656189
raw_tensor,0.25,0.625,0.21579501032829285,0.04525887966156006,0.3690902590751648
raw_tensor,0.375,1.0,0.3758109211921692,0.2055593729019165,0.3571010231971741
raw_tensor,0.5,0.875,0.27044156193733215,0.18538129329681396,0.37432777881622314
raw_tensor,0.625,0.625,0.11121314764022827,5.519390106201172e-05,0.3734739124774933
raw_tensor,0.75,0.875,0.22700250148773193,0.06503796577453613,0.3672557473182678
raw_tensor,0.875,0.625,0.18490374088287354,0.02378261089324951,0.365617036819458
raw_tensor,1.0,0.5,-0.015888795256614685,-0.03702211380004883,0.3668331503868103
direct_irrep,0.0,0.375,0.11887523531913757,-0.02751445770263672,0.42174750566482544
direct_irrep,0.125,0.625,0.10574883222579956,0.02545475959777832,0.399772971868515
direct_irrep,0.25,0.875,0.3687872290611267,0.08705830574035645,0.41598403453826904
direct_irrep,0.375,0.75,0.3995894491672516,0.18012487888336182,0.42604267597198486
direct_irrep,0.5,0.625,0.2273172289133072,0.007218599319458008,0.41882553696632385
direct_irrep,0.625,0.5,0.09151367843151093,-0.04281115531921387,0.4080837368965149
direct_irrep,0.75,0.75,0.3638010621070862,0.04085230827331543,0.43273553252220154
direct_irrep,0.875,0.625,0.26373761892318726,0.25665855407714844,0.4201427698135376
direct_irrep,1.0,0.5,0.05457523465156555,-0.01300954818725586,0.4229515790939331
stabilizer_pooling,0.0,0.375,0.04214474558830261,-0.03200888633728027,0.37661775946617126
stabilizer_pooling,0.125,0.625,0.09986628592014313,0.04776334762573242,0.3951599597930908
stabilizer_pooling,0.25,0.625,0.25549840927124023,0.044437408447265625,0.388658344745636
stabilizer_pooling,0.375,1.0,0.41356754302978516,0.18968439102172852,0.3934766948223114
stabilizer_pooling,0.5,0.75,0.3029724359512329,0.1735384464263916,0.39045557379722595
stabilizer_pooling,0.625,0.625,0.13107013702392578,0.017270445823669434,0.38035041093826294
stabilizer_pooling,0.75,0.875,0.2368432581424713,0.03911113739013672,0.3985916078090668
stabilizer_pooling,0.875,0.625,0.20764322578907013,0.017433762550354004,0.3953118324279785
stabilizer_pooling,1.0,0.625,0.04452900588512421,0.02945256233215332,0.39155033230781555
orbit_alignment,0.0,0.625,0.1521277129650116,0.017234206199645996,0.33650362491607666
orbit_alignment,0.125,0.5,-0.037895411252975464,-0.10184812545776367,0.3583781123161316
orbit_alignment,0.25,0.875,0.19096006453037262,0.011851668357849121,0.27107495069503784
orbit_alignment,0.375,0.875,0.33772364258766174,0.0948023796081543,0.32432764768600464
orbit_alignment,0.5,0.75,0.33217692375183105,0.11431884765625,0.38079458475112915
orbit_alignment,0.625,0.375,0.12987743318080902,-0.035190582275390625,0.365672767162323
orbit_alignment,0.75,0.625,0.1999511569738388,0.002415180206298828,0.36339977383613586
orbit_alignment,0.875,0.75,0.17415237426757812,0.041159868240356445,0.34461596608161926
orbit_alignment,1.0,0.5,-0.05147106945514679,-0.00113677978515625,0.2556288242340088
