method,condition_shuffle_gap,representative_velocity_error,generated_between_within_ratio,condition_feature_shift,final_training_loss,sampling_failure_count
raw_tensor,0.09359505027532578,0.3522091507911682,1.0044361352920532,2.2148866653442383,2.03353214263916,0
direct_irrep,0.10845030844211578,0.2121116816997528,1.0093746185302734,2.08390474319458,2.1004817485809326,0
stabilizer_pooling,0.12049757689237595,0.11765005439519882,1.00338876247406,2.058969736099243,2.0203492641448975,0
orbit_alignment,0.0663367286324501,0.04522539675235748,1.0066392421722412,2.040278434753418,2.099759340286255,0
