method,time,target,own_velocity_error,shuffled_velocity_error,own_target_margin,own_target_win,condition_velocity_shift_rms
raw_tensor,0.0,0,2.480348587036133,2.434082508087158,-0.04626607894897461,False,0.46202799677848816
raw_tensor,0.0,1,1.410593032836914,1.4827115535736084,0.07211852073669434,True,0.6704258322715759
raw_tensor,0.0,2,3.8067574501037598,4.693321228027344,0.886563777923584,True,0.6873997449874878
raw_tensor,0.0,3,2.065601348876953,2.1299686431884766,0.06436729431152344,True,0.199218288064003
raw_tensor,0.0,4,1.670464038848877,1.5342981815338135,-0.13616585731506348,False,0.26212096214294434
raw_tensor,0.0,5,1.7491469383239746,1.1679918766021729,-0.5811550617218018,False,0.4709933400154114
raw_tensor,0.0,6,2.092524528503418,2.0486409664154053,-0.043883562088012695,False,0.06736402213573456
raw_tensor,0.0,7,1.7258474826812744,1.679571509361267,-0.046275973320007324,False,0.17082294821739197
raw_tensor,0.125,0,1.4597153663635254,1.8624398708343506,0.4027245044708252,True,0.41147297620773315
raw_tensor,0.125,1,1.7988848686218262,1.4448158740997314,-0.3540689945220947,False,0.6557915806770325
raw_tensor,0.125,2,2.4221034049987793,2.5509514808654785,0.12884807586669922,True,0.7229032516479492
raw_tensor,0.125,3,2.0709307193756104,2.13623046875,0.06529974937438965,True,0.2037367820739746
raw_tensor,0.125,4,2.217665195465088,2.2658886909484863,0.04822349548339844,True,0.26004457473754883
raw_tensor,0.125,5,2.0373804569244385,2.4465131759643555,0.409132719039917,True,0.37140536308288574
raw_tensor,0.125,6,2.0450708866119385,1.9404103755950928,-0.1046605110168457,False,0.07226298004388809
raw_tensor,0.125,7,2.1792664527893066,2.2163634300231934,0.03709697723388672,True,0.16501861810684204
raw_tensor,0.25,0,0.9626068472862244,0.948925256729126,-0.013681590557098389,False,0.4200356900691986
raw_tensor,0.25,1,1.1887845993041992,2.185997486114502,0.9972128868103027,True,0.6584895253181458
raw_tensor,0.25,2,1.2514327764511108,1.834340214729309,0.5829074382781982,True,0.7321171760559082
raw_tensor,0.25,3,1.0128099918365479,1.058068871498108,0.04525887966156006,True,0.20036926865577698
raw_tensor,0.25,4,2.068420886993408,1.8490335941314697,-0.21938729286193848,False,0.26541057229042053
raw_tensor,0.25,5,1.1148626804351807,1.3324650526046753,0.21760237216949463,True,0.44261884689331055
raw_tensor,0.25,6,1.9841688871383667,1.9575698375701904,-0.02659904956817627,False,0.07188869267702103
raw_tensor,0.25,7,2.332071304321289,2.4751176834106445,0.14304637908935547,True,0.16179242730140686
raw_tensor,0.375,0,2.552999258041382,3.381481885910034,0.8284826278686523,True,0.4345327615737915
raw_tensor,0.375,1,1.8256434202194214,2.645765542984009,0.8201221227645874,True,0.6640534400939941
raw_tensor,0.375,2,0.9933110475540161,1.5829188823699951,0.589607834815979,True,0.7234585881233215
raw_tensor,0.375,3,1.698911190032959,1.955344557762146,0.256433367729187,True,0.20060160756111145
raw_tensor,0.375,4,1.340235948562622,1.5457953214645386,0.2055593729019165,True,0.26779061555862427
raw_tensor,0.375,5,1.6256394386291504,1.7264512777328491,0.10081183910369873,True,0.33540475368499756
raw_tensor,0.375,6,1.0166584253311157,1.0267338752746582,0.01007544994354248,True,0.0674477368593216
raw_tensor,0.375,7,1.3862981796264648,1.5816926956176758,0.19539451599121094,True,0.1635185182094574
raw_tensor,0.5,0,1.9837430715560913,2.1691243648529053,0.18538129329681396,True,0.4602276384830475
raw_tensor,0.5,1,1.997840404510498,2.2257442474365234,0.2279038429260254,True,0.6824901700019836
raw_tensor,0.5,2,1.1244189739227295,1.9701703786849976,0.8457514047622681,True,0.7195048928260803
raw_tensor,0.5,3,2.1553900241851807,2.0851235389709473,-0.0702664852142334,False,0.19633592665195465
raw_tensor,0.5,4,2.0715997219085693,2.10406231880188,0.03246259689331055,True,0.26631999015808105
raw_tensor,0.5,5,1.773679256439209,2.451300621032715,0.6776213645935059,True,0.4356920123100281
raw_tensor,0.5,6,1.4235090017318726,1.44527268409729,0.02176368236541748,True,0.06823135167360306
raw_tensor,0.5,7,1.8350907564163208,2.07800555229187,0.24291479587554932,True,0.16582028567790985
raw_tensor,0.625,0,2.3197128772735596,1.6266279220581055,-0.6930849552154541,False,0.4771074950695038
raw_tensor,0.625,1,2.016245126724243,2.734361171722412,0.718116044998169,True,0.6690311431884766
raw_tensor,0.625,2,1.4966096878051758,1.8939234018325806,0.3973137140274048,True,0.7286779880523682
raw_tensor,0.625,3,1.6784164905548096,1.6504580974578857,-0.027958393096923828,False,0.19985219836235046
raw_tensor,0.625,4,1.8447774648666382,1.8448326587677002,5.519390106201172e-05,True,0.26629042625427246
raw_tensor,0.625,5,2.22017502784729,2.7080821990966797,0.48790717124938965,True,0.4139266014099121
raw_tensor,0.625,6,1.5449588298797607,1.502060890197754,-0.042897939682006836,False,0.0711338073015213
raw_tensor,0.625,7,1.9568507671356201,2.0071051120758057,0.05025434494018555,True,0.1617715060710907
raw_tensor,0.75,0,1.6804866790771484,1.8475302457809448,0.1670435667037964,True,0.46280455589294434
raw_tensor,0.75,1,1.0172597169876099,1.3882005214691162,0.37094080448150635,True,0.667373776435852
raw_tensor,0.75,2,1.762643814086914,2.7247560024261475,0.9621121883392334,True,0.7320088744163513
raw_tensor,0.75,3,1.8019559383392334,1.860548496246338,0.05859255790710449,True,0.1963757425546646
raw_tensor,0.75,4,1.941194772720337,2.006232738494873,0.06503796577453613,True,0.26756781339645386
raw_tensor,0.75,5,3.023955821990967,3.002669095993042,-0.021286725997924805,False,0.3759664297103882
raw_tensor,0.75,6,2.6122632026672363,2.648562431335449,0.03629922866821289,True,0.069473035633564
raw_tensor,0.75,7,1.9885859489440918,2.1658663749694824,0.17728042602539062,True,0.16647569835186005
raw_tensor,0.875,0,1.6806308031082153,1.8585315942764282,0.1779007911682129,True,0.4615139961242676
raw_tensor,0.875,1,1.8751064538955688,2.79866361618042,0.9235571622848511,True,0.6673031449317932
raw_tensor,0.875,2,2.0970253944396973,1.7561348676681519,-0.3408905267715454,False,0.7280240058898926
raw_tensor,0.875,3,2.08589506149292,2.0559439659118652,-0.029951095581054688,False,0.19618916511535645
raw_tensor,0.875,4,5.080278396606445,5.45060920715332,0.370330810546875,True,0.26567012071609497
raw_tensor,0.875,5,1.3050974607467651,1.6602873802185059,0.3551899194717407,True,0.3710525631904602
raw_tensor,0.875,6,1.7989546060562134,1.822737216949463,0.02378261089324951,True,0.0702524334192276
raw_tensor,0.875,7,1.347541093826294,1.3468513488769531,-0.0006897449493408203,False,0.1649307906627655
raw_tensor,1.0,0,2.2398529052734375,2.4363558292388916,0.1965029239654541,True,0.46028879284858704
raw_tensor,1.0,1,1.856091022491455,1.6418447494506836,-0.21424627304077148,False,0.6719186902046204
raw_tensor,1.0,2,2.2226405143737793,2.337724447250366,0.11508393287658691,True,0.7280087471008301
raw_tensor,1.0,3,2.8317360877990723,2.681676149368286,-0.15005993843078613,False,0.19616974890232086
raw_tensor,1.0,4,1.8026351928710938,1.588856816291809,-0.21377837657928467,False,0.26558899879455566
raw_tensor,1.0,5,2.781980514526367,2.7449584007263184,-0.03702211380004883,False,0.3770632743835449
raw_tensor,1.0,6,3.2703444957733154,3.314669609069824,0.04432511329650879,True,0.07032196968793869
raw_tensor,1.0,7,2.428483009338379,2.5605673789978027,0.13208436965942383,True,0.16530482470989227
direct_irrep,0.0,0,2.116529941558838,2.158892869949341,0.04236292839050293,True,0.526757538318634
direct_irrep,0.0,1,1.7317086458206177,1.2345343828201294,-0.4971742630004883,False,0.7690479159355164
direct_irrep,0.0,2,3.4270052909851074,5.065011024475098,1.6380057334899902,True,1.0338364839553833
direct_irrep,0.0,3,2.4299497604370117,2.408249855041504,-0.021699905395507812,False,0.1385147124528885
direct_irrep,0.0,4,1.9258698225021362,1.8983553647994995,-0.02751445770263672,False,0.19011777639389038
direct_irrep,0.0,5,1.2123535871505737,1.0944828987121582,-0.11787068843841553,False,0.36750081181526184
direct_irrep,0.0,6,2.2927799224853516,2.217683792114258,-0.07509613037109375,False,0.07535996288061142
direct_irrep,0.0,7,1.7193725109100342,1.7293611764907837,0.009988665580749512,True,0.2728447914123535
direct_irrep,0.125,0,1.2580431699752808,1.8252559900283813,0.5672128200531006,True,0.5268174409866333
direct_irrep,0.125,1,1.9662225246429443,1.3076715469360352,-0.6585509777069092,False,0.7635018229484558
direct_irrep,0.125,2,2.2390871047973633,3.0346450805664062,0.795557975769043,True,0.9387831687927246
direct_irrep,0.125,3,2.684821367263794,2.7289257049560547,0.04410433769226074,True,0.12789328396320343
direct_irrep,0.125,4,2.394505500793457,2.307638645172119,-0.08686685562133789,False,0.191295325756073
direct_irrep,0.125,5,1.6937451362609863,2.0027499198913574,0.3090047836303711,True,0.3310064971446991
direct_irrep,0.125,6,2.7485857009887695,2.5986595153808594,-0.14992618560791016,False,0.07651473581790924
direct_irrep,0.125,7,2.1853692531585693,2.2108240127563477,0.02545475959777832,True,0.24237164855003357
direct_irrep,0.25,0,1.10990309715271,1.1969614028930664,0.08705830574035645,True,0.5140743851661682
direct_irrep,0.25,1,1.269318699836731,2.3303520679473877,1.0610333681106567,True,0.9327546954154968
direct_irrep,0.25,2,1.3935515880584717,2.7538206577301025,1.3602690696716309,True,0.9658830761909485
direct_irrep,0.25,3,1.0320442914962769,1.081500768661499,0.04945647716522217,True,0.12395554035902023
direct_irrep,0.25,4,1.9159518480300903,1.9258372783660889,0.009885430335998535,True,0.1031470000743866
direct_irrep,0.25,5,1.234548568725586,1.5006269216537476,0.2660783529281616,True,0.3838367760181427
direct_irrep,0.25,6,2.2207412719726562,2.153803825378418,-0.06693744659423828,False,0.08491019159555435
direct_irrep,0.25,7,1.980865716934204,2.1643199920654297,0.18345427513122559,True,0.21931052207946777
direct_irrep,0.375,0,2.579573631286621,3.642688751220703,1.063115119934082,True,0.530719518661499
direct_irrep,0.375,1,1.5276637077331543,2.326533317565918,0.7988696098327637,True,0.8639066219329834
direct_irrep,0.375,2,0.9761461019515991,1.8710094690322876,0.8948633670806885,True,0.9977251887321472
direct_irrep,0.375,3,1.8710216283798218,2.0511465072631836,0.18012487888336182,True,0.13462914526462555
direct_irrep,0.375,4,1.1318469047546387,1.2028205394744873,0.07097363471984863,True,0.13768921792507172
direct_irrep,0.375,5,1.658841848373413,1.6345078945159912,-0.024333953857421875,False,0.456638365983963
direct_irrep,0.375,6,1.1460611820220947,1.1413606405258179,-0.0047005414962768555,False,0.08413819968700409
direct_irrep,0.375,7,1.1735270023345947,1.391330361366272,0.21780335903167725,True,0.20289528369903564
direct_irrep,0.5,0,2.2690086364746094,2.5456581115722656,0.27664947509765625,True,0.5463913083076477
direct_irrep,0.5,1,2.469221353530884,2.130077362060547,-0.3391439914703369,False,0.8490191698074341
direct_irrep,0.5,2,1.261453628540039,2.562448740005493,1.300995111465454,True,0.9929918050765991
direct_irrep,0.5,3,2.2847542762756348,2.2342166900634766,-0.0505375862121582,False,0.11179816722869873
direct_irrep,0.5,4,2.4409711360931396,2.3350253105163574,-0.10594582557678223,False,0.13944558799266815
direct_irrep,0.5,5,1.971972942352295,2.506669044494629,0.534696102142334,True,0.36973196268081665
