method,embedding,dimension,effective_rank,off_diagonal_cosine_mean,off_diagonal_cosine_min,off_diagonal_cosine_max,mean_pairwise_distance
raw_tensor,raw_irrep_coordinates,18,3.63167405128479,0.05357583239674568,-0.9394018650054932,1.0,5.390006065368652
raw_tensor,six_probe_response,18,3.6472737789154053,0.030559763312339783,-0.9054030179977417,1.0,5.285857200622559
raw_tensor,raw_condition_embedding,64,4.385563373565674,0.4259311854839325,-0.10992509126663208,0.9851131439208984,2.3998522758483887
raw_tensor,uniform_pooled_embedding,64,4.385563373565674,0.4259311854839325,-0.10992509126663208,0.9851131439208984,2.3998522758483887
raw_tensor,aligned_embedding,64,4.334545612335205,0.48767900466918945,-0.015747949481010437,0.9824090600013733,2.3998522758483887
raw_tensor,phi_sum_q_tensor,64,4.385563373565674,0.4259311854839325,-0.10992509126663208,0.9851131439208984,2.3998522758483887
raw_tensor,sum_q_phi_tensor,64,4.334545612335205,0.48767900466918945,-0.015747949481010437,0.9824090600013733,2.3998522758483887
direct_irrep,raw_irrep_coordinates,18,3.63167405128479,0.05357583239674568,-0.9394018650054932,1.0,5.390006065368652
direct_irrep,six_probe_response,18,3.6472737789154053,0.030559763312339783,-0.9054030179977417,1.0,5.285857200622559
direct_irrep,raw_condition_embedding,64,4.352754592895508,0.5244062542915344,0.09022830426692963,0.9879929423332214,2.349060297012329
direct_irrep,uniform_pooled_embedding,64,4.352754592895508,0.5244062542915344,0.09022830426692963,0.9879929423332214,2.349060297012329
direct_irrep,aligned_embedding,64,4.309340476989746,0.5778704881668091,0.16708067059516907,0.9849266409873962,2.349060297012329
direct_irrep,phi_sum_q_tensor,64,4.352754592895508,0.5244062542915344,0.09022830426692963,0.9879929423332214,2.349060297012329
direct_irrep,sum_q_phi_tensor,64,4.309340476989746,0.5778704881668091,0.16708067059516907,0.9849266409873962,2.349060297012329
stabilizer_pooling,raw_irrep_coordinates,18,3.63167405128479,0.05357583239674568,-0.9394018650054932,1.0,5.390006065368652
stabilizer_pooling,six_probe_response,18,3.6472737789154053,0.030559763312339783,-0.9054030179977417,1.0,5.285857200622559
stabilizer_pooling,raw_condition_embedding,64,4.784902095794678,0.4111941158771515,-0.043333083391189575,0.9910356402397156,3.211217164993286
stabilizer_pooling,uniform_pooled_embedding,64,4.168182849884033,0.5073598623275757,0.07529500871896744,0.9919413328170776,2.559279203414917
stabilizer_pooling,aligned_embedding,64,4.132151126861572,0.5602484345436096,0.1791372448205948,0.990528404712677,2.559279203414917
stabilizer_pooling,phi_sum_q_tensor,64,3.812995195388794,0.5336956977844238,0.006287021562457085,0.9959883689880371,1.5034892559051514
stabilizer_pooling,sum_q_phi_tensor,64,4.132151126861572,0.5602484345436096,0.1791372448205948,0.990528404712677,2.559279203414917
orbit_alignment,raw_irrep_coordinates,18,3.63167405128479,0.05357583239674568,-0.9394018650054932,1.0,5.390006065368652
orbit_alignment,six_probe_response,18,3.6472737789154053,0.030559763312339783,-0.9054030179977417,1.0,5.285857200622559
orbit_alignment,raw_condition_embedding,64,4.287263870239258,0.45559850335121155,-0.18914711475372314,0.9634242653846741,2.145986318588257
orbit_alignment,uniform_pooled_embedding,64,3.9448182582855225,0.515718400478363,0.02388438768684864,0.9886577129364014,1.7034744024276733
orbit_alignment,aligned_embedding,64,4.111089706420898,0.5989848375320435,0.1077667623758316,0.9901605844497681,1.4916703701019287
orbit_alignment,phi_sum_q_tensor,64,3.9226527214050293,0.6728038787841797,0.22203148901462555,0.9967394471168518,0.9510897397994995
orbit_alignment,sum_q_phi_tensor,64,4.111089706420898,0.5989848375320435,0.1077667623758316,0.9901605844497681,1.4916703701019287
