group,value,decisions,initial_nll_per_decision,final_nll_per_decision,ratio,uniform_nll_per_decision,empirical_nll_per_decision,final_minus_empirical,learning_gain
slot,0,27009,4.4980998039245605,3.4131011962890625,0.7587873424487281,4.326270906131907,3.4837569193344375,-0.07065572304537504,1.084998607635498
slot,1,26967,4.422966480255127,3.2502832412719727,0.7348649951976324,4.227850682400877,3.736240662691023,-0.4859574214190503,1.1726832389831543
slot,2,25333,4.233651161193848,3.1938445568084717,0.7543948320739395,4.042445423621662,3.748903511426706,-0.5550589546182345,1.039806604385376
slot,3,11620,3.986020803451538,3.040402889251709,0.7627664378015768,3.8583003740353883,3.5465294053984997,-0.5061265161467907,0.9456179141998291
slot,4,76,3.900824785232544,3.268056869506836,0.8377861220218877,3.7753203902425674,2.954562353006571,0.3134945165002647,0.632767915725708
slot,5,3,4.122142791748047,2.529902219772339,0.6137347364183621,4.200965732662784,3.1798795283563863,-0.6499773085840475,1.592240571975708
count,1,31830,4.2096662521362305,3.24916410446167,0.771834133599749,4.022143658991597,3.6709722352936374,-0.42180813083196744,0.9605021476745605
count,2,26609,4.35930871963501,3.342602252960205,0.7667734652296133,4.1746351379770275,3.817176205564856,-0.4745739526046511,1.0167064666748047
count,3,7383,4.399258613586426,3.133169174194336,0.7122039073852195,4.2633163034493515,3.5277800784409643,-0.39461090424662837,1.2660894393920898
count,4,10474,4.414381504058838,3.3866610527038574,0.7671881212781372,4.230532705848172,3.7640932040084913,-0.3774321513046339,1.0277204513549805
count,5,1471,4.549830436706543,3.7686471939086914,0.8283049767095668,4.307050111602693,3.7266667762077317,0.04198041770095973,0.7811832427978516
count,6,6561,4.487838268280029,3.1386609077453613,0.699370324891021,4.3096329958813335,3.3252131507081755,-0.18655224296281414,1.349177360534668
count,7,406,4.582414627075195,3.3411920070648193,0.7291334981612941,4.329591510394087,3.342291911374437,-0.0010999043096178163,1.241222620010376
count,8,3601,4.523213863372803,2.8350563049316406,0.6267791863411115,4.321455417244985,3.0191291499700297,-0.18407284503838905,1.688157558441162
count,9,170,4.453018665313721,3.2530930042266846,0.730536575012874,4.330655427187801,2.986386809186859,0.26670619503982573,1.1999256610870361
count,10,862,4.51259183883667,3.151157855987549,0.6983033184760415,4.33073334028633,3.2757683464175793,-0.12461049043003047,1.361433982849121
count,11,10,4.303226470947266,2.606098175048828,0.6056149246718939,4.330733340286331,2.5490045887055013,0.05709358634332684,1.6971282958984375
count,12,1448,4.239802360534668,2.622588872909546,0.6185639447068045,4.33073334028633,2.752071371633125,-0.1294824987235792,1.617213487625122
count,13,39,4.358006954193115,3.8623790740966797,0.8862718932516708,4.330733340286331,3.511638369689059,0.35074070440762073,0.49562788009643555
count,14,39,4.141207218170166,2.3403589725494385,0.5651393058238582,4.330733340286331,1.8478083626311412,0.49255060991829724,1.8008482456207275
count,15,82,4.650356292724609,2.8800995349884033,0.619328789816441,4.33073334028633,2.7113630928022943,0.16873644218610906,1.770256757736206
count,16,11,4.481302261352539,4.256523609161377,0.94984077415851,4.33073334028633,3.2990352344341174,0.9574883747272596,0.2247786521911621
count,17,12,4.752645015716553,3.492377519607544,0.734828186843027,4.330733340286331,3.140910369217758,0.35146715038978593,1.2602674961090088
support,1,42,4.499075412750244,4.688041687011719,1.0420011351056597,4.330733340286331,4.478444216642495,0.20959747036922405,-0.1889662742614746
support,2,3268,4.4289984703063965,3.9320037364959717,0.8877862033273534,4.252206182982962,4.1674246953385286,-0.23542095884255687,0.4969947338104248
support,3,41139,4.393451690673828,3.564718008041382,0.8113707078214527,4.197251752468704,3.8757012827227473,-0.31098327468136544,0.8287336826324463
support,4,46176,4.281149387359619,2.93574595451355,0.6857377981673652,4.116581113299318,3.395031899330515,-0.45928594481696505,1.3454034328460693
support,5,365,4.031485080718994,2.7897939682006836,0.6920015608003041,4.077655914292275,3.2385717548088446,-0.44877778660816103,1.2416911125183105
support,6,18,4.323773384094238,3.0582549571990967,0.7073115738325755,4.250745458886511,3.4965557123347675,-0.4383007551356708,1.2655184268951416
node_count,1,10,4.698559284210205,4.380097389221191,0.9322213734624517,4.330733340286331,4.291469726898795,0.08862766232239672,0.31846189498901367
node_count,2,182,4.222599506378174,3.8972017765045166,0.9229390025309886,4.056540892813849,3.971398490304042,-0.07419671379952542,0.3253977298736572
node_count,3,4,5.0206146240234375,4.487767696380615,0.8938681879518952,4.330733340286331,4.011229701953951,0.4765379944266641,0.5328469276428223
node_count,4,18101,4.146820068359375,3.3655831813812256,0.8116057909193939,3.9533557036352733,3.6518310439620323,-0.2862478625808067,0.7812368869781494
node_count,5,5014,4.311007499694824,3.3389275074005127,0.774512108280228,4.119321284244685,3.714464763310129,-0.3755372559096162,0.9720799922943115
node_count,6,4264,4.376221179962158,3.4642224311828613,0.7916013128049476,4.200266546257084,3.729441506138066,-0.2652190749552048,0.9119987487792969
node_count,7,2949,4.337251663208008,3.3713936805725098,0.7773110583301708,4.132768628876676,3.646904104403533,-0.2755104238310233,0.965857982635498
node_count,8,6228,4.358565807342529,3.574157953262329,0.8200307420485035,4.173763496872605,3.843672092179812,-0.2695141389174829,0.7844078540802002
node_count,9,3634,4.430151462554932,3.3738718032836914,0.7615703056206415,4.246006551083444,3.7367803211967634,-0.362908517913072,1.0562796592712402
node_count,10,14710,4.402675628662109,3.175544023513794,0.721275944755163,4.212067311740197,3.648267186758594,-0.4727231632448001,1.2271316051483154
node_count,11,3664,4.501120567321777,3.31134033203125,0.7356702142287956,4.244148856151721,3.6082142904281436,-0.29687395839689357,1.1897802352905273
node_count,12,15999,4.358864784240723,3.0768306255340576,0.7058788876998889,4.213228053488903,3.6254811883966953,-0.5486505628626377,1.282034158706665
node_count,13,481,4.4477081298828125,3.4153969287872314,0.7679004172598933,4.271290263173497,3.3734769419257087,0.04191998686152276,1.032311201095581
node_count,14,1922,4.438545227050781,3.335916042327881,0.751578697902432,4.255169043480001,3.6088108730678865,-0.27289483074000564,1.1026291847229004
node_count,15,1858,4.315795421600342,2.8233530521392822,0.6541906592718785,4.18765042518327,3.0951897075167176,-0.2718366553774354,1.4924423694610596
node_count,16,4158,4.420071125030518,3.0161218643188477,0.6823695318473011,4.263171482930766,3.56347453572875,-0.5473526714099024,1.40394926071167
node_count,17,50,4.543178081512451,4.132659435272217,0.9096406438676139,4.316876031600155,3.434513543575464,0.6981458916967527,0.4105186462402344
node_count,18,1868,4.444050312042236,3.3053131103515625,0.7437614064348038,4.287144977241981,3.6043992355096504,-0.29908612515808786,1.1387372016906738
node_count,19,455,4.379862308502197,3.1928563117980957,0.7289855449565428,4.2087909216668695,3.328091280708592,-0.13523496891049636,1.1870059967041016
node_count,20,5457,4.370734691619873,3.1000044345855713,0.7092639231864823,4.227563812690612,3.508295465998073,-0.40829103141250167,1.2707302570343018
equal_count_tie,false,67617,4.493216514587402,3.3369851112365723,0.7426717809842727,4.31338605019865,3.687053063412528,-0.35006795217595554,1.15623140335083
equal_count_tie,true,23391,3.882817506790161,3.0222327709198,0.7783607562381196,3.7083802834207282,3.5037517130282847,-0.4815189421084849,0.8605847358703613
partition_fit_frequency,1-5,137,4.346071243286133,3.725843906402588,0.8572901128020669,4.246429343103384,4.137977899264718,-0.41213399286213015,0.6202273368835449
partition_fit_frequency,6-20,244,4.297756671905518,3.642564535140991,0.8475502019349944,4.244526754203813,3.634047829213172,0.008516705927819057,0.6551921367645264
partition_fit_frequency,21-100,491,4.281239986419678,3.523397207260132,0.8229852141988153,4.217945710917118,3.762786727569196,-0.23938952030906435,0.7578427791595459
partition_fit_frequency,>100,90136,4.3367204666137695,3.252870559692383,0.7500761427291885,4.157190368706012,3.6385304915066765,-0.3856599318142937,1.0838499069213867
element_fit_frequency_quartile,Q1,7449,4.238326072692871,3.8816211223602295,0.9158382474083678,4.150494714902559,4.605139864632521,-0.7235187422722911,0.3567049503326416
element_fit_frequency_quartile,Q2,17823,4.353323459625244,3.34614634513855,0.7686417919946161,4.196898226203281,3.812306760957035,-0.46616041581848533,1.0071771144866943
element_fit_frequency_quartile,Q3,28535,4.256598472595215,3.216632604598999,0.7556814732017332,4.170063054770568,3.5893267077009865,-0.3726941031019875,1.0399658679962158
element_fit_frequency_quartile,Q4,37201,4.40897274017334,3.117948055267334,0.7071824297885659,4.131336423240449,3.4029153907630705,-0.2849673354957365,1.2910246849060059
