variant,state_head,terminal_pairwise_rms,peak_pairwise_rms,terminal_over_peak,finite,retained_at_90pct_peak,checkpoint_step
residual_counterfactual,type_logit,0.09900430064382297,0.09900430064382297,1.0,True,True,800
residual_counterfactual,fractional_coordinate,0.022689195216766427,0.022689195216766427,1.0,True,True,800
residual_counterfactual,lattice_log,0.41726796994251864,0.41726796994251864,1.0,True,True,800
