variant,checkpoint_step,conditional_control,condition_dropout,counterfactual_weight,final_training_loss,counterfactual_training_loss,condition_shuffle_gap,generated_between_within_ratio,own_target_win_rate,mean_own_target_margin,mean_own_flow_error,mean_wrong_condition_flow_error,own_not_worse_than_wrong,common_noise_terminal_pass,sampling_failure_count_cfg0,all_residual_heads_recorded,s1_pass,checkpoint_sha256
original_injection,400,original_injection,0.0,0.0,1.8649237155914307,0.0,0.0953284502029419,1.00027334690094,0.6111111111111112,0.2032625666922993,1.9577180238233671,2.1609805905156665,True,True,0,True,False,2baaac58eaf55ee9f01349bf7d9130efab260cbd8e81c4981e48b89403832834
original_injection,800,original_injection,0.0,0.0,1.7716388702392578,0.0,0.11691378802061081,1.0068331956863403,0.6388888888888888,0.2205641120672226,1.8372861304216914,2.057850242488914,True,True,0,True,False,217af5e3821bc86a0797aa8845fccebf6d843aab0f270263849eb936fe7ce3ef
residual_field,400,residual_field,0.0,0.0,1.8378994464874268,0.0,0.08680637925863266,0.9971078634262085,0.5416666666666666,0.16685709026124743,1.9428383708000183,2.109695461061266,True,True,0,True,False,b331901d34588336e8fff9352ef477464056bd90e754a6f61c673073dea867b3
residual_field,800,residual_field,0.0,0.0,1.7248954772949219,0.0,0.14111711084842682,1.0038139820098877,0.5555555555555556,0.24149555299017164,1.8272463356455166,2.068741890291373,True,True,0,True,False,1c93a8faa7501276795ca37f58fd0450cf7815bc5dbc948cad2d04a76bd9efb7
residual_counterfactual,400,residual_field,0.0,0.25,2.0170557498931885,0.6545291543006897,0.11585240811109543,0.9980668425559998,0.5972222222222222,0.23217698434988657,1.9460643380880356,2.178241324093607,True,True,0,True,False,03a26f45d0689ff61c3c522be296d4d16a11af0cd785a86af2e137e0e1ba5712
residual_counterfactual,800,residual_field,0.0,0.25,1.901618480682373,0.5097510814666748,0.2206854373216629,1.0068488121032715,0.5694444444444444,0.415039358039697,1.8279591980907652,2.2429985544747777,True,True,0,True,False,23e30106323086724bd0377df4accc6640f9b93140d8f1c6cab0084d503b7507
residual_counterfactual_dropout,400,residual_field,0.1,0.25,1.6535581350326538,0.6701986193656921,0.13694041967391968,0.9975854754447937,0.5694444444444444,0.2478427431649632,1.9282954840196505,2.1761382271846137,True,True,0,True,False,27bb207c46ee7a020a7723237b591caae7c798262092293f7016519816665ac0
residual_counterfactual_dropout,800,residual_field,0.1,0.25,1.6315405368804932,0.6072808504104614,0.12979386746883392,0.9982811212539673,0.6388888888888888,0.24680988656149971,1.8264178600576189,2.073227747446961,True,True,0,True,False,a4ead5336c84c3cabb7ee246c0e35128b69db11c1eec6f8c73793829a39202e1
