variant,checkpoint_step,cfg_scale,analysis,within_target_distance_mean,between_target_distance_mean,between_within_distance_ratio,sampling_failure_count
original_injection,400,0.0,main,16.272666931152344,16.277114868164062,1.00027334690094,0
original_injection,800,0.0,main,16.1698055267334,16.280298233032227,1.0068333148956299,0
residual_field,400,0.0,main,16.31863784790039,16.271442413330078,0.9971078634262085,0
residual_field,800,0.0,main,16.213605880737305,16.27544593811035,1.0038141012191772,0
residual_counterfactual,400,0.0,main,16.304298400878906,16.27277946472168,0.9980668425559998,0
residual_counterfactual,800,0.0,main,16.170635223388672,16.28138542175293,1.0068488121032715,0
residual_counterfactual_dropout,400,0.0,main,16.309345245361328,16.26996612548828,0.9975854754447937,0
residual_counterfactual_dropout,400,1.0,pre_registered_dropout_only_supplement,16.09006690979004,16.288288116455078,1.0123194456100464,0
residual_counterfactual_dropout,800,0.0,main,16.293962478637695,16.265953063964844,0.9982810020446777,0
residual_counterfactual_dropout,800,1.0,pre_registered_dropout_only_supplement,16.067790985107422,16.289487838745117,1.013797640800476,0
