variant,time,target,head,base_velocity_rms,conditional_residual_rms,gated_conditional_residual_rms,gated_residual_over_base,g_t,conditional_control,checkpoint_step
original_injection,0.25,7,type_logit,0.5857753753662109,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,0,fractional_coordinate,0.02757931314408779,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,1,fractional_coordinate,0.03752638399600983,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,2,fractional_coordinate,0.029220301657915115,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,3,fractional_coordinate,0.034672439098358154,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,4,fractional_coordinate,0.05130577087402344,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,5,fractional_coordinate,0.03103172779083252,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,6,fractional_coordinate,0.033669453114271164,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,7,fractional_coordinate,0.04385286942124367,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,0,lattice_log,2.122840642929077,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,1,lattice_log,2.5595171451568604,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,2,lattice_log,2.145784854888916,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,3,lattice_log,2.2389283180236816,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,4,lattice_log,2.2474570274353027,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,5,lattice_log,2.097818374633789,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,6,lattice_log,2.0944879055023193,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.25,7,lattice_log,2.122718572616577,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,0,type_logit,0.5849291086196899,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,1,type_logit,0.5785667300224304,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,2,type_logit,0.5813449621200562,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,3,type_logit,0.5750471353530884,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,4,type_logit,0.5740634799003601,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,5,type_logit,0.5763946771621704,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,6,type_logit,0.5767859220504761,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,7,type_logit,0.5857753753662109,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,0,fractional_coordinate,0.027579311281442642,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,1,fractional_coordinate,0.03752638399600983,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,2,fractional_coordinate,0.029220299795269966,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,3,fractional_coordinate,0.034672439098358154,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,4,fractional_coordinate,0.05130577087402344,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,5,fractional_coordinate,0.03103172779083252,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,6,fractional_coordinate,0.033669453114271164,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,7,fractional_coordinate,0.04385286569595337,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,0,lattice_log,2.122840642929077,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,1,lattice_log,2.5595171451568604,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,2,lattice_log,2.145784854888916,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,3,lattice_log,2.2389280796051025,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,4,lattice_log,2.2474567890167236,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,5,lattice_log,2.097818374633789,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.375,6,lattice_log,2.0944881439208984,0.0,0.0,0.0,1.0,original_injection,400
