material_id,endpoint_label,chemical_vocabulary_size,active_composition_atomic_number_counts,assignment_support_size,all_enumerated_assignments_have_exact_counts,fixed_cif_probability,proper_so3_target_orbit_size,proper_so3_quotient_probability,proper_so3_quotient_nll,full_o3_target_orbit_size_diagnostic,full_o3_quotient_probability,full_o3_quotient_nll,assignment_entropy,assignment_sampling_count_failures,q0_status
JVASP-1180,InN,119,"{""7"": 2, ""49"": 2}",6,True,0.1666666567325592,2,0.3333333134651184,1.0986123085021973,2,0.3333333134651184,1.0986123085021973,1.7917593717575073,0,passed_exact_law_checks
JVASP-22673,BN,119,"{""5"": 2, ""7"": 2}",6,True,0.1666666567325592,2,0.3333333134651184,1.0986123085021973,2,0.3333333134651184,1.0986123085021973,1.7917593717575073,0,passed_exact_law_checks
