time,representation,neighbors,trace_variance,target_trace_variance,normalized_trace_variance
0.0,universal_cover_X,4,0.3685291190615879,0.4792885500366272,0.7689086647979072
0.0,universal_cover_X,8,0.4212995959302858,0.4792885500366272,0.8790103496069125
0.0,universal_cover_X,16,0.463081476371251,0.4792885500366272,0.9661851432417119
0.0,wrapped_torus,4,0.3809405476291295,0.4792885500366272,0.7948041896682448
0.0,wrapped_torus,8,0.42390420679032736,0.4792885500366272,0.8844446769236041
0.0,wrapped_torus,16,0.450319131607952,0.4792885500366272,0.9395574577643022
0.0,production_input,4,0.3708454222209999,0.4792885500366272,0.7737414594875257
0.0,production_input,8,0.4247004989393244,0.4792885500366272,0.8861060814135218
0.0,production_input,16,0.45427199203728946,0.4792885500366272,0.9478048077772232
0.03125,universal_cover_X,4,0.36592108446978133,0.4792885500366272,0.7634671941189033
0.03125,universal_cover_X,8,0.42054098818506624,0.4792885500366272,0.8774275708295735
0.03125,universal_cover_X,16,0.46346538633416146,0.4792885500366272,0.966986142896056
0.03125,wrapped_torus,4,0.36885233908377696,0.4792885500366272,0.769583039393679
0.03125,wrapped_torus,8,0.4149585681072527,0.4792885500366272,0.8657802655113326
0.03125,wrapped_torus,16,0.44559794666622526,0.4792885500366272,0.9297070556602546
0.03125,production_input,4,0.38068277430908287,0.4792885500366272,0.7942663647608338
0.03125,production_input,8,0.4222289849162992,0.4792885500366272,0.8809494507724678
0.03125,production_input,16,0.4536695389353188,0.4792885500366272,0.9465478340775081
0.0625,universal_cover_X,4,0.35817274473083716,0.4792885500366272,0.7473008581228691
0.0625,universal_cover_X,8,0.41955932535108065,0.4792885500366272,0.8753794041585553
0.0625,universal_cover_X,16,0.4619309533154523,0.4792885500366272,0.9637846622460553
0.0625,wrapped_torus,4,0.3528693693466845,0.4792885500366272,0.7362357588549074
0.0625,wrapped_torus,8,0.4051601374642526,0.4792885500366272,0.8453365669455077
0.0625,wrapped_torus,16,0.4399804927199266,0.4792885500366272,0.9179866547746725
0.0625,production_input,4,0.3868875486171319,0.4792885500366272,0.8072121660063984
0.0625,production_input,8,0.4262883093583022,0.4792885500366272,0.8894189300489763
0.0625,production_input,16,0.4526544372695214,0.4792885500366272,0.9444298997648277
0.09375,universal_cover_X,4,0.35473701818072895,0.4792885500366272,0.7401324695814661
0.09375,universal_cover_X,8,0.41822224458004476,0.4792885500366272,0.8725896843312536
0.09375,universal_cover_X,16,0.46268710873391167,0.4792885500366272,0.9653623244255536
0.09375,wrapped_torus,4,0.33120532255096446,0.4792885500366272,0.691035332527042
0.09375,wrapped_torus,8,0.39806969879479787,0.4792885500366272,0.8305428927195891
0.09375,wrapped_torus,16,0.4336238277058685,0.4792885500366272,0.9047239448401824
0.09375,production_input,4,0.3835004007134324,0.4792885500366272,0.8001451332065523
0.09375,production_input,8,0.42593421782210744,0.4792885500366272,0.8886801443296686
0.09375,production_input,16,0.4502819365414676,0.4792885500366272,0.9394798530176802
0.125,universal_cover_X,4,0.35927384640859916,0.4792885500366272,0.7495982250799513
0.125,universal_cover_X,8,0.4180884932409673,0.4792885500366272,0.8723106220856247
0.125,universal_cover_X,16,0.4630080142670495,0.4792885500366272,0.966031870011638
0.125,wrapped_torus,4,0.3167197382604265,0.4792885500366272,0.6608122356276251
0.125,wrapped_torus,8,0.39188916166090093,0.4792885500366272,0.8176476605396745
0.125,wrapped_torus,16,0.4261009914269847,0.4792885500366272,0.889028105082882
0.125,production_input,4,0.3841012457860613,0.4792885500366272,0.8013987518723498
0.125,production_input,8,0.4230332820847137,0.4792885500366272,0.8826275571414872
0.125,production_input,16,0.45026585152917387,0.4792885500366272,0.9394462928329179
0.15625,universal_cover_X,4,0.3618224811128721,0.4792885500366272,0.7549157623006467
0.15625,universal_cover_X,8,0.41737889190741695,0.4792885500366272,0.8708300915503216
0.15625,universal_cover_X,16,0.46310819134652104,0.4792885500366272,0.9662408820555599
0.15625,wrapped_torus,4,0.2962060325348454,0.4792885500366272,0.6180119105958392
0.15625,wrapped_torus,8,0.37269592660222056,0.4792885500366272,0.7776023995852586
0.15625,wrapped_torus,16,0.41822607721074884,0.4792885500366272,0.872597680830865
0.15625,production_input,4,0.37381940718130646,0.4792885500366272,0.7799464584596049
0.15625,production_input,8,0.42116459213145463,0.4792885500366272,0.8787286741969306
0.15625,production_input,16,0.44897679529725093,0.4792885500366272,0.9367567726434111
0.1875,universal_cover_X,4,0.3635981795667478,0.4792885500366272,0.7586206253810187
0.1875,universal_cover_X,8,0.4180883098656025,0.4792885500366272,0.8723102394865312
0.1875,universal_cover_X,16,0.46295140726849615,0.4792885500366272,0.9659137637089754
0.1875,wrapped_torus,4,0.28282219874868963,0.4792885500366272,0.5900875343821095
0.1875,wrapped_torus,8,0.357151296653963,0.4792885500366272,0.7451696824943336
0.1875,wrapped_torus,16,0.40846859880469155,0.4792885500366272,0.8522394260690693
0.1875,production_input,4,0.36432379414829463,0.4792885500366272,0.7601345663702024
0.1875,production_input,8,0.4153499974864181,0.4792885500366272,0.8665969538698078
0.1875,production_input,16,0.44692422200299897,0.4792885500366272,0.9324742307506513
0.21875,universal_cover_X,4,0.35863527925874117,0.4792885500366272,0.7482659020987134
0.21875,universal_cover_X,8,0.41855937830262596,0.4792885500366272,0.8732930888306005
0.21875,universal_cover_X,16,0.4606040558558281,0.4792885500366272,0.9610161891424879
0.21875,wrapped_torus,4,0.2695124158969779,0.4792885500366272,0.5623176599490678
0.21875,wrapped_torus,8,0.3425536736288387,0.4792885500366272,0.7147128250876446
0.21875,wrapped_torus,16,0.39979706405789367,0.4792885500366272,0.8341469121833627
0.21875,production_input,4,0.34573692907860026,0.4792885500366272,0.7213544514096552
0.21875,production_input,8,0.4003267121185796,0.4792885500366272,0.8352519835660307
0.21875,production_input,16,0.4445842851431343,0.4792885500366272,0.9275921260984833
0.25,universal_cover_X,4,0.3552208332933231,0.4792885500366272,0.741141913918405
0.25,universal_cover_X,8,0.4174593978414223,0.4792885500366272,0.8709980612086812
0.25,universal_cover_X,16,0.4595739821603819,0.4792885500366272,0.9588670168007588
0.25,wrapped_torus,4,0.25489906981575894,0.4792885500366272,0.5318279975523713
0.25,wrapped_torus,8,0.32938663760905296,0.4792885500366272,0.6872407813286615
0.25,wrapped_torus,16,0.391170601084892,0.4792885500366272,0.8161484372096909
0.25,production_input,4,0.33809984959887607,0.4792885500366272,0.7054202516897984
0.25,production_input,8,0.3969723227787466,0.4792885500366272,0.8282532990792499
0.25,production_input,16,0.44099026061513485,0.4792885500366272,0.9200934605707447
0.28125,universal_cover_X,4,0.3499908530802902,0.4792885500366272,0.7302299482296081
0.28125,universal_cover_X,8,0.414831087264084,0.4792885500366272,0.8655142861901931
0.28125,universal_cover_X,16,0.45857603393815916,0.4792885500366272,0.9567848718754387
0.28125,wrapped_torus,4,0.25172467506594715,0.4792885500366272,0.5252048584234077
0.28125,wrapped_torus,8,0.3188118399303539,0.4792885500366272,0.6651772505435198
0.28125,wrapped_torus,16,0.3851608577502704,0.4792885500366272,0.8036095536203326
0.28125,production_input,4,0.32630420902104684,0.4792885500366272,0.6808095227730993
0.28125,production_input,8,0.38817657545418005,0.4792885500366272,0.8099016248656798
0.28125,production_input,16,0.43824497973772025,0.4792885500366272,0.914365635699475
0.3125,universal_cover_X,4,0.34527594576172,0.4792885500366272,0.7203926439205235
0.3125,universal_cover_X,8,0.41309472284303395,0.4792885500366272,0.8618914906510187
0.3125,universal_cover_X,16,0.45696428621630025,0.4792885500366272,0.953422079833493
0.3125,wrapped_torus,4,0.24031670386527582,0.4792885500366272,0.5014029728999594
0.3125,wrapped_torus,8,0.31706166796816876,0.4792885500366272,0.6615256465941841
0.3125,wrapped_torus,16,0.37814326409731036,0.4792885500366272,0.7889678651167709
0.3125,production_input,4,0.3170361448522512,0.4792885500366272,0.6614723945064478
0.3125,production_input,8,0.3791279858448181,0.4792885500366272,0.7910224139839043
0.3125,production_input,16,0.43437143475815027,0.4792885500366272,0.9062837714878764
0.34375,universal_cover_X,4,0.34087085222511293,0.4792885500366272,0.711201743081623
0.34375,universal_cover_X,8,0.41050209220498207,0.4792885500366272,0.856482159178665
0.34375,universal_cover_X,16,0.45579060158573304,0.4792885500366272,0.9509732739304988
0.34375,wrapped_torus,4,0.23160765300768107,0.4792885500366272,0.48323218443249194
0.34375,wrapped_torus,8,0.31115279086662406,0.4792885500366272,0.6491972129166153
0.34375,wrapped_torus,16,0.3740547367214622,0.4792885500366272,0.7804374560854354
0.34375,production_input,4,0.3112043327955798,0.4792885500366272,0.649304751327353
0.34375,production_input,8,0.37581990718919384,0.4792885500366272,0.7841203533038161
0.34375,production_input,16,0.43374167509240824,0.4792885500366272,0.9049698246687966
0.375,universal_cover_X,4,0.3385824830564668,0.4792885500366272,0.7064272305912428
0.375,universal_cover_X,8,0.4051895590929382,0.4792885500366272,0.8453979529908938
0.375,universal_cover_X,16,0.45554093199582113,0.4792885500366272,0.9504523568547772
0.375,wrapped_torus,4,0.23028552309401867,0.4792885500366272,0.4804736584598574
0.375,wrapped_torus,8,0.30965955276064194,0.4792885500366272,0.6460816823956629
0.375,wrapped_torus,16,0.37017186976528654,0.4792885500366272,0.7723361422612705
0.375,production_input,4,0.31459998406171064,0.4792885500366272,0.6563895257620257
0.375,production_input,8,0.378703281779576,0.4792885500366272,0.7901363004616646
0.375,production_input,16,0.43357636850694287,0.4792885500366272,0.9046249247427443
0.40625,universal_cover_X,4,0.3351910038045604,0.4792885500366272,0.6993511607547168
0.40625,universal_cover_X,8,0.40255657080779633,0.4792885500366272,0.8399044182821246
0.40625,universal_cover_X,16,0.4540514758847286,0.4792885500366272,0.947344717185566
0.40625,wrapped_torus,4,0.2282489862194525,0.4792885500366272,0.4762245753669887
0.40625,wrapped_torus,8,0.3037710733621675,0.4792885500366272,0.6337958070121921
0.40625,wrapped_torus,16,0.36849092444891707,0.4792885500366272,0.768828974572326
0.40625,production_input,4,0.3073562644705226,0.4792885500366272,0.6412760422652168
0.40625,production_input,8,0.3793761885324369,0.4792885500366272,0.7915402704768244
0.40625,production_input,16,0.42921767175235803,0.4792885500366272,0.8955308273472363
0.4375,universal_cover_X,4,0.33384545456145875,0.4792885500366272,0.6965437720887476
0.4375,universal_cover_X,8,0.40094736823918814,0.4792885500366272,0.836546936513605
0.4375,universal_cover_X,16,0.451861307866371,0.4792885500366272,0.9427750941094667
0.4375,wrapped_torus,4,0.23103346205358702,0.4792885500366272,0.4820341776074798
0.4375,wrapped_torus,8,0.3018792857644982,0.4792885500366272,0.6298487325462472
0.4375,wrapped_torus,16,0.3661862952221406,0.4792885500366272,0.7640205366770324
0.4375,production_input,4,0.30703467172050763,0.4792885500366272,0.6406050628521046
0.4375,production_input,8,0.3719854524355407,0.4792885500366272,0.7761200479483885
0.4375,production_input,16,0.42385439704656847,0.4792885500366272,0.8843407525887642
0.46875,universal_cover_X,4,0.3337691086674571,0.4792885500366272,0.6963844820452116
0.46875,universal_cover_X,8,0.3983222444274071,0.4792885500366272,0.8310698104450176
0.46875,universal_cover_X,16,0.44993505637081377,0.4792885500366272,0.9387561132775439
0.46875,wrapped_torus,4,0.22999664499345335,0.4792885500366272,0.4798709357356378
0.46875,wrapped_torus,8,0.29957437063966474,0.4792885500366272,0.6250396981458691
0.46875,wrapped_torus,16,0.3638311753236625,0.4792885500366272,0.7591067537412662
0.46875,production_input,4,0.29394847827235654,0.4792885500366272,0.6133016911209188
0.46875,production_input,8,0.3669531014507363,0.4792885500366272,0.7656204209816692
0.46875,production_input,16,0.41925554444758356,0.4792885500366272,0.874745587841696
0.5,universal_cover_X,4,0.33303202912852875,0.4792885500366272,0.6948466202730661
0.5,universal_cover_X,8,0.3975642769967541,0.4792885500366272,0.8294883676365152
0.5,universal_cover_X,16,0.4501137124627609,0.4792885500366272,0.9391288659584361
0.5,wrapped_torus,4,0.22939372082344667,0.4792885500366272,0.47861297918741524
0.5,wrapped_torus,8,0.29951711962574723,0.4792885500366272,0.6249202481529303
0.5,wrapped_torus,16,0.3622986517042533,0.4792885500366272,0.7559092569112416
0.5,production_input,4,0.30115095318880414,0.4792885500366272,0.6283291206639303
0.5,production_input,8,0.37230435907445103,0.4792885500366272,0.7767854229899703
0.5,production_input,16,0.4150014320346277,0.4792885500366272,0.8658696979156154
0.53125,universal_cover_X,4,0.33269413428054834,0.4792885500366272,0.6941416277420437
0.53125,universal_cover_X,8,0.3951103375510534,0.4792885500366272,0.8243684050471456
0.53125,universal_cover_X,16,0.4500283950168506,0.4792885500366272,0.9389508574374653
0.53125,wrapped_torus,4,0.2296641132121462,0.4792885500366272,0.47917713284532937
0.53125,wrapped_torus,8,0.2991549830268746,0.4792885500366272,0.6241646770072292
0.53125,wrapped_torus,16,0.3597696445607955,0.4792885500366272,0.7506326711399677
0.53125,production_input,4,0.3002009615474594,0.4792885500366272,0.6263470335865902
0.53125,production_input,8,0.3681428343858275,0.4792885500366272,0.7681027104813877
0.53125,production_input,16,0.41582962194955847,0.4792885500366272,0.8675976547275766
0.5625,universal_cover_X,4,0.3310688807724762,0.4792885500366272,0.690750656879193
0.5625,universal_cover_X,8,0.39026686249349574,0.4792885500366272,0.8142628536894353
0.5625,universal_cover_X,16,0.4470281321546519,0.4792885500366272,0.9326910315727135
0.5625,wrapped_torus,4,0.22596896336502015,0.4792885500366272,0.4714674768419809
0.5625,wrapped_torus,8,0.30005332680691577,0.4792885500366272,0.6260390046538473
0.5625,wrapped_torus,16,0.35814466116378796,0.4792885500366272,0.7472422638438131
0.5625,production_input,4,0.29387635429453024,0.4792885500366272,0.6131512097922478
0.5625,production_input,8,0.3654378482492877,0.4792885500366272,0.7624589575973826
0.5625,production_input,16,0.411753494163323,0.4792885500366272,0.8590931165200104
0.59375,universal_cover_X,4,0.3297300246939918,0.4792885500366272,0.6879572330046146
0.59375,universal_cover_X,8,0.3870194998479852,0.4792885500366272,0.8074874724597724
0.59375,universal_cover_X,16,0.4452879483075833,0.4792885500366272,0.9290602670845244
0.59375,wrapped_torus,4,0.2263567005151845,0.4792885500366272,0.4722764616385815
0.59375,wrapped_torus,8,0.29924776534822384,0.4792885500366272,0.6243582604369651
0.59375,wrapped_torus,16,0.3569599510213227,0.4792885500366272,0.7447704540282547
0.59375,production_input,4,0.29177912316773585,0.4792885500366272,0.6087754926451677
0.59375,production_input,8,0.35554732853429244,0.4792885500366272,0.7418231220151651
0.59375,production_input,16,0.40416359031756527,0.4792885500366272,0.8432573452603429
0.625,universal_cover_X,4,0.3304083586451934,0.4792885500366272,0.6893725264664545
0.625,universal_cover_X,8,0.38459699545109427,0.4792885500366272,0.8024330967674972
0.625,universal_cover_X,16,0.4430568413288658,0.4792885500366272,0.9244052279050009
0.625,wrapped_torus,4,0.22649092255755573,0.4792885500366272,0.4725565059717102
0.625,wrapped_torus,8,0.2970241553803551,0.4792885500366272,0.619718863214355
0.625,wrapped_torus,16,0.3564045233676619,0.4792885500366272,0.7436115954374989
0.625,production_input,4,0.2862789055839433,0.4792885500366272,0.5972996967318871
0.625,production_input,8,0.34585460048243605,0.4792885500366272,0.7215999640634142
0.625,production_input,16,0.39962963654429123,0.4792885500366272,0.8337975870981095
0.65625,universal_cover_X,4,0.32846475830032207,0.4792885500366272,0.6853173485475937
0.65625,universal_cover_X,8,0.3834127246177021,0.4792885500366272,0.7999622035377264
0.65625,universal_cover_X,16,0.4413331185210578,0.4792885500366272,0.9208088081539422
0.65625,wrapped_torus,4,0.22649092255755573,0.4792885500366272,0.4725565059717102
0.65625,wrapped_torus,8,0.2958858906691019,0.4792885500366272,0.6173439583451146
0.65625,wrapped_torus,16,0.35620387502314205,0.4792885500366272,0.7431929575532755
0.65625,production_input,4,0.2735353582350772,0.4792885500366272,0.5707112306650631
0.65625,production_input,8,0.33385631212239153,0.4792885500366272,0.6965664255840834
0.65625,production_input,16,0.38938319806601945,0.4792885500366272,0.8124191534228448
0.6875,universal_cover_X,4,0.32532624690657236,0.4792885500366272,0.6787690773787752
0.6875,universal_cover_X,8,0.381329380191759,0.4792885500366272,0.7956154599616825
0.6875,universal_cover_X,16,0.43884298731454613,0.4792885500366272,0.9156133341408006
0.6875,wrapped_torus,4,0.2248423783827576,0.4792885500366272,0.4691169408607303
0.6875,wrapped_torus,8,0.2958435815309429,0.4792885500366272,0.6172556834673697
0.6875,wrapped_torus,16,0.3562571025257556,0.4792885500366272,0.7433040127883933
0.6875,production_input,4,0.26595810021008615,0.4792885500366272,0.5549018439721993
