time,representation,pair_count,distance_threshold,near_pair_count,collision_count,max_target_lipschitz_ratio,median_target_lipschitz_ratio
0.0,universal_cover_X,2016,0.5040717268668602,21,0,3.0005562938261385,1.9439338371403978
0.0,wrapped_torus,2016,0.6933388232846684,21,0,2.604034029043901,1.5453137352069979
0.0,production_input,2016,0.7343233269857816,21,0,2.2040153997182172,1.4414408091821116
0.03125,universal_cover_X,2016,0.5056893240801615,21,0,2.9466956107053437,1.9326834758521951
0.03125,wrapped_torus,2016,0.6959821387044941,21,0,2.4868651331576164,1.491498157749084
0.03125,production_input,2016,0.7376812586515393,21,0,2.373526651115567,1.3819679650103036
0.0625,universal_cover_X,2016,0.5055395543889467,21,0,2.8803111281452085,1.9444929020001134
0.0625,wrapped_torus,2016,0.6933991136768515,21,0,2.335646539489081,1.1954008939032457
0.0625,production_input,2016,0.738817590785918,21,0,2.2607438120958623,1.2300957831220611
0.09375,universal_cover_X,2016,0.5147730230487809,21,0,2.807160126411695,1.9646167559479746
0.09375,wrapped_torus,2016,0.6930449476158899,21,0,2.1756084140632987,1.1516522975898835
0.09375,production_input,2016,0.7379756845119283,21,0,2.141852713948201,1.2284967742526487
0.125,universal_cover_X,2016,0.5112105676981191,21,0,2.7229103093531646,1.9773563652624093
0.125,wrapped_torus,2016,0.6956803520925142,21,0,1.620907402606698,0.9651440581958707
0.125,production_input,2016,0.7345883565522632,21,0,2.0253050522092506,1.1468345775759476
0.15625,universal_cover_X,2016,0.5038570039930529,21,0,2.6456150031103163,1.8554422869990124
0.15625,wrapped_torus,2016,0.679395947317078,21,0,1.5883961144851342,0.8708895961878732
0.15625,production_input,2016,0.7346909868737939,21,0,1.6828275484610224,1.128937035001055
0.1875,universal_cover_X,2016,0.48648097961275855,21,0,2.587284731461143,1.828534311297138
0.1875,wrapped_torus,2016,0.6758777671603817,21,0,1.5500882946970977,0.8534858725830167
0.1875,production_input,2016,0.7396056224280977,21,0,1.6912322992284172,1.1291968014119047
0.21875,universal_cover_X,2016,0.46616117254364425,21,0,2.556419174356089,1.8053162636708313
0.21875,wrapped_torus,2016,0.671510477019549,21,0,1.5160428558562886,0.8428199294373862
0.21875,production_input,2016,0.7244587820484885,21,0,1.665691122441641,1.0773241874962887
0.25,universal_cover_X,2016,0.46345546524083847,21,0,2.5210719239302724,1.705835336481585
0.25,wrapped_torus,2016,0.6596652711274376,21,0,1.4799018234430499,0.8587108962753883
0.25,production_input,2016,0.7207978460662132,21,0,1.6360028024704476,1.0160056778541713
0.28125,universal_cover_X,2016,0.4628674138283429,21,0,2.4831694108511813,1.7917985709721451
0.28125,wrapped_torus,2016,0.6481787146077098,21,0,1.4447958792982665,0.8345783611081835
0.28125,production_input,2016,0.713004754783282,21,0,1.600139605128743,1.0287754147970396
0.3125,universal_cover_X,2016,0.4438825677302492,21,0,2.4661082009959046,1.8822984539493763
0.3125,wrapped_torus,2016,0.636156449895694,21,0,1.413460281828877,0.8570769719436624
0.3125,production_input,2016,0.7005050091837209,21,0,1.5554824578511173,1.0230447863413223
0.34375,universal_cover_X,2016,0.4294766171622048,21,0,2.4857569659830094,1.9893290637098555
0.34375,wrapped_torus,2016,0.6246213284033204,21,0,1.3800054008610307,0.8719400537294154
0.34375,production_input,2016,0.6789888952365044,21,0,1.515338264120077,1.0272675069785093
0.375,universal_cover_X,2016,0.4236919739903063,21,0,2.5020964841446482,2.111730687419651
0.375,wrapped_torus,2016,0.6166601123273379,21,0,1.35212236494924,0.8895117293739919
0.375,production_input,2016,0.6764906879269142,21,0,1.4632901589794622,1.0039222580364378
0.40625,universal_cover_X,2016,0.4184822107499255,21,0,2.496134320516149,2.2349379891432384
0.40625,wrapped_torus,2016,0.604740167755977,21,0,1.3270965962875783,0.9108219402239163
0.40625,production_input,2016,0.6767694924002287,21,0,1.4105509456238514,1.0097694793947016
0.4375,universal_cover_X,2016,0.4155574969081957,21,0,2.3782225314816623,2.3743475064138835
0.4375,wrapped_torus,2016,0.5999212561175907,21,0,1.1247926594531439,0.9277423557686632
0.4375,production_input,2016,0.6732551442421117,21,0,1.3591225128598465,1.0135548029786594
0.46875,universal_cover_X,2016,0.40874538093634094,21,0,2.5322101113314264,2.532210111331425
0.46875,wrapped_torus,2016,0.5885645883264068,21,0,1.1462419662982883,0.9468353755502615
0.46875,production_input,2016,0.6449452683572181,21,0,1.5930372417491105,1.0762269763166943
0.5,universal_cover_X,2016,0.3998114103840918,21,0,2.7136117143206926,2.713611714320692
0.5,wrapped_torus,2016,0.5783873813728417,21,0,1.16616975464043,0.9646352507757977
0.5,production_input,2016,0.61022052657378,21,0,1.3203082373342392,1.1134672119311417
0.53125,universal_cover_X,2016,0.37782374952711034,21,0,2.915878063114435,2.9158780631144343
0.53125,wrapped_torus,2016,0.5692504157660866,21,0,1.185600029131569,0.9826316145342229
0.53125,production_input,2016,0.6076021362041147,21,0,1.3390189330661941,1.0884406621879066
0.5625,universal_cover_X,2016,0.3557466332909956,21,0,3.151319085288121,3.1513190852881197
0.5625,wrapped_torus,2016,0.5601827058482608,21,0,1.2069122506171117,1.002501851301724
0.5625,production_input,2016,0.5970147079164585,21,0,1.4882511840354928,1.126572786858889
