time,translation_aligned_rms
0.0,0.09161103516817093
0.03125,0.07971576601266861
0.0625,0.0718986988067627
0.09375,0.07040127366781235
0.125,0.06196391582489014
0.15625,0.057251859456300735
0.1875,0.053891621530056
0.21875,0.060220930725336075
0.25,0.06004089117050171
0.28125,0.054549407213926315
0.3125,0.06317785382270813
0.34375,0.056816164404153824
0.375,0.056601960211992264
0.40625,0.05029859021306038
0.4375,0.047955725342035294
0.46875,0.04499853774905205
0.5,0.04148707166314125
0.53125,0.04004010185599327
0.5625,0.03729404881596565
0.59375,0.03725248947739601
0.625,0.03810263052582741
0.65625,0.035242121666669846
0.6875,0.0342334620654583
0.71875,0.03447160869836807
0.75,0.034498780965805054
0.78125,0.031600870192050934
0.8125,0.028562279418110847
0.84375,0.02516321837902069
0.875,0.019792454317212105
0.90625,0.01896662451326847
0.9375,0.01767944172024727
0.96875,0.014901337213814259
1.0,0.0
