step,loss_on,loss_correction,loss
1,0.004527302458882332,0.016659248620271683,0.021186551079154015
100,0.006188528146594763,0.019521214067935944,0.025709742680191994
200,0.0076448554173111916,0.019196560606360435,0.0268414169549942
300,0.0063582975417375565,0.01927707903087139,0.025635376572608948
400,0.007683431729674339,0.020079046487808228,0.027762478217482567
500,0.00769718736410141,0.019638556987047195,0.027335744351148605
600,0.004869572818279266,0.01378884818404913,0.01865842193365097
700,0.0055892071686685085,0.014445442706346512,0.020034650340676308
800,0.0052403355948626995,0.014227703213691711,0.019468039274215698
900,0.004688719287514687,0.012108378112316132,0.016797097399830818
1000,0.0027861359994858503,0.009757312946021557,0.01254344917833805
1100,0.0026396370958536863,0.008115104399621487,0.010754741728305817
1200,0.0019746050238609314,0.007576846983283758,0.009551452472805977
1300,0.0022275643423199654,0.007506953086704016,0.009734516963362694
1400,0.0015581933548673987,0.0060735782608389854,0.007631771732121706
1500,0.0017740644980221987,0.007011221256107092,0.008785285986959934
1600,0.0012376708909869194,0.005883323960006237,0.007120994850993156
1700,0.001964663155376911,0.005586604587733746,0.007551267743110657
1800,0.0009508718503639102,0.0037446196656674147,0.004695491399616003
1900,0.0014526884770020843,0.00425864988937974,0.005711338482797146
2000,0.0006908740615472198,0.0035925395786762238,0.004283413756638765
2100,0.0008366575930267572,0.003189346520230174,0.004026004113256931
2200,0.001024795463308692,0.003631420899182558,0.004656216129660606
2300,0.0007628962630406022,0.002684608567506075,0.0034475047141313553
2400,0.0007563596591353416,0.0028352285735309124,0.003591588232666254
2500,0.000557267980184406,0.0022509959526360035,0.0028082639910280704
2600,0.0005944558652117848,0.0022450373508036137,0.0028394930996000767
2700,0.0006159793701954186,0.0020699240267276764,0.002685903338715434
2800,0.0005646168137900531,0.0019468404352664948,0.002511457307264209
2900,0.0007303470047190785,0.0023564165458083153,0.003086763434112072
3000,0.00040566385723650455,0.0023639253340661526,0.002769589191302657
3100,0.0004888518014922738,0.0027303174138069153,0.0032191690988838673
3200,0.0008777358452789485,0.002356600947678089,0.0032343368511646986
3300,0.0007726295734755695,0.0017155592795461416,0.002488188911229372
3400,0.00045431568287312984,0.001969430362805724,0.002423746045678854
3500,0.0005395151674747467,0.002004554495215416,0.0025440696626901627
3600,0.00038233824307098985,0.0012640197528526187,0.0016463580541312695
3700,0.0003098209563177079,0.0012548244558274746,0.001564645441249013
3800,0.0003974480787292123,0.0024226969107985497,0.00282014487311244
3900,0.00045401821262203157,0.001472985721193254,0.001927003962919116
4000,0.0004509699938353151,0.0016706919996067882,0.0021216620225459337
4100,0.0003705675189848989,0.0014414151664823294,0.0018119827145710588
4200,0.0004827239899896085,0.001209786394611001,0.0016925104428082705
4300,0.0005239538149908185,0.001500431215390563,0.0020243851467967033
4400,0.00031844887416809797,0.0015829544281587005,0.0019014033023267984
4500,0.0005181842134334147,0.0022875512950122356,0.0028057354502379894
4600,0.00028420548187568784,0.0009353196946904063,0.001219525234773755
4700,0.0003091155958827585,0.0011364122619852424,0.0014455278869718313
4800,0.00032307434594258666,0.0007766617345623672,0.0010997360805049539
4900,0.00043351014028303325,0.0018665974494069815,0.002300107618793845
5000,0.00021170316904317588,0.0011272721458226442,0.0013389752712100744
