mode,nfe,graphs,sampling_failures,terminal_finite_fraction,nearest_neighbour_wasserstein_angstrom,nearest_neighbour_wasserstein_normalized,minimum_distance_valid_fraction,endpoint_rms_mean_angstrom,endpoint_rms_median_angstrom,latency_seconds,graphs_per_second,peak_cuda_memory_mib,composition_exact_identity_fraction,lattice_exact_identity_fraction
reverse_sde,25,256,0,1.0,0.4756384027991758,0.7516996819414976,1.0,2.490050943371898,2.4442801475524902,44.27785407900008,5.781671341688048,119.89306640625,1.0,1.0
reverse_sde,50,256,0,1.0,0.3599845706346947,0.5689201831841982,0.99609375,2.518173453205236,2.573749303817749,82.53580393799982,3.101684212009433,119.8671875,1.0,1.0
reverse_sde,100,256,0,1.0,0.35830320662643367,0.5662629528537632,1.0,2.5025022159643413,2.540266275405884,170.98437309800002,1.4972128467744423,119.87109375,1.0,1.0
probability_flow,25,256,0,1.0,0.6454493467924063,1.0200691656473622,0.984375,2.411837001287495,2.4504964351654053,41.82453399800035,6.120809379782677,119.880859375,1.0,1.0
probability_flow,50,256,0,1.0,0.5052379397878525,0.7984788368815966,0.99609375,2.4090961175243137,2.4610652923583984,85.77945562999999,2.984397582379482,119.880859375,1.0,1.0
probability_flow,100,256,0,1.0,0.4271186774142006,0.6750190314197314,0.99609375,2.408604893593292,2.4508543014526367,170.25686172900038,1.5036104706750548,119.880859375,1.0,1.0
