step,quotient_state_distance,local_amplification
0,0.0010000000474974513,
1,0.003556629875674844,3.5566297067439976
2,0.006198456510901451,1.7427893054869368
3,0.008538314141333103,1.3774903681773776
4,0.010469927452504635,1.2262288877169312
5,0.012276513502001762,1.1725500064534786
6,0.014106471091508865,1.1490616687880248
7,0.015523284673690796,1.1004371378916131
8,0.01637788489460945,1.0550527957763378
9,0.01707611419260502,1.0426324462828152
10,0.017678922042250633,1.0353012308799543
11,0.01822219230234623,1.030729829499629
12,0.018850328400731087,1.0344709400473169
13,0.01963319629430771,1.0415307297005107
14,0.02066194824874401,1.0523985977125165
15,0.02209065668284893,1.0691468402158915
16,0.023844756186008453,1.0794045884802237
17,0.025793399661779404,1.0817220969075947
18,0.02707393653690815,1.0496459129823914
19,0.028871187940239906,1.0663830839996866
20,0.03023168072104454,1.0471228542317241
21,0.03164563328027725,1.0467705574254906
22,0.03282422944903374,1.0372435640114375
23,0.03409898281097412,1.0388357436971887
24,0.03544754534959793,1.039548468237293
25,0.037559233605861664,1.0595721998642618
26,0.04038956016302109,1.0753563447768995
27,0.04261719807982445,1.055153804790449
28,0.04418047517538071,1.036681836582221
29,0.046387929469347,1.0499644760542635
30,0.04840923100709915,1.043573868479899
31,0.05148796737194061,1.063598125828315
32,0.053508080542087555,1.039234665364705
