span,direct_map_mse,semigroup_defect_rms
0.03125,3.920566086890176e-05,0.005071398802101612
0.0625,7.666886813240126e-05,0.0060415808111429214
0.125,0.00014984473818913102,0.008294965140521526
0.25,0.0003629651037044823,0.014276610687375069
0.5,0.0008761764620430768,0.027987292036414146
1.0,0.018693719059228897,0.11102171987295151
