time,band,baseline_mse,corrected_mse,relative_improvement,bootstrap_95_low,bootstrap_median,bootstrap_95_high,graphs_with_modes_fraction,channels,ridge,rank,condition_number
0.35,low,0.451944571621425,0.449901631429384,0.004520333510615315,0.0007583205379364716,0.004493218908465935,0.0076469580441197865,0.984375,12,0.0051898023419082165,12,29514.55443517746
0.35,high_control,0.451944571621425,0.45305055294011254,-0.0024471614178696033,-0.0054486759450780966,-0.0024693129697416216,0.00021599743345841185,1.0,12,0.01283725458085537,12,5592.518868829711
0.425,low,0.48444681146247603,0.4842393261624238,0.00042829325148374675,-0.004249244201559049,0.0003043822092190229,0.005220073827995475,0.98046875,12,0.006184918056304257,12,31748.645159976557
0.425,high_control,0.48444681146247603,0.483667454605893,0.0016087562930392485,-0.0001803000751710082,0.001607534872503813,0.0034616855547536414,1.0,12,0.014934485915179055,12,5687.955764065823
0.5,low,0.6566711835912429,0.6566053960559657,0.00010018337475603545,-0.0024935239763512083,9.752837780718782e-05,0.0027538797952685406,0.98828125,12,0.008095635069037477,12,48756.70541251485
0.5,high_control,0.6566711835912429,0.6568583595180826,-0.0002850375218477197,-0.0026311695101362887,-0.0002886993371390423,0.0021726287168704465,1.0,12,0.016664075665548447,12,6181.08716118751
0.575,low,0.7733798585904879,0.7712730809143977,0.002724117589420816,-0.0009445753531849788,0.002667580825973348,0.0064304211740671136,0.9765625,12,0.010514022006591161,12,42433.92492120139
0.575,high_control,0.7733798585904879,0.7737244182862923,-0.0004455245271481889,-0.0021315925247937296,-0.00044141858010282586,0.0011656094330036943,1.0,12,0.018082874242713053,12,6399.605345859626
0.65,low,0.8894547427880752,0.8863322676807002,0.0035105497302621025,0.001425378682153869,0.003552083227655878,0.0055570801301238005,0.98828125,12,0.015141456575940052,12,40862.80157989232
0.65,high_control,0.8894547427880752,0.8910940059613495,-0.0018429978439777894,-0.003044260244960828,-0.001831757754111596,-0.000662945975158264,1.0,12,0.02065370545014739,12,6656.605543444162
