update,graph_exposures,train_order_elbo_nll,gradient_norm,elapsed_seconds
1.0,128.0,9.34591590729542,43.28411865234375,1.9089342670049518
50.0,6400.0,7.507567694294266,5.547624111175537,12.052150606992655
100.0,12800.0,4.80602252780227,7.00811767578125,22.208608392975293
150.0,19200.0,4.675564034609124,9.843396186828613,32.282850497053005
200.0,25600.0,4.595385965745663,8.823588371276855,42.40889555204194
250.0,32000.0,3.626665982308623,7.794920921325684,52.55112953099888
300.0,38400.0,3.2539553276074002,8.868612289428711,63.208509956952184
350.0,44800.0,3.1346020008313644,12.18053150177002,73.34920023998711
400.0,51200.0,2.5072071313238666,4.865850925445557,83.49504778301343
450.0,57600.0,2.6474167605192633,5.713451385498047,93.6194942779839
500.0,64000.0,2.3923185927556005,4.058311939239502,103.97437507996801
550.0,70400.0,2.5056304406905383,4.822208881378174,114.53914646396879
600.0,76800.0,2.1470417158996042,8.192988395690918,124.73270357295405
650.0,83200.0,2.5989730204364605,8.665644645690918,135.33907710399944
700.0,89600.0,2.2560558170453078,3.697242498397827,145.78626706299838
750.0,96000.0,2.1572294194206734,3.749253034591675,156.28532730205916
800.0,102400.0,1.9908369787565334,3.6141579151153564,166.67556129500736
850.0,108800.0,1.8402715440714736,4.696142196655273,176.9350756270578
900.0,115200.0,1.9608025478330546,5.056920051574707,187.0690779259894
950.0,121600.0,1.8900575176623988,4.215521812438965,197.21049084002152
1000.0,128000.0,1.9920302589105177,5.476686954498291,207.12048545805737
1050.0,134400.0,2.038889712343007,7.947651386260986,217.5458383699879
1100.0,140800.0,1.7156475284443786,5.485465049743652,227.6590118119493
1150.0,147200.0,2.0791829036293805,4.121044635772705,238.25199462496676
1200.0,153600.0,1.9093161618955037,3.595081090927124,248.6671450450085
1250.0,160000.0,1.7996843643071543,3.5460853576660156,259.0970590739744
1300.0,166400.0,1.5221146857812968,2.806821823120117,269.56403718702495
1350.0,172800.0,1.7177137677969085,4.672546863555908,279.7806843359722
1400.0,179200.0,1.6780908694507843,2.4950618743896484,290.2064941880526
1450.0,185600.0,1.4471484349591606,3.462977886199951,300.5789950749604
1500.0,192000.0,1.747310336676236,10.154054641723633,311.32039181899745
1550.0,198400.0,1.4003912974926322,3.901514768600464,322.20750334498007
1600.0,204800.0,1.318975994749394,3.036926031112671,332.62710947403684
1650.0,211200.0,1.3733347244767629,2.855278491973877,343.06706398294773
1700.0,217600.0,1.3931517930772728,2.433572292327881,353.5818556919694
1750.0,224000.0,1.362819074029133,2.9917590618133545,364.37591162195895
1800.0,230400.0,1.36793997011182,2.879931926727295,374.9572607530281
1850.0,236800.0,1.8019939108872904,4.733538627624512,385.10322594095487
1900.0,243200.0,1.7227080576011282,2.537426710128784,395.70352645602543
1950.0,249600.0,1.2803224413642766,2.291520118713379,406.00073688698467
2000.0,256000.0,1.5682618448682035,3.6768107414245605,416.1769264920149
2050.0,262400.0,1.4884702373295227,2.3684592247009277,426.8490563610103
2100.0,268800.0,1.184653591439755,3.4604134559631348,437.2860700810561
2150.0,275200.0,1.6090653842544214,4.216155052185059,447.56432167999446
2200.0,281600.0,1.5188273524729965,3.648242473602295,457.8035821430385
2250.0,288000.0,1.4106826059348272,2.4908106327056885,468.45798571803607
2300.0,294400.0,1.1279458839760537,2.2470943927764893,479.18857369502075
2350.0,300800.0,1.6487558800181432,2.594125747680664,489.55673996405676
2400.0,307200.0,1.3609648537528756,3.0790345668792725,499.5079608990345
2450.0,313600.0,1.4756678721620062,3.4935755729675293,509.9126967289485
2500.0,320000.0,1.3718207516339476,4.820674896240234,520.3165838429704
2550.0,326400.0,1.4029787128911693,5.798178195953369,530.8695821140427
2600.0,332800.0,1.3163591826613583,5.199141025543213,541.1237639819738
2650.0,339200.0,1.449878573142243,4.142434597015381,551.3223881439772
2700.0,345600.0,1.3960714770482916,3.2052853107452393,561.5306103850016
2750.0,352000.0,1.1513080521132935,3.0937323570251465,571.9627331889933
2800.0,358400.0,1.1758264864354047,2.847975492477417,582.654659020016
2850.0,364800.0,1.3603495593450923,1.8902546167373657,593.0465567599749
2900.0,371200.0,1.4602514909136062,2.527801513671875,603.256175511051
2950.0,377600.0,1.162498654009994,3.0003111362457275,613.3264217349933
3000.0,384000.0,1.5127587926049735,3.948643922805786,623.6804356910288
3050.0,390400.0,1.3775467678392488,5.978236675262451,634.3293822349515
3100.0,396800.0,1.4469882996568515,3.3849422931671143,644.5588887870545
3150.0,403200.0,1.1571173178480763,5.15886926651001,654.9133773259819
3200.0,409600.0,1.1997628635072957,5.919356822967529,665.5193225450348
3250.0,416000.0,1.0719613051660346,3.0107696056365967,675.9060927659739
3300.0,422400.0,1.408403678606117,6.143441200256348,686.4608312350465
3350.0,428800.0,0.9874860126405025,2.5752081871032715,696.7556793140247
3400.0,435200.0,1.2832774158358342,3.3554084300994873,707.1692261990393
3450.0,441600.0,1.0635106916176227,2.1619231700897217,717.5187331059715
3500.0,448000.0,1.2259962534328395,2.242161273956299,728.6229421889875
3550.0,454400.0,1.2396663567232484,3.6048812866210938,739.1799629270099
3600.0,460800.0,1.199548009639443,3.536097526550293,750.3211242599646
3650.0,467200.0,1.190606672219161,2.134746789932251,760.8968151019653
3700.0,473600.0,0.9321294837033633,2.53625226020813,771.209723026026
3750.0,480000.0,1.091254310449333,3.7566440105438232,781.5812831750372
3800.0,486400.0,1.655923032002658,9.458928108215332,791.9768241730053
3850.0,492800.0,1.1957144761882361,3.0721354484558105,802.2412927240366
3900.0,499200.0,1.047092330180071,6.814732551574707,812.5821267360589
3950.0,505600.0,1.2727487306201084,2.7160420417785645,822.9700144210365
4000.0,512000.0,1.1514180833317198,3.389430284500122,833.0023464469705
4050.0,518400.0,1.0382534895631892,4.3600382804870605,843.4964344269829
4100.0,524800.0,0.8156467794146067,2.1569254398345947,853.5142063610256
4150.0,531200.0,1.058455348850904,3.942763566970825,863.9023354439996
4200.0,537600.0,1.1134191617354006,2.3157684803009033,874.1517208110308
4219.0,539983.0,1.5060074660706753,7.739400863647461,878.1730705649825
