time,representation,equivalence_class_count,nontrivial_class_count,exact_collision_count,trace_risk,target_trace_variance,normalized_trace_risk
0.8125,wrapped_torus,64,0,0,0.0,0.4792885438549278,0.0
0.8125,production_input,64,0,0,0.0,0.4792885438549278,0.0
0.84375,universal_cover_X,64,0,0,0.0,0.4792885438549278,0.0
0.84375,wrapped_torus,64,0,0,0.0,0.4792885438549278,0.0
0.84375,production_input,64,0,0,0.0,0.4792885438549278,0.0
0.875,universal_cover_X,64,0,0,0.0,0.4792885438549278,0.0
0.875,wrapped_torus,64,0,0,0.0,0.4792885438549278,0.0
0.875,production_input,64,0,0,0.0,0.4792885438549278,0.0
0.90625,universal_cover_X,64,0,0,0.0,0.4792885438549278,0.0
0.90625,wrapped_torus,64,0,0,0.0,0.4792885438549278,0.0
0.90625,production_input,64,0,0,0.0,0.4792885438549278,0.0
0.9375,universal_cover_X,64,0,0,0.0,0.4792885438549278,0.0
0.9375,wrapped_torus,64,0,0,0.0,0.4792885438549278,0.0
0.9375,production_input,64,0,0,0.0,0.4792885438549278,0.0
0.96875,universal_cover_X,64,0,0,0.0,0.4792885438549278,0.0
0.96875,wrapped_torus,64,0,0,0.0,0.4792885438549278,0.0
0.96875,production_input,64,0,0,0.0,0.4792885438549278,0.0
1.0,universal_cover_X,64,0,0,0.0,0.4792885438549278,0.0
1.0,wrapped_torus,62,2,2,0.009635284038611296,0.4792885438549278,0.02010330553931981
1.0,production_input,58,5,7,0.03824628025639698,0.4792885438549278,0.07979802719418526
