time,representation,source_left,source_right,representation_distance,target_distance,lift_difference,exact_representation_collision
0.0,universal_cover_X,1,53,0.5219324603768476,1.220248718329893,1.4999999552965178,False
0.0,universal_cover_X,5,25,0.5171462644936689,0.5171462470783046,7.146345858599389e-08,False
0.0,universal_cover_X,5,58,0.5600973537024523,0.8837418960068439,0.8660253521653052,False
0.0,universal_cover_X,7,27,0.5689338726530118,1.2777221400093262,1.6583124007937875,False
0.0,universal_cover_X,9,44,0.4145139104348647,0.9669695882643794,1.2247448774749656,False
0.0,universal_cover_X,14,15,0.3363997909018264,0.3363997787961278,6.352138865832771e-08,False
0.0,universal_cover_X,14,34,0.5970805254544289,0.9057597881151799,1.2247447983911082,False
0.0,universal_cover_X,15,29,0.5530758026017474,0.6688061324321785,0.8660253736732783,False
0.0,universal_cover_X,16,29,0.5595302483043249,0.8448795157491398,0.8660254080860349,False
0.0,universal_cover_X,16,46,0.5605298188503219,0.5605298191984143,4.9421560627171804e-08,False
0.0,universal_cover_X,16,62,0.5749610693195656,0.9568649560669178,0.8660254209908186,False
0.0,universal_cover_X,19,43,0.5846746622592003,0.8124582327733996,0.8660254381971986,False
0.0,universal_cover_X,21,36,0.6009543171795828,0.9304361230679405,1.3228755710506541,False
0.0,universal_cover_X,22,46,0.4471751012227149,0.6923084392218394,0.866025427443211,False
0.0,universal_cover_X,23,62,0.5977921670493047,1.0479600554994524,1.3228756724286255,False
0.0,universal_cover_X,25,36,0.4185320448201825,0.9363796549511998,1.2247447862243612,False
0.0,universal_cover_X,25,58,0.5263697080125441,0.5899910083664045,0.8660253521653044,False
0.0,universal_cover_X,29,42,0.6124231665941005,1.0125385692253643,1.3228756808767903,False
0.0,universal_cover_X,29,46,0.4066425321854021,0.8366576989428838,0.8660254080860366,False
0.0,universal_cover_X,37,55,0.4844818771975938,0.48448188565449557,2.5809568260370952e-08,False
0.0,universal_cover_X,47,56,0.439283299943227,1.0498086433790665,1.2247448592248475,False
0.0,wrapped_torus,1,13,2.900024299517268,0.7834354003368964,1.2247448348913492,False
0.0,wrapped_torus,3,24,2.6896017725034334,1.5377683058826173,2.5495097100386643,False
0.0,wrapped_torus,3,44,2.934439747551608,1.4389124243028897,2.3979157492279346,False
0.0,wrapped_torus,6,42,2.335519682293453,1.3854102304671405,2.1794494649332163,False
0.0,wrapped_torus,9,45,2.2875353360178194,0.7641478380238843,1.322875655532298,False
0.0,wrapped_torus,10,34,2.8372587635341056,0.6940399797765869,1.6583123345239692,False
0.0,wrapped_torus,14,32,2.7718584835530793,1.116365873643695,1.5811388065233882,False
0.0,wrapped_torus,17,58,2.6018907360548837,0.9159123181651257,1.3228756330038602,False
