time,representation,neighbors,trace_dispersion,target_trace_variance,normalized_trace_dispersion
0.0,universal_cover_X,4,0.36852911298809954,0.4792885438549278,0.7689086620431446
0.0,universal_cover_X,8,0.421299590890556,0.4792885438549278,0.8790103504290643
0.0,universal_cover_X,16,0.46308147261272953,0.4792885438549278,0.9661851478613603
0.0,wrapped_torus,4,0.38094054412695594,0.4792885438549278,0.7948041926123315
0.0,wrapped_torus,8,0.4239042008336354,0.4792885438549278,0.8844446759026724
0.0,wrapped_torus,16,0.4503191255695851,0.4792885438549278,0.9395574572837876
0.0,production_input,4,0.3708454172232526,0.4792885438549278,0.7737414590395487
0.0,production_input,8,0.42470049367216955,0.4792885438549278,0.8861060818526865
0.0,production_input,16,0.454271985370435,0.4792885438549278,0.9478048060917874
0.03125,universal_cover_X,4,0.3659210785691145,0.4792885438549278,0.7634671916545378
0.03125,universal_cover_X,8,0.4205409826655637,0.4792885438549278,0.8774275706303009
0.03125,universal_cover_X,16,0.4634653822919802,0.4792885438549278,0.9669861469342005
0.03125,wrapped_torus,4,0.36885233568960396,0.4792885438549278,0.769583042237807
0.03125,wrapped_torus,8,0.4149585616456425,0.4792885438549278,0.8657802631961993
0.03125,wrapped_torus,16,0.4455979407456491,0.4792885438549278,0.9297070552984545
0.03125,production_input,4,0.38068276918404265,0.4792885438549278,0.7942663643119928
0.03125,production_input,8,0.42222897869657666,0.4792885438549278,0.8809494491576622
0.03125,production_input,16,0.4536695323095485,0.4792885438549278,0.9465478324615793
0.0625,universal_cover_X,4,0.3581727393215639,0.4792885438549278,0.7473008564752519
0.0625,universal_cover_X,8,0.4195593202664381,0.4792885438549278,0.8753794048401693
0.0625,universal_cover_X,16,0.46193094924569067,0.4792885438549278,0.9637846661853637
0.0625,wrapped_torus,4,0.352869366004192,0.4792885438549278,0.7362357613767613
0.0625,wrapped_torus,8,0.40516013096949943,0.4792885438549278,0.8453365642975482
0.0625,wrapped_torus,16,0.43998048606925433,0.4792885438549278,0.9179866527384153
0.0625,production_input,4,0.3868875439001217,0.4792885438549278,0.8072121665758524
0.0625,production_input,8,0.4262883028000402,0.4792885438549278,0.8894189278370697
0.0625,production_input,16,0.4526544304663247,0.4792885438549278,0.9444298977513955
0.09375,universal_cover_X,4,0.3547370131617541,0.4792885438549278,0.7401324686557222
0.09375,universal_cover_X,8,0.4182222394672953,0.4792885438549278,0.8725896849182437
0.09375,universal_cover_X,16,0.46268710475433034,0.4792885438549278,0.9653623285733647
0.09375,wrapped_torus,4,0.33120531889930627,0.4792885438549278,0.6910353338208649
0.09375,wrapped_torus,8,0.39806969318149077,0.4792885438549278,0.8305428917198977
0.09375,wrapped_torus,16,0.43362382092867946,0.4792885438549278,0.9047239423688995
0.09375,production_input,4,0.3835003965668916,0.4792885438549278,0.8001451348751002
0.09375,production_input,8,0.42593421125559977,0.4792885438549278,0.8886801420910293
0.09375,production_input,16,0.45028192883708584,0.4792885438549278,0.9394798490601483
0.125,universal_cover_X,4,0.3592738412893424,0.4792885438549278,0.7495982240670628
