time,representation,pair_count,exact_collision_count,near_distance_threshold,near_pair_count,alias_collision_count,max_local_target_ratio,median_local_target_ratio
0.0,universal_cover_X,2016,0,0.5040717268668602,21,21,3.000556411490952,1.9439336997580414
0.0,wrapped_torus,2016,0,0.6933388232846684,21,21,2.6040341429596046,1.5453137203282543
0.0,production_input,2016,0,0.7343233269857816,21,21,2.2040154961347627,1.4414408016220628
0.03125,universal_cover_X,2016,0,0.5056893234420219,21,21,2.9466957336036614,1.9326836352744605
0.03125,wrapped_torus,2016,0,0.695982138815027,21,21,2.4868652398013125,1.4914982089043785
0.03125,production_input,2016,0,0.7376812583093515,21,21,2.3735267572417915,1.3819680160271495
0.0625,universal_cover_X,2016,0,0.5055395504585403,21,21,2.8803112679816834,1.944493041238106
0.0625,wrapped_torus,2016,0,0.6933991133360383,21,21,2.3356466361874393,1.1954008609724442
0.0625,production_input,2016,0,0.7388175895422773,21,21,2.2607439218249987,1.2300957775368244
0.09375,universal_cover_X,2016,0,0.5147730265607513,21,21,2.807160255037115,1.9646168873063852
0.09375,wrapped_torus,2016,0,0.6930449521209713,21,21,2.1756084984570907,1.1516523954483466
0.09375,production_input,2016,0,0.7379756871868317,21,21,2.141852813343646,1.2284968626924597
0.125,universal_cover_X,2016,0,0.5112105720118011,21,21,2.722910438836802,1.9773564975059543
0.125,wrapped_torus,2016,0,0.6956803519904019,21,21,1.6209074059652218,0.9651439994122116
0.125,production_input,2016,0,0.7345883562470311,21,21,2.0253051542540113,1.1468346330357655
0.15625,universal_cover_X,2016,0,0.503857007058063,21,21,2.645615139789303,1.8554424393647238
0.15625,wrapped_torus,2016,0,0.6793959487649572,21,21,1.5883961123458843,0.8708896342176826
0.15625,production_input,2016,0,0.7346909898137296,21,21,1.6828275627882145,1.1289370570668131
0.1875,universal_cover_X,2016,0,0.486480978035873,21,21,2.587284833384267,1.8285343642583913
0.1875,wrapped_torus,2016,0,0.6758777662789994,21,21,1.5500882879116564,0.8534858782235978
0.1875,production_input,2016,0,0.7396056292144954,21,21,1.6912324359970974,1.129196897570792
0.21875,universal_cover_X,2016,0,0.4661611706408147,21,21,2.5564192738134803,1.8053164059576696
0.21875,wrapped_torus,2016,0,0.6715104787271171,21,21,1.516042846861447,0.8428198898512759
0.21875,production_input,2016,0,0.724458779377867,21,21,1.665691274279334,1.0773241913145428
0.25,universal_cover_X,2016,0,0.46345546345717686,21,21,2.521072007771718,1.7058354530147273
0.25,wrapped_torus,2016,0,0.6596652808784089,21,21,1.4799018028328774,0.8587108457362621
0.25,production_input,2016,0,0.7207978404626636,21,21,1.636002947733011,1.016005707221889
0.28125,universal_cover_X,2016,0,0.4628674172651544,21,21,2.4831694748746473,1.7917986374575963
0.28125,wrapped_torus,2016,0,0.6481787150382271,21,21,1.4447958582427471,0.8345784372346919
0.28125,production_input,2016,0,0.7130047648719133,21,21,1.6001397502568717,1.0287754459475404
0.3125,universal_cover_X,2016,0,0.44388257415145477,21,21,2.4661084441722716,1.8822985474142195
0.3125,wrapped_torus,2016,0,0.636156459966386,21,21,1.413460267967897,0.8570770564370956
0.3125,production_input,2016,0,0.7005050150148571,21,21,1.5554825794548341,1.0230448030017583
0.34375,universal_cover_X,2016,0,0.4294766189563956,21,21,2.485757184501763,1.9893291017334656
0.34375,wrapped_torus,2016,0,0.62462132473404,21,21,1.3800053866729347,0.8719399564022676
0.34375,production_input,2016,0,0.6789889027463891,21,21,1.5153384093197242,1.027267630154093
0.375,universal_cover_X,2016,0,0.4236919811566582,21,21,2.5020966974722163,2.1117307257971754
0.375,wrapped_torus,2016,0,0.6166600958849566,21,21,1.3521223702442053,0.8895117913609462
0.375,production_input,2016,0,0.676490700353739,21,21,1.4632902873347957,1.0039223465155116
0.40625,universal_cover_X,2016,0,0.41848220345436593,21,21,2.4961345775007113,2.2349380741966227
0.40625,wrapped_torus,2016,0,0.6047401486593916,21,21,1.327096593355718,0.9108220005351416
0.40625,production_input,2016,0,0.6767695052201429,21,21,1.4105510818300961,1.0097695794077393
0.4375,universal_cover_X,2016,0,0.41555750058970964,21,21,2.3782225996115693,2.3743475780978063
0.4375,wrapped_torus,2016,0,0.599921248796552,21,21,1.1247927215194375,0.9277424173720994
0.4375,production_input,2016,0,0.6732551406894984,21,21,1.3591226355944375,1.013554899161601
0.46875,universal_cover_X,2016,0,0.40874538235469,21,21,2.532210350330381,2.532210180502869
0.46875,wrapped_torus,2016,0,0.5885646021659692,21,21,1.146241987311136,0.9468354066202205
0.46875,production_input,2016,0,0.6449452803426746,21,21,1.5930372005207154,1.076227032278782
0.5,universal_cover_X,2016,0,0.3998114166824135,21,21,2.7136119456005283,2.7136117522323757
0.5,wrapped_torus,2016,0,0.5783873648273445,21,21,1.1661698354463748,0.9646353350569217
0.5,production_input,2016,0,0.610220533062308,21,21,1.320308098387082,1.1134672369461582
0.53125,universal_cover_X,2016,0,0.3778237524074145,21,21,2.915878349758417,2.9158781281249553
0.53125,wrapped_torus,2016,0,0.5692504184664221,21,21,1.1856000933832709,0.9826315970792782
0.53125,production_input,2016,0,0.6076021201167454,21,21,1.3390188126207174,1.0884406629264864
0.5625,universal_cover_X,2016,0,0.3557466297968918,21,21,3.151319467858444,3.151319211220074
0.5625,wrapped_torus,2016,0,0.5601827474297486,21,21,1.2069123570461446,1.0025018634976197
0.5625,production_input,2016,0,0.597014739006821,21,21,1.4882510908773023,1.126572963923403
0.59375,universal_cover_X,2016,0,0.3337694994568698,21,21,3.4265130457733326,3.426512745258282
0.59375,wrapped_torus,2016,0,0.5534760813892854,21,21,1.2254362516859132,1.017734929629393
0.59375,production_input,2016,0,0.5710644884102631,21,21,1.8919102293499255,1.186376192288233
0.625,universal_cover_X,2016,0,0.31194269814439035,21,21,3.7514920511174936,3.7514916946827968
0.625,wrapped_torus,2016,0,0.5485075911445235,21,21,1.2402083896884872,1.030669127528888
0.625,production_input,2016,0,0.5215316454202702,21,21,1.958591530885756,1.2532522526656178
