step,endpoint_residual_mse
1,0.02533116191625595
100,0.015906276181340218
200,0.019703174009919167
300,0.019168933853507042
400,0.02333930693566799
500,0.020324524492025375
600,0.014518365263938904
700,0.015304334461688995
800,0.015184808522462845
900,0.01318175159394741
1000,0.014651908539235592
1100,0.0091029591858387
1200,0.008475732989609241
1300,0.006733802612870932
1400,0.009210437536239624
1500,0.008892453275620937
1600,0.006135655101388693
1700,0.004498295020312071
1800,0.005351444240659475
1900,0.004284599330276251
2000,0.0036621419712901115
2100,0.004035975784063339
2200,0.002523575909435749
2300,0.002900739898905158
2400,0.0024055088870227337
2500,0.002828077180311084
2600,0.0026466036215424538
2700,0.0023243864998221397
2800,0.0013763749739155173
2900,0.00231363857164979
3000,0.0017809425480663776
3100,0.0017460945528000593
3200,0.0015165744116529822
3300,0.00190994911827147
3400,0.0014016474597156048
3500,0.0012501628370955586
3600,0.0012977406149730086
3700,0.0015902817249298096
3800,0.0010692053474485874
3900,0.001300710253417492
4000,0.0017785592935979366
4100,0.0018555859569460154
4200,0.0012306312564760447
4300,0.0011840880615636706
4400,0.0012469794601202011
4500,0.0009571534465067089
4600,0.0012340880930423737
4700,0.0007653818465769291
4800,0.0014293945860117674
4900,0.0010708554182201624
5000,0.0010025508236140013
