time,endpoint_residual_mse,teacher_forced_translation_aligned_rms
0.0,0.004083374049514532,0.06390128284692764
0.03125,0.0017484498675912619,0.041814468801021576
0.0625,0.001517144963145256,0.03895054757595062
0.09375,0.0016190949827432632,0.04023797810077667
0.125,0.0015176779124885798,0.0389573872089386
0.15625,0.001859829993918538,0.04312574863433838
0.1875,0.0018094268161803484,0.04253735765814781
0.21875,0.001756887650117278,0.04191524535417557
0.25,0.0019886898808181286,0.04459472745656967
0.28125,0.001997969578951597,0.044698651880025864
0.3125,0.0019384052138775587,0.04402732476592064
0.34375,0.001749801798723638,0.0418306328356266
0.375,0.0015862439759075642,0.039827682077884674
0.40625,0.001367242424748838,0.03697624057531357
0.4375,0.0010806506033986807,0.0328732505440712
0.46875,0.0011170482030138373,0.03342226892709732
0.5,0.0010045850649476051,0.03169519081711769
0.53125,0.0009041390148922801,0.030068904161453247
0.5625,0.0007237239624373615,0.02690211869776249
0.59375,0.0007185825379565358,0.026806391775608063
0.625,0.0006165665108710527,0.024830756708979607
0.65625,0.0005703852511942387,0.02388273924589157
0.6875,0.0005873084301128983,0.02423444390296936
0.71875,0.0005669902893714607,0.02381155826151371
0.75,0.0005453514750115573,0.023352760821580887
0.78125,0.0005515172379091382,0.023484401404857635
0.8125,0.0005612272070720792,0.023690231144428253
0.84375,0.0004545505507849157,0.021320190280675888
0.875,0.00032340045436285436,0.017983337864279747
0.90625,0.00020713543926831335,0.014392200857400894
0.9375,0.0001435120211681351,0.011979649774730206
0.96875,8.779140625847504e-05,0.00936970766633749
1.0,6.177921022754163e-05,0.007859974168241024
