step,passes,role,middle_normalized_gain,middle_absolute_mse_reduction,positive_middle_bootstrap_lower_bounds,probe_explained_fraction,learned_carrier_gain,optimizer_steps,parameters_unchanged,reused_complete_result
0,0.0,sanity_only,0.15509259278456347,0.545722595998086,3,0.45883432875877594,0.058579058551504914,0,True,True
2111,0.25,classification,0.13995293792026717,0.3250081045165037,3,0.5080477075409348,-0.0678721935603334,0,True,True
4221,0.5,classification,0.1420831605039726,0.3026166002843335,3,0.5628951669489525,-0.04874178487737013,0,True,False
8441,1.0,classification,0.10682531500657973,0.20383732180319689,3,0.6149094511701066,-0.04353624271213041,0,True,False
16882,2.0,classification,0.09292913226611917,0.16561521360381448,3,0.6538375384320757,-0.04325355047331233,0,True,False
