time,translation_aligned_rms
0.0,0.2513737678527832
0.03125,0.24353227019309998
0.0625,0.23570331931114197
0.09375,0.2278163880109787
0.125,0.21990154683589935
0.15625,0.21204166114330292
0.1875,0.2041798084974289
0.21875,0.19638684391975403
0.25,0.18845821917057037
0.28125,0.18065881729125977
0.3125,0.17289160192012787
0.34375,0.16482463479042053
0.375,0.15700624883174896
0.40625,0.14914225041866302
0.4375,0.14118634164333344
0.46875,0.1333904266357422
0.5,0.12542562186717987
0.53125,0.1174549087882042
0.5625,0.10980722308158875
0.59375,0.10189840942621231
0.625,0.09437860548496246
0.65625,0.0862036794424057
0.6875,0.07838007062673569
0.71875,0.07051794230937958
0.75,0.0628509670495987
0.78125,0.054985400289297104
0.8125,0.04718714952468872
0.84375,0.03920213133096695
0.875,0.031389620155096054
0.90625,0.02347196638584137
0.9375,0.015815703198313713
0.96875,0.007871643640100956
1.0,0.0
