step,quotient_rms,per_step_amplification
1,0.001015382120385766,1.015383005142212
2,0.001034751534461975,1.0190759897232056
3,0.0010519727366045117,1.0166428089141846
4,0.0010840499307960272,1.0304924249649048
5,0.0011194362305104733,1.0326427221298218
6,0.0012040504952892661,1.0755865573883057
7,0.001225403044372797,1.0177339315414429
8,0.001255109440535307,1.0242421627044678
9,0.0013074411544948816,1.04169499874115
10,0.0014046948635950685,1.0743848085403442
11,0.001575089292600751,1.1213035583496094
12,0.001782826380804181,1.1318891048431396
13,0.0019444909412413836,1.0906788110733032
14,0.0020175499375909567,1.0375722646713257
15,0.0020438756328076124,1.0130482912063599
16,0.002122074132785201,1.0382598638534546
17,0.0021436610259115696,1.0101724863052368
18,0.0020526438020169735,0.9575412273406982
19,0.002061959123238921,1.0045381784439087
20,0.002152077155187726,1.0437051057815552
21,0.002164762932807207,1.005894660949707
22,0.002199734328314662,1.0161548852920532
23,0.002162138931453228,0.9829091429710388
24,0.002135619055479765,0.9877344369888306
25,0.0021377713419497013,1.0010077953338623
26,0.0022162648383527994,1.036717414855957
27,0.0023216477129608393,1.0475497245788574
28,0.0024196438025683165,1.0422097444534302
29,0.002515052445232868,1.039430856704712
30,0.0025652628391981125,1.0199639797210693
31,0.002573437988758087,1.003186821937561
32,0.0027909395284950733,1.0845178365707397
