step,direct,rollout,semigroup,contractive,mean_map_distance_ratio,max_map_distance_ratio,loss
1,1.0274947881698608,1.047874093055725,0.013364429585635662,0.015656504780054092,1.032707691192627,1.5270558595657349,2.1043896675109863
100,1.0338492393493652,1.0560508966445923,0.00884189736098051,0.01269854698330164,0.9564383029937744,1.4532490968704224,2.111440658569336
200,1.0048519372940063,1.0056153535842896,0.003650334198027849,2.6059210300445557,1.2188040018081665,13.9017915725708,4.620038986206055
300,1.0056791305541992,1.0150988101959229,0.002684154314920306,26.865394592285156,1.6443406343460083,42.4463005065918,28.888856887817383
400,1.007198691368103,1.0172932147979736,0.0028600171208381653,0.001400254899635911,0.9929755926132202,1.1581553220748901,2.028752088546753
500,0.9996692538261414,1.0314584970474243,0.002955357078462839,0.0752687156200409,1.0459864139556885,3.1588783264160156,2.109351873397827
600,1.0026005506515503,1.0024715662002563,0.002303274115547538,46.067684173583984,2.0308616161346436,54.128868103027344,48.07505798339844
700,1.0033541917800903,0.999573290348053,0.0012050914810970426,5.99990701675415,1.368589162826538,19.93878746032715,8.004039764404297
800,0.99943608045578,0.9978044033050537,0.001159930368885398,0.015644093975424767,1.0132524967193604,1.7296440601348877,2.0140445232391357
900,0.9946109056472778,0.9995666146278381,0.001403558417223394,130.8772735595703,2.9139223098754883,84.7940902709961,132.8728485107422
1000,1.0019562244415283,0.9977049827575684,0.0015635427553206682,0.4448179006576538,1.1076875925064087,6.265325546264648,2.446042537689209
1100,0.9974334836006165,1.0013518333435059,0.0017607382033020258,0.0009767892770469189,1.0005069971084595,1.1025526523590088,2.0015227794647217
1200,1.002333641052246,1.0044196844100952,0.0015522754983976483,5.860209941864014,1.300098180770874,20.36445426940918,7.868515968322754
1300,1.001577615737915,1.00006902217865,0.0006787678576074541,1.0871338844299316,1.1693497896194458,8.894403457641602,3.089459180831909
1400,0.9996250867843628,1.0002912282943726,0.0007982904789969325,0.02166159823536873,1.0160069465637207,2.154337167739868,2.02237606048584
1500,0.998244047164917,0.9993026852607727,0.0007602468831464648,0.0004814073326997459,0.9849172830581665,1.100414514541626,1.9987882375717163
1600,1.000911831855774,1.0043832063674927,0.00132924469653517,2.3278040885925293,1.2793718576431274,11.939558029174805,4.334428310394287
1700,0.9969797134399414,1.0031267404556274,0.0011232595425099134,0.049949973821640015,1.0341777801513672,2.754793167114258,2.0511794090270996
1800,0.9958632588386536,0.9946345686912537,0.0011572522344067693,0.9083395004272461,1.175244927406311,6.488707065582275,2.8999946117401123
1900,0.9996626973152161,0.9989573359489441,0.0006989854737184942,1.8124513626098633,1.1593785285949707,11.769319534301758,3.811770439147949
2000,1.0006663799285889,0.9944254159927368,0.0008974751690402627,13.56774616241455,1.610822319984436,28.367538452148438,15.563735961914062
2100,1.0018906593322754,1.004281759262085,0.0012009893544018269,0.0006012585945427418,0.9921501874923706,1.1426126956939697,2.007974624633789
2200,0.9983368515968323,0.9982790350914001,0.0013775615952908993,0.03063962236046791,1.0166335105895996,2.3787126541137695,2.0286331176757812
2300,0.9982122778892517,0.9978356957435608,0.00039667647797614336,0.4498858153820038,1.1452093124389648,5.316216945648193,2.4463305473327637
2400,0.9985575079917908,0.9998580813407898,0.0004502596566453576,0.16764380037784576,1.0682239532470703,3.779794454574585,2.1665096282958984
2500,0.9955220818519592,0.9973605275154114,0.0005526385502889752,0.02007204107940197,1.0175144672393799,2.121021270751953,2.01350736618042
2600,0.9963158965110779,0.992493212223053,0.0008795611211098731,0.00043382850708439946,1.0024960041046143,1.083422303199768,1.9901224374771118
2700,1.0011016130447388,0.9985371828079224,0.0007784045883454382,0.012705273926258087,1.0190215110778809,1.8771319389343262,2.01312255859375
2800,0.9995086789131165,0.9996088743209839,0.00044897780753672123,0.129159614443779,1.0458413362503052,3.8664164543151855,2.1287262439727783
2900,0.9993023872375488,0.9989801645278931,0.0006024100002832711,0.009727253578603268,1.0156632661819458,1.7287640571594238,2.0086121559143066
3000,1.0002964735031128,1.0013036727905273,0.0003950929967686534,0.0005098304245620966,0.9994885325431824,1.102894902229309,2.00250506401062
3100,0.9959288835525513,0.9952786564826965,0.0004878689651377499,0.0005386150442063808,0.9995765686035156,1.0793393850326538,1.9922341108322144
3200,0.9973066449165344,0.9993724226951599,0.0004617407394107431,0.1326105147600174,1.0677826404571533,3.2529900074005127,2.129751205444336
