time,variant,baseline_mse,corrected_mse,relative_improvement,bootstrap_95_low,bootstrap_median,bootstrap_95_high
0.2,clean_oracle,1.1330400639926665,1.1330051091281348,3.085051062412525e-05,-0.001962688867758122,2.998936763143334e-05,0.0022126473418891558
0.2,noisy_current,1.1330400639926665,1.1320040224018157,0.000914390959133371,-0.0024528211877116344,0.0009316957530642322,0.00434210909134603
0.2,learned_probe,1.1330400639926665,1.1330099174447241,2.6606780201721136e-05,-0.0025219274301329087,-5.833389684739565e-06,0.0026151478739579927
0.4,clean_oracle,1.3513728902362345,1.3508322603374836,0.00040005974861345717,-0.0015946097944387339,0.0003833617605837336,0.002400511553824394
0.4,noisy_current,1.3513728902362345,1.352515016700636,-0.0008451601128403041,-0.003976447986110798,-0.000961364027721956,0.0024264885861870022
0.4,learned_probe,1.3513728902362345,1.353599181111349,-0.0016474289895851424,-0.0039838923788811705,-0.001595274307470529,0.0007129954234236759
0.5,clean_oracle,1.7650643981978646,1.7622568122606026,0.0015906422112011986,-0.0018994250092230491,0.001497994505700151,0.0051955354625227235
0.5,noisy_current,1.7650643981978646,1.7606270269461675,0.002513999634363384,0.0005206001928505733,0.0025252085466085927,0.004444346422395273
0.5,learned_probe,1.7650643981978646,1.7592642783711199,0.0032860669744779747,-0.00039897853798123717,0.0030839047487613014,0.006819907284168275
0.6,clean_oracle,2.2546499912714353,2.2427754179152544,0.00526670365784121,-0.0014047958913015301,0.005292451992402025,0.011452057695174479
0.6,noisy_current,2.2546499912714353,2.259584423583874,-0.002188558016340325,-0.0038301941427202556,-0.0021832319108662235,-0.000519755260811013
0.6,learned_probe,2.2546499912714353,2.261118765818537,-0.0028690814858824965,-0.007848487149141575,-0.002872113332445969,0.0019677834532411138
