time,probe_mse,noisy_field_mse,constant_train_mean_mse,explained_fraction,improvement_over_noisy,auc,ridge,rank,condition_number,features
0.2,0.01572799515997758,0.030009232541488018,0.016804105594928842,0.06403854277588028,0.4758947887709726,0.7538080969724601,0.5119999923706055,114,617882380.4646629,114
0.4,0.015457077979590395,0.026459249005711172,0.016426842574219336,0.05903536180172031,0.41581569543965446,0.7473248507844632,0.5119999976158142,113,150839.10715196384,114
0.5,0.015563059383566724,0.02575910044106422,0.016463635838590562,0.054700946003245376,0.3958228697009675,0.7282489106684218,0.5119999985694885,114,991009700.0985174,114
0.6,0.016165935159733635,0.025357678743603174,0.017113203637563856,0.0553530769511178,0.36248363569903985,0.7056921597172273,0.5119999928474426,114,951288937.9379605,114
