step,nominal_data_passes,time,score_mse_per_component,zero_score_mse_per_component,score_explained_fraction,prediction_to_target_norm,prediction_target_cosine,endpoint_rms_angstrom,oracle_endpoint_rms_angstrom
0,0.0,0.005,37754.32867324561,33776.37033991228,-0.1177734106211148,0.3470027284892976,0.0038003732696053312,0.05749928176885798,2.3806235505245897e-07
0,0.0,0.01,37222.74451754386,33581.06030701754,-0.10844458683650626,0.3243125578584016,-0.0050351788879153935,0.058851994213094186,2.2878272233138143e-07
0,0.0,0.02,33523.803179824565,30452.56058114035,-0.10085334500857268,0.32166247670873677,0.004062338791528209,0.061616151967841544,2.1436235816538202e-07
0,0.0,0.05,24672.50548245614,21969.504385964912,-0.12303423186087104,0.31709117609010545,-0.035458875159534615,0.07009115371706125,2.2198310556081214e-07
0,0.0,0.1,15227.628015350878,13822.750479714912,-0.10163516571449671,0.3353204197089329,0.016110907095153972,0.08728428678021906,2.2569455229788711e-07
0,0.0,0.2,6569.037897478071,5984.965734649123,-0.09758989252812977,0.30897196168871494,-0.003440797723090942,0.14553376740790386,2.3751524858919156e-07
0,0.0,0.4,1011.4438733552631,901.7094640899123,-0.12169597152460288,0.3508290631158114,0.0019739379055134683,0.3577088418259707,2.632528002639588e-07
0,0.0,0.5,414.5942040158991,346.1562756990132,-0.19770818304156212,0.36777535090250457,-0.08490168821424807,0.5728571962065888,2.401699889810747e-07
0,0.0,0.6,157.96881960149398,146.43858792489036,-0.07873765951989076,0.31256363073765,0.030327230567789864,0.8911334309847313,2.459424518081957e-07
0,0.0,0.9,0.7205569451315361,0.27392064479359407,-1.6305317208730048,1.3052958614527395,0.02806470361998301,2.602548051714805,2.176956420983558
2111,0.25,0.005,28055.604989035088,33776.37033991228,0.1693718209892191,0.3631521723407026,0.4147728587703147,0.04866101427978078,2.3806235505245897e-07
2111,0.25,0.01,27475.991228070176,33581.06030701754,0.18180096230230025,0.38618802636783917,0.42847283112937445,0.05050202835995191,2.2878272233138143e-07
2111,0.25,0.02,25112.068256578947,30452.56058114035,0.1753708792510813,0.37501654070042306,0.42132580200409,0.053670126137826644,2.1436235816538202e-07
2111,0.25,0.05,18021.00068530702,21969.504385964912,0.17972657149154325,0.39936781418070527,0.4246977595690708,0.05911353917392689,2.2198310556081214e-07
2111,0.25,0.1,11110.855948464912,13822.750479714912,0.19619065939371072,0.4403703416006578,0.44294160966624135,0.07316527162512297,2.2569455229788711e-07
2111,0.25,0.2,4668.3032826206145,5984.965734649123,0.21999498583690724,0.467268317788445,0.46903955844466466,0.11990751743960984,2.3751524858919156e-07
2111,0.25,0.4,701.670744243421,901.7094640899123,0.22184387301334207,0.5149787877569209,0.47288064812740177,0.2881101824369856,2.6345073318351366e-07
2111,0.25,0.5,279.24443830523575,346.1562585663377,0.1932994669465984,0.5349854483470684,0.44815134250647476,0.4595107752912354,2.3989745471879084e-07
2111,0.25,0.6,127.36649683902138,146.43859434964364,0.13023955600860815,0.4791914018145029,0.3754908159813016,0.7877855401985157,2.5399244661777177e-07
2111,0.25,0.9,0.29572707728335734,0.273920640610812,-0.0796085925614054,0.33228214073929396,0.04635041990947019,2.58030494079924,2.1769563730688968
4221,0.5,0.005,21203.15391995614,33776.37033991228,0.37224889156011054,0.6335837070356034,0.6105564211420796,0.04201425655820987,2.3806235505245897e-07
4221,0.5,0.01,19919.10430372807,33581.06030701754,0.4068351588182131,0.6279077376252622,0.6379147999152158,0.042508010698499944,2.2878272233138143e-07
4221,0.5,0.02,18315.745202850878,30452.56058114035,0.3985482713662494,0.6368703283763273,0.6313311114570517,0.04589831686384499,2.1436235816538202e-07
4221,0.5,0.05,12854.702850877193,21969.504385964912,0.41488425842280974,0.6704501145703706,0.644632302454535,0.049349902717169006,2.2198310556081214e-07
4221,0.5,0.1,7767.123560855263,13822.750479714912,0.4380913138630672,0.7001460253100524,0.662930104713504,0.060126447048941586,2.2569455229788711e-07
4221,0.5,0.2,3307.47265625,5984.965734649123,0.4473698258451424,0.7148779887039521,0.6703384091741438,0.0973287766132108,2.3751524858919156e-07
4221,0.5,0.4,627.5806092379386,901.7094555235745,0.30401017157623567,0.7166936144423008,0.5704389453049357,0.26904670380424567,2.6345404637210486e-07
4221,0.5,0.5,269.2177627295778,346.1562756990132,0.22226525523499163,0.6589407524985718,0.49812379725749195,0.4464188435039577,2.410102969893006e-07
4221,0.5,0.6,125.89095480400219,146.43859220805922,0.14031572616365384,0.5426196081616287,0.40060453583833433,0.7793829710207858,2.5761556914334436e-07
4221,0.5,0.9,0.2749162556832297,0.273920640610812,-0.003634684374998365,0.14472802299868182,0.05980705719258405,2.5830539288216965,2.1769563936037515
8441,1.0,0.005,18290.010827850878,33776.37033991228,0.45849685316132827,0.7574848739637186,0.6813866671973983,0.038347844543919575,2.3806235505245897e-07
8441,1.0,0.01,16780.693530701756,33581.06030701754,0.5002929217456831,0.7434153738420183,0.7081904386514393,0.03831726895868201,2.2878272233138143e-07
8441,1.0,0.02,15713.180921052632,30452.56058114035,0.4840111760327964,0.748382962692611,0.6975628484626983,0.041933349415773986,2.1436235816538202e-07
8441,1.0,0.05,10575.73403234649,21969.504385964912,0.5186175415453279,0.7738911135294406,0.722016956394106,0.044069294247423785,2.2198310556081214e-07
8441,1.0,0.1,6752.280359100877,13822.750479714912,0.5115096399222465,0.8183299143275791,0.7216976202377112,0.05484400593512475,2.2569455229788711e-07
8441,1.0,0.2,2544.724112527412,5984.965734649123,0.5748139211900434,0.8338184590658775,0.7615969065546463,0.08502353631174826,2.3751524858919156e-07
8441,1.0,0.4,493.58975380345396,901.70947265625,0.4526066668131583,0.8151628267340932,0.6851987623000935,0.23480538449670244,2.624535908101735e-07
8441,1.0,0.5,223.51822274191338,346.15626713267545,0.3542852059464725,0.7411914453919448,0.6095928144475973,0.4030518966379723,2.3957134347845844e-07
8441,1.0,0.6,122.99755323978893,146.4385932788514,0.16007419570348902,0.5741426054001072,0.42647414425083074,0.7647591385296916,2.5015289132390117e-07
8441,1.0,0.9,0.27382744613446686,0.27392064479359407,0.00034023963107066013,0.11094490734226527,0.05700579557286573,2.5802999627777914,2.1769563936037515
16882,2.0,0.005,16066.48752741228,33776.37033991228,0.524327588615195,0.8107625294678256,0.728735865839712,0.03545784049860223,2.3806235505245897e-07
16882,2.0,0.01,14958.748492324561,33581.06030701754,0.5545480590677304,0.8040311442022132,0.74687039685446,0.03602495539342339,2.2878272233138143e-07
16882,2.0,0.02,13857.264802631578,30452.56058114035,0.5449556773490649,0.8172026569741201,0.7420288529852314,0.03919965685327327,2.1436235816538202e-07
16882,2.0,0.05,9283.297765899122,21969.504385964912,0.5774461907374796,0.8338091205407867,0.7631745606078041,0.040900193750153926,2.2198310556081214e-07
16882,2.0,0.1,5648.754111842105,13822.750479714912,0.5913436967460468,0.8570462272174411,0.7735124812632844,0.049797865222709625,2.2569455229788711e-07
16882,2.0,0.2,2068.3628871984647,5984.965734649123,0.6544068957280795,0.8728555858371627,0.8112933004173328,0.07577926603035587,2.3751524858919156e-07
16882,2.0,0.4,391.22690515350877,901.7094640899123,0.5661275380442294,0.8474022173133213,0.7577381938374593,0.20684293963833617,2.625660588622537e-07
16882,2.0,0.5,191.18062551398026,346.1562714158443,0.4477042847381747,0.7925075605539954,0.6787143566942189,0.37154678498378574,2.3884275638231243e-07
16882,2.0,0.6,116.64091090152138,146.4385932788514,0.2034824407291913,0.5902041680003722,0.46748519623342916,0.7487090245404208,2.496371467818777e-07
16882,2.0,0.9,0.2736494687565586,0.27392064479359407,0.000989980281478342,0.0979802250153049,0.05404213086119663,2.5895008418252523,2.1769563936037515
