step,nominal_data_passes,graphs_seen,validation_coordinate_loss,validation_coordinate_ratio,training_coordinate_loss,graphs_per_second,peak_cuda_memory_mib
0,0.0,0,0.97180350497365,1.0,,,
2111,0.25,135104,0.7175510451197624,0.7383705054029606,0.6576637625694275,244.3745210875522,4564.05419921875
4221,0.5,270144,0.6156200207769871,0.6334819926315036,0.5223662853240967,245.72796129755798,4627.4365234375
8441,1.0,540164,0.5283748842775822,0.5437054729411671,0.3891288638114929,234.54027114408328,4775.796875
16882,2.0,1080328,0.477187929674983,0.4910333490595115,0.729485273361206,240.11477920763951,5251.3017578125
