step,nominal_data_passes,global_preclip_gradient_norm,input_state_embeddings,base_message_blocks,dynamic_edge_angular,coordinate_readout,element_readout,lattice_readout,tensor_atlas
0,0.0,,,,,,,,
2111,0.25,1.3049852848052979,0.4376867115497589,0.09076948463916779,0.39490801095962524,0.8026058077812195,0.0,0.0,0.00784605648368597
4221,0.5,1.0616692304611206,0.3949991762638092,0.12497419863939285,0.5025536417961121,0.7587150931358337,0.0,0.0,0.012103314511477947
8441,1.0,3.896456241607666,0.34526291489601135,0.10485469549894333,0.3272193968296051,0.8733160495758057,0.0,0.0,0.006710316054522991
16882,2.0,4.192981719970703,0.41822388768196106,0.17292730510234833,0.4363243877887726,0.7775949239730835,0.0,0.0,0.012316172011196613
