time,velocity_mse,map_mse,teacher_forced_fixed_lift_rms
0.0,0.0069802626967430115,0.0069802626967430115,0.08354796469211578
0.03125,0.0026100538671016693,0.002449474297463894,0.049492161720991135
0.0625,0.0020428886637091637,0.0017955077346414328,0.042373429983854294
0.09375,0.0017472922336310148,0.0014350319979712367,0.03788181394338608
0.125,0.0016552393790334463,0.001267292769625783,0.035599056631326675
0.15625,0.0018145269714295864,0.0012917873682454228,0.03594144433736801
0.1875,0.001964780269190669,0.0012970621464774013,0.03601474687457085
0.21875,0.0023730488028377295,0.0014483941486105323,0.03805777430534363
0.25,0.002583073917776346,0.0014529790496453643,0.03811796382069588
0.28125,0.0028652313631027937,0.0014801828656345606,0.03847314789891243
0.3125,0.00250802980735898,0.0011854361509904265,0.034430161118507385
0.34375,0.002335057593882084,0.0010056253522634506,0.03171159699559212
0.375,0.0019783801399171352,0.0007728046621195972,0.027799364179372787
0.40625,0.0016085462411865592,0.0005670754471793771,0.023813346400856972
0.4375,0.001507406821474433,0.000476952875033021,0.02183925360441208
0.46875,0.0015915194526314735,0.0004491690779104829,0.0211936105042696
0.5,0.0014367348048835993,0.0003591837012208998,0.01895214058458805
0.53125,0.0013879304751753807,0.00030496521503664553,0.017463253811001778
0.5625,0.0014526046579703689,0.0002780376235023141,0.016674460843205452
0.59375,0.0016593439504504204,0.00027385662542656064,0.01654861308634281
0.625,0.0019212118349969387,0.00027017039246857166,0.016436859965324402
0.65625,0.0017754246946424246,0.00020979139662813395,0.014484177343547344
0.6875,0.0018035242101177573,0.00017612540978007019,0.013271224685013294
0.71875,0.0016884919023141265,0.00013356235285755247,0.011556916870176792
0.75,0.002060363069176674,0.00012877269182354212,0.01134780514985323
0.78125,0.0020212645176798105,9.672066516941413e-05,0.009834667667746544
0.8125,0.0018839020049199462,6.623093213420361e-05,0.00813823938369751
0.84375,0.0028296601958572865,6.908350042067468e-05,0.008311649784445763
0.875,0.002883389126509428,4.505295510170981e-05,0.006712149828672409
0.90625,0.0033998237922787666,2.9881262889830396e-05,0.005466375034302473
0.9375,0.0045351749286055565,1.7715527064865455e-05,0.004208981059491634
0.96875,0.0075526488944888115,7.37563368602423e-06,0.0027158113662153482
1.0,0.045106660574674606,0.0,2.153683453798294e-09
