source,assignment,integer_lift,translation_x,translation_y,translation_z,coupling_cost,second_coupling_cost,coupling_margin
0,"0,1,2,3","0,0,0,-1,0,-1,-1,0,-1,0,0,-1",0.7485265731811523,0.04733447730541229,0.7400995492935181,6.718240737915039,7.714521408081055,0.9962806701660156
1,"0,1,2,3","0,0,0,-1,0,0,-1,-1,0,-1,-1,-1",0.9102283716201782,0.7608115077018738,0.4143655300140381,11.580543518066406,11.836780548095703,0.2562370300292969
2,"0,1,2,3","0,0,0,0,-1,-1,0,-1,-1,0,-1,-1",0.1470034420490265,0.956887423992157,0.7101279497146606,6.399097442626953,6.511295795440674,0.1121983528137207
3,"0,1,2,3","0,0,0,0,0,-1,-2,0,-1,-1,0,-2",0.9629331827163696,0.22651678323745728,1.050987958908081,13.602641105651855,13.800603866577148,0.19796276092529297
4,"0,1,2,3","0,0,0,-1,0,1,0,0,1,-1,0,0",0.6542437076568604,0.11884334683418274,-0.4313848614692688,11.8589448928833,11.98238754272461,0.1234426498413086
5,"0,1,2,3","0,0,0,0,0,0,-1,-1,0,0,-1,0",0.6351315379142761,0.7203450202941895,0.014811016619205475,7.897893905639648,11.064375877380371,3.1664819717407227
6,"0,1,2,3","0,0,0,0,0,0,0,-1,0,-1,0,0",0.4852842092514038,0.24814581871032715,0.44457975029945374,9.924532890319824,10.625473022460938,0.7009401321411133
7,"0,1,2,3","0,0,0,0,-1,0,0,-1,0,1,-1,-1",-0.18113979697227478,0.8888440728187561,0.008989378809928894,8.301607131958008,10.523279190063477,2.2216720581054688
8,"0,1,2,3","0,0,0,0,1,1,0,0,0,0,0,0",0.19701333343982697,-0.20386114716529846,-0.25156500935554504,6.582976341247559,9.422584533691406,2.8396081924438477
9,"0,1,2,3","0,0,0,0,0,0,-1,-1,0,0,0,0",0.5914093852043152,0.2659989595413208,-0.088633693754673,12.08418083190918,12.534658432006836,0.45047760009765625
10,"0,1,2,3","0,0,0,0,0,0,-1,-1,-1,0,0,-1",0.5343661904335022,0.5048062801361084,0.5551666617393494,8.85006332397461,9.978370666503906,1.1283073425292969
11,"0,1,2,3","0,0,0,0,-1,0,0,-1,0,0,-1,0",-0.01463247463107109,0.9642665982246399,-0.10469898581504822,5.9797844886779785,6.191978931427002,0.21219444274902344
12,"0,1,2,3","0,0,0,-1,0,0,-1,0,0,0,0,-1",0.6241403818130493,0.2866254448890686,0.40150144696235657,6.032963275909424,8.702983856201172,2.670020580291748
13,"0,1,2,3","0,0,0,-1,-1,0,-1,-1,0,-1,-1,0",1.1415060758590698,0.8551893830299377,0.2199690341949463,7.7592267990112305,8.126511573791504,0.36728477478027344
14,"0,1,2,3","0,0,0,0,0,0,0,0,0,0,0,-1",0.4905605912208557,0.20689785480499268,0.41640913486480713,8.59115219116211,10.443571090698242,1.8524188995361328
15,"0,1,2,3","0,0,0,0,0,0,0,0,0,0,0,-1",-0.06800529360771179,0.08321961760520935,0.39836257696151733,7.74838924407959,8.156159400939941,0.40777015686035156
16,"0,1,2,3","0,0,0,0,0,0,-1,0,0,0,-1,-1",0.16820427775382996,0.40598905086517334,0.4662339687347412,12.200660705566406,12.952401161193848,0.7517404556274414
17,"0,1,2,3","0,0,0,-1,0,0,-1,0,0,0,0,-1",0.7817469835281372,0.22387313842773438,0.21772807836532593,11.28171157836914,11.495457649230957,0.2137460708618164
18,"0,1,2,3","0,0,0,-1,-1,0,-1,-1,0,-1,-1,0",0.8162644505500793,0.7721354961395264,0.1415754109621048,5.643206596374512,9.539261817932129,3.896055221557617
19,"0,1,2,3","0,0,0,0,0,0,0,0,0,0,0,-1",0.2701370120048523,0.033259034156799316,0.35328319668769836,12.458259582519531,13.607499122619629,1.1492395401000977
20,"0,1,2,3","0,0,0,0,0,0,-1,0,0,0,-1,0",0.5326443910598755,0.5024020671844482,0.41443681716918945,12.054351806640625,12.838848114013672,0.7844963073730469
21,"0,1,2,3","0,0,0,0,-1,1,-1,-1,0,-1,-1,0",0.775458574295044,0.8868071436882019,-0.22762224078178406,8.448204040527344,10.38951301574707,1.9413089752197266
22,"0,1,2,3","0,0,0,0,0,0,-1,0,0,0,0,-1",0.27627718448638916,-0.07400364428758621,0.30147022008895874,10.089007377624512,11.103616714477539,1.0146093368530273
