grid_size,mean_entropy,relative_aligned_irrep_difference_to_max_grid,reference_grid_size
24,3.126032829284668,2.0142974853515625,240
60,4.045109748840332,0.5955716967582703,240
120,4.740155220031738,0.17240510880947113,240
240,5.432584762573242,0.0,240
