K,aligned_irreps_error_to_Kmax,posterior_moment_error_to_Kmax,condition_token_error_to_Kmax,condition_gradient_error_to_Kmax,random_representative_condition_error,random_representative_aligned_error,posterior_entropy
240,0.4675608755957939,0.28340037214352465,0.059149476671167135,0.03457352929787023,0.044834886630841946,0.873811501308996,3.7910679295107634
960,0.23450274283688105,0.06001472269175685,0.03391580098741308,0.021366476091189173,0.007831205200785554,0.20399343743389228,5.022289779539147
3840,0.0,0.0,0.0,0.0,0.0031956399750468394,0.07579163907420236,6.418331854702916
