variant,time,quantity,pairwise_rms
type_riemannian_simplex_endpoint_nll,0.6875,state_lattice_log,0.41912785172462463
type_riemannian_simplex_endpoint_nll,0.6875,velocity_type_probability,0.06451980024576187
type_riemannian_simplex_endpoint_nll,0.6875,velocity_fractional_coordinate,0.0
type_riemannian_simplex_endpoint_nll,0.6875,velocity_lattice_log,0.0
type_riemannian_simplex_endpoint_nll,0.75,state_type_probability,0.04493480548262596
type_riemannian_simplex_endpoint_nll,0.75,state_fractional_coordinate,0.28458449244499207
type_riemannian_simplex_endpoint_nll,0.75,state_lattice_log,0.41912785172462463
type_riemannian_simplex_endpoint_nll,0.75,velocity_type_probability,0.06547272950410843
type_riemannian_simplex_endpoint_nll,0.75,velocity_fractional_coordinate,0.0
type_riemannian_simplex_endpoint_nll,0.75,velocity_lattice_log,0.0
type_riemannian_simplex_endpoint_nll,0.8125,state_type_probability,0.04847792536020279
type_riemannian_simplex_endpoint_nll,0.8125,state_fractional_coordinate,0.28458449244499207
type_riemannian_simplex_endpoint_nll,0.8125,state_lattice_log,0.41912785172462463
type_riemannian_simplex_endpoint_nll,0.8125,velocity_type_probability,0.06692607700824738
type_riemannian_simplex_endpoint_nll,0.8125,velocity_fractional_coordinate,0.0
type_riemannian_simplex_endpoint_nll,0.8125,velocity_lattice_log,0.0
type_riemannian_simplex_endpoint_nll,0.875,state_type_probability,0.0520273819565773
type_riemannian_simplex_endpoint_nll,0.875,state_fractional_coordinate,0.28458449244499207
type_riemannian_simplex_endpoint_nll,0.875,state_lattice_log,0.41912785172462463
type_riemannian_simplex_endpoint_nll,0.875,velocity_type_probability,0.06907986849546432
type_riemannian_simplex_endpoint_nll,0.875,velocity_fractional_coordinate,0.0
type_riemannian_simplex_endpoint_nll,0.875,velocity_lattice_log,0.0
type_riemannian_simplex_endpoint_nll,0.9375,state_type_probability,0.0554446242749691
type_riemannian_simplex_endpoint_nll,0.9375,state_fractional_coordinate,0.28458449244499207
type_riemannian_simplex_endpoint_nll,0.9375,state_lattice_log,0.41912785172462463
type_riemannian_simplex_endpoint_nll,0.9375,velocity_type_probability,0.0720234140753746
type_riemannian_simplex_endpoint_nll,0.9375,velocity_fractional_coordinate,0.0
type_riemannian_simplex_endpoint_nll,0.9375,velocity_lattice_log,0.0
type_riemannian_simplex_endpoint_nll,1.0,state_type_probability,0.05806082487106323
type_riemannian_simplex_endpoint_nll,1.0,state_fractional_coordinate,0.28458449244499207
type_riemannian_simplex_endpoint_nll,1.0,state_lattice_log,0.41912785172462463
geometry_typewise_ot_no_drift_normalized,0.0,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.0,state_fractional_coordinate,0.0
geometry_typewise_ot_no_drift_normalized,0.0,state_lattice_log,0.0
geometry_typewise_ot_no_drift_normalized,0.0,velocity_type_probability,0.0
geometry_typewise_ot_no_drift_normalized,0.0,velocity_fractional_coordinate,0.028885407373309135
geometry_typewise_ot_no_drift_normalized,0.0,velocity_lattice_log,0.32664239406585693
geometry_typewise_ot_no_drift_normalized,0.0625,state_type_probability,0.09166985005140305
geometry_typewise_ot_no_drift_normalized,0.0625,state_fractional_coordinate,0.0018053438980132341
