variant,active_heads,type_path,target_coupling,coordinate_gauge,loss_normalization,endpoint_type_nll_weight,type,coord,lattice,type_objective,coord_objective,lattice_objective,loss,endpoint_type_nll,counterfactual,identification,identification_retrieval,alignment_entropy,type_decoded_composition_accuracy,geometry_endpoint_retrieval_accuracy,joint_endpoint_retrieval_accuracy,decoded_atom_type_accuracy,type_endpoint_reconstruction_rms,coordinate_endpoint_reconstruction_rms,lattice_endpoint_reconstruction_rms,generated_between_within_ratio,generated_nearest_centroid_accuracy,sampling_failure_count
type_riemannian_simplex_endpoint_nll,"[""type""]",riemannian_simplex,identity,absolute,target_velocity_rms,1.0,0.0033521263394504786,0.00014880485832691193,0.002049447735771537,0.39832359552383423,14880.486328125,204944.78125,0.6048979163169861,0.20657432079315186,0.0,0.0,0.0,-0.0,0.3125,1.0,1.0,0.59375,0.06387469824403524,0.0,0.0,3.770695447921753,1.0,0
geometry_typewise_ot_no_drift_normalized,"[""coord"", ""lattice""]",euclidean_logits,typewise_optimal_transport,no_drift,target_velocity_rms,0.0,0.354843407869339,0.039671093225479126,0.556807279586792,35484340.0,0.9556859135627747,0.12180628627538681,1.0774922370910645,0.0,0.0,0.0,0.0,-0.0,1.0,0.5625,0.8125,1.0,0.0,0.30298848915845156,0.8447969779372215,1.1317437887191772,0.9375,0
joint_ot_simplex_no_drift_normalized,"[""type"", ""coord"", ""lattice""]",riemannian_simplex,optimal_transport,no_drift,target_velocity_rms,1.0,0.001503166975453496,0.0388316884636879,0.653211772441864,0.1778247356414795,0.9983988404273987,0.16503524780273438,1.5577319860458374,0.21647325158119202,0.0,0.0,0.0,-0.0,0.0625,0.6875,0.8125,0.484375,0.06561094196513295,0.28797297831624746,1.0316895879805088,1.163408637046814,1.0,0
