time,probe_mse,noisy_field_mse,constant_train_mean_mse,explained_fraction,improvement_over_noisy,auc,ridge,rank,condition_number,features
0.2,0.008042100082718662,0.014585990282910188,0.0922157843306195,0.9127904171601959,0.44864216095486753,0.9840320719749484,0.512000002861023,113,249702.24222457933,114
0.4,0.021632776542674037,0.0602883742224094,0.09221578488359228,0.7654113493695036,0.6411783064033421,0.9455627296226521,0.512000002861023,114,1381624434.9189928,114
0.5,0.03430995921792146,0.0892156626941869,0.09221578536380548,0.6279383287518142,0.6154267290988018,0.8939684955297944,0.512000002861023,114,1430173753.8901508,114
0.6,0.050948094017485346,0.12261112443866296,0.0922157836612314,0.4475122154288591,0.5844741311138332,0.7981485021259687,0.512000002861023,114,1138586665.8403916,114
