time,variant,baseline_mse,corrected_mse,relative_improvement,bootstrap_95_low,bootstrap_median,bootstrap_95_high
0.2,clean_oracle,1.1330400655060657,1.1025119409023318,0.02694355260076231,0.013369219932594507,0.026819355246038568,0.03902133093656976
0.2,noisy_current,1.1330400655060657,1.133007115815417,2.908078156449445e-05,-0.0046275680727993875,-6.0949743017624236e-05,0.004615502029608251
0.2,learned_probe,1.1330400655060657,1.1467061882140115,-0.012061464659541388,-0.024258988515618585,-0.012404548268453275,-0.0003881101496879773
0.4,clean_oracle,1.3513728837569943,1.2723088929560618,0.05850642095253844,0.0419883528915759,0.05828596812038922,0.07596855475024399
0.4,noisy_current,1.3513728837569943,1.3654269607141032,-0.01039985123723719,-0.016050852451947366,-0.010394571892207605,-0.00497449399810548
0.4,learned_probe,1.3513728837569943,1.3947265341630555,-0.032081190119438,-0.04686359450599593,-0.032188420659995276,-0.016779063351024786
0.5,clean_oracle,1.7650644262103015,1.5655535828263965,0.11303317908472421,0.09089090850119566,0.11278644490282036,0.13485782053732914
0.5,noisy_current,1.7650644262103015,1.7641774996554886,0.0005024896211393015,-0.0023154013591854873,0.0005603300034465186,0.002794944140585827
0.5,learned_probe,1.7650644262103015,1.8375346162501955,-0.041058099049388286,-0.05650396838954916,-0.04125242849000621,-0.025513405902954454
0.6,clean_oracle,2.254650007103919,1.916567444714019,0.14994902149986666,0.12438213876812657,0.14991196000802887,0.17329948673713244
0.6,noisy_current,2.254650007103919,2.256247430363146,-0.000708501654001159,-0.0015274807297560866,-0.0007343930658679776,0.00011888071273195192
0.6,learned_probe,2.254650007103919,2.386760633729864,-0.058594738078944664,-0.07619787657203062,-0.05858437983093612,-0.04061376297717405
