time,soft_jaccard,hard_switch_fraction,hard_precision,hard_recall,clean_mass_coverage,minimum_graph_clean_mass_coverage
0.2,0.8064561733044684,0.10061178105024737,0.9298653193982318,0.8231888612499461,1.0,1.0
0.4,0.60252727905754,0.21198703869595192,0.8234581489814445,0.620996204612311,1.0,1.0
0.5,0.5034231258323416,0.2645437247119844,0.7623561231885105,0.5230928053497337,1.0,1.0
0.6,0.40644126443658024,0.3175367509829812,0.7041457052109763,0.4310171979595907,1.0,1.0
