step,train_path_nll,gradient_norm
1.0,2.6614544231561013,14.92984390258789
10.0,1.679621014103759,5.350913047790527
20.0,3.7470548251876608,4.639518737792969
30.0,2.0509831267409027,4.5277509689331055
40.0,1.9419077128404751,1.9108102321624756
50.0,1.4424245737027377,2.49651837348938
60.0,1.9977525830618106,2.369692325592041
70.0,1.5797315302188508,3.632685661315918
80.0,2.5464927087305114,2.411256790161133
90.0,1.9439035286195576,2.0895705223083496
100.0,1.6098088520229794,1.5494272708892822
110.0,1.4414747304981574,1.7164103984832764
120.0,1.6116414692951366,2.143695116043091
130.0,1.2243616826599464,1.0332913398742676
140.0,1.679192665964365,2.093194007873535
150.0,1.9822568497038446,1.118446946144104
160.0,1.2232158386614174,1.9934972524642944
170.0,1.4588018911890686,1.2727407217025757
180.0,1.8766872769920155,2.3955132961273193
190.0,1.4935659737093374,1.9911463260650635
200.0,2.077730003860779,1.8736493587493896
210.0,0.9350557769066654,0.7642658352851868
220.0,1.093398952507414,0.9765673279762268
230.0,1.43643708107993,1.798218011856079
240.0,1.557594368350692,1.5586897134780884
250.0,1.0634629094274715,1.6143887042999268
260.0,1.295435555104632,1.0140206813812256
270.0,1.022392519051209,2.4862217903137207
280.0,1.3090285494108684,7.970890522003174
290.0,1.2627172354841605,1.3328638076782227
300.0,1.4254800930502824,1.388655185699463
310.0,1.2964840637287125,1.3632785081863403
320.0,1.0619471240788698,1.4952675104141235
330.0,2.161179055343382,6.496711254119873
340.0,1.113934222375974,0.7866108417510986
350.0,1.2103072442114353,1.9795105457305908
360.0,1.2121315131662413,2.9223883152008057
370.0,1.1938505916041322,1.3709139823913574
380.0,1.3165649995789863,1.0072598457336426
390.0,1.2852864347514696,2.2015931606292725
400.0,1.0418161546695046,1.8078324794769287
410.0,1.199168375285808,2.6206207275390625
420.0,1.0610688640736043,2.465792179107666
430.0,1.6049807432573289,1.3695780038833618
440.0,1.7952557691605762,2.4206769466400146
450.0,1.172516087302938,3.1700003147125244
460.0,0.9274804576998577,1.4265952110290527
470.0,1.1527942756656557,2.0389928817749023
480.0,1.0466996175237,1.253476619720459
490.0,0.8190617953659967,0.8507567048072815
500.0,1.4062022907892242,3.7124552726745605
