source,time_index,time,lift_cost,second_lift_cost,lift_cost_margin,permutation_count,permutation_cost,second_permutation_cost,permutation_cost_margin,component_cut_margin_fractional,lift_signature,permutation_signature,translation_x,translation_y,translation_z,temporal_lift_change,temporal_permutation_change,temporal_path_consistency_jump_rms,perturbation_lift_change,perturbation_permutation_change,perturbation_target_displacement_jump_rms,confirmed_branch_event
24,0,0.0,10.67251968383789,11.366498947143555,0.6939792633056641,1,10.67251968383789,inf,inf,0.007398545742034912,"0,0,0,-1,0,0,0,0,-1,-1,-1,-1","0,1,2,3",0.6160843968391418,0.3231946527957916,0.5400382280349731,False,False,0.0,False,False,9.999209578381851e-05,False
25,0,0.0,6.57004451751709,9.506641387939453,2.9365968704223633,1,6.57004451751709,inf,inf,0.022010087966918945,"0,0,0,0,0,0,-1,-1,0,0,-1,0","0,1,2,3",0.49733346700668335,0.5453082919120789,0.2266903817653656,False,False,0.0,False,False,0.00010000001930166036,False
26,0,0.0,7.861464500427246,8.876128196716309,1.0146636962890625,1,7.861464500427246,inf,inf,0.038214683532714844,"0,0,0,-1,0,-1,-1,-1,0,0,-1,-1","0,1,2,3",0.615871787071228,0.5446780920028687,0.5347075462341309,False,False,0.0,False,False,9.999917529057711e-05,False
27,0,0.0,9.82878589630127,10.3468656539917,0.5180797576904297,1,9.82878589630127,inf,inf,0.1194867491722107,"0,0,0,-1,0,0,0,0,0,0,-1,0","0,1,2,3",0.4617732763290405,0.07141908258199692,0.9107033610343933,False,False,0.0,False,False,9.999071335187182e-05,False
28,0,0.0,5.461597442626953,9.517148971557617,4.055551528930664,1,5.461597442626953,inf,inf,0.18096882104873657,"0,0,0,0,-1,0,0,-1,0,0,-1,0","0,1,2,3",0.12460476160049438,0.03787684440612793,0.11374559253454208,False,False,0.0,False,False,9.999001485994086e-05,False
29,0,0.0,6.7457170486450195,8.315250396728516,1.569533348083496,1,6.7457170486450195,inf,inf,0.044270455837249756,"0,0,0,0,0,0,0,0,0,0,-1,-1","0,1,2,3",0.8481851816177368,0.2797088027000427,0.5560747385025024,False,False,0.0,False,False,9.999875328503549e-05,False
30,0,0.0,6.897246837615967,8.800826072692871,1.9035792350769043,1,6.897246837615967,inf,inf,0.08115774393081665,"0,0,0,-1,0,1,-1,0,0,-1,0,0","0,1,2,3",0.8150249123573303,0.17481234669685364,0.8209531903266907,False,False,0.0,False,False,0.00010000307520385832,False
31,0,0.0,6.712605953216553,10.565435409545898,3.8528294563293457,1,6.712605953216553,inf,inf,0.013368606567382812,"0,0,0,0,0,-1,0,0,0,0,-1,-1","0,1,2,3",0.31742146611213684,0.5521235466003418,0.854218602180481,False,False,0.0,False,False,0.00010000413749366999,False
32,0,0.0,11.31555461883545,11.652099609375,0.3365449905395508,1,11.31555461883545,inf,inf,0.002026677131652832,"0,0,0,0,0,0,-1,-1,1,0,0,0","0,1,2,3",0.47479307651519775,0.3251957893371582,0.865938663482666,False,False,0.0,False,False,9.999714529840276e-05,False
33,0,0.0,12.38736343383789,13.407007217407227,1.019643783569336,1,12.38736343383789,inf,inf,0.00988912582397461,"0,0,0,-1,0,0,-1,-1,0,-1,0,-1","0,1,2,3",0.06055617332458496,0.5175293684005737,0.2265433967113495,False,False,0.0,False,False,0.00010000591282732785,False
34,0,0.0,12.576711654663086,13.3571195602417,0.7804079055786133,1,12.576711654663086,inf,inf,0.005547761917114258,"0,0,0,-1,0,-1,-1,0,-1,-1,0,-2","0,1,2,3",0.9952017664909363,0.877853512763977,0.9687691926956177,False,False,0.0,False,False,0.00010000047768699005,False
35,0,0.0,9.592607498168945,10.507135391235352,0.9145278930664062,1,9.592607498168945,inf,inf,0.029601693153381348,"0,0,0,-1,0,-1,-1,0,-1,0,0,-1","0,1,2,3",0.6054392457008362,0.14415335655212402,0.7599231004714966,False,False,0.0,False,False,9.99934200081043e-05,False
36,0,0.0,10.958650588989258,11.491228103637695,0.5325775146484375,1,10.958650588989258,inf,inf,0.011813044548034668,"0,0,0,-1,-1,0,-2,-1,0,-1,-1,0","0,1,2,3",0.029924869537353516,0.7243548631668091,0.21527042984962463,False,False,0.0,False,False,9.999494068324566e-05,False
37,0,0.0,5.216889381408691,8.358711242675781,3.14182186126709,1,5.216889381408691,inf,inf,0.008463263511657715,"0,0,0,-1,0,-1,-1,0,-1,0,-1,-1","0,1,2,3",0.7339664101600647,0.5647045373916626,0.6265479326248169,False,False,0.0,False,False,0.000100000761449337,False
38,0,0.0,8.60765266418457,10.565881729125977,1.9582290649414062,1,8.60765266418457,inf,inf,0.027782440185546875,"0,0,0,0,1,-1,-1,0,-1,0,0,-1","0,1,2,3",0.3212246894836426,0.7635742425918579,0.9305357933044434,False,False,0.0,False,False,0.00010001160262618214,False
39,0,0.0,7.336718559265137,10.024137496948242,2.6874189376831055,1,7.336718559265137,inf,inf,0.0177689790725708,"0,0,0,-1,0,0,0,0,-1,0,0,-1","0,1,2,3",0.5372201204299927,0.8085161447525024,0.6143797636032104,False,False,0.0,False,False,9.999607573263347e-05,False
40,0,0.0,7.877495288848877,10.947851181030273,3.0703558921813965,1,7.877495288848877,inf,inf,0.10236835479736328,"0,0,0,-1,0,0,-1,-1,0,-1,-1,0","0,1,2,3",0.8990837335586548,0.6508574485778809,0.10534001886844635,False,False,0.0,False,False,0.00010000669863075018,False
41,0,0.0,10.147993087768555,12.302112579345703,2.1541194915771484,1,10.147993087768555,inf,inf,0.014015346765518188,"0,0,0,0,0,0,0,0,-1,0,-1,-1","0,1,2,3",0.2258986234664917,0.3376079499721527,0.5827690362930298,False,False,0.0,False,False,9.999056055676192e-05,False
42,0,0.0,10.377500534057617,12.167825698852539,1.7903251647949219,1,10.377500534057617,inf,inf,0.0030677318572998047,"0,0,0,0,0,-1,-1,0,-1,0,-1,-1","0,1,2,3",0.5729156732559204,0.42686963081359863,0.9212710857391357,False,False,0.0,False,False,9.999253234127536e-05,False
43,0,0.0,12.1337890625,12.885743141174316,0.7519540786743164,1,12.1337890625,inf,inf,0.12034571170806885,"0,0,0,0,1,0,0,0,0,0,0,-1","0,1,2,3",0.2701014280319214,0.8445162773132324,0.25513163208961487,False,False,0.0,False,False,0.00010000571637647226,False
44,0,0.0,11.330619812011719,12.556114196777344,1.225494384765625,1,11.330619812011719,inf,inf,0.05129122734069824,"0,0,0,-1,0,0,-1,-1,0,0,-1,0","0,1,2,3",0.5778700113296509,0.6724666357040405,0.9724055528640747,False,False,0.0,False,False,9.999602480093017e-05,False
45,0,0.0,12.309236526489258,12.407751083374023,0.09851455688476562,1,12.309236526489258,inf,inf,0.07562166452407837,"0,0,0,0,-1,0,0,-1,0,0,-1,0","0,1,2,3",0.385013222694397,0.8583598136901855,0.9364809989929199,False,False,0.0,False,False,9.999248140957206e-05,False
46,0,0.0,6.954526901245117,8.783767700195312,1.8292407989501953,1,6.954526901245117,inf,inf,0.004660606384277344,"0,0,0,0,0,0,-1,0,0,0,-1,-1","0,1,2,3",0.20243844389915466,0.3779188394546509,0.4786439836025238,False,False,0.0,False,False,0.000100004966952838,False
47,0,0.0,9.783981323242188,9.899704933166504,0.1157236099243164,1,9.783981323242188,inf,inf,0.07494831085205078,"0,0,0,-1,0,1,-1,0,0,-1,-1,0","0,1,2,3",0.7791981101036072,0.2879749834537506,0.8064538836479187,False,False,0.0,False,False,9.999014582717791e-05,False
48,0,0.0,7.431884765625,11.021561622619629,3.589676856994629,1,7.431884765625,inf,inf,0.02916938066482544,"0,0,0,0,0,0,-1,0,0,0,-1,0","0,1,2,3",0.27061009407043457,0.2313404232263565,0.16055910289287567,False,False,0.0,False,False,9.998704626923427e-05,False
49,0,0.0,7.137138843536377,8.467483520507812,1.3303446769714355,1,7.137138843536377,inf,inf,0.04406619071960449,"0,0,0,-1,-1,0,-2,-1,0,0,-1,0","0,1,2,3",0.9870338439941406,0.6732487082481384,0.11870895326137543,False,False,0.0,False,False,9.998976020142436e-05,False
50,0,0.0,11.26639175415039,11.366003036499023,0.09961128234863281,1,11.26639175415039,inf,inf,0.03462707996368408,"0,0,0,0,0,1,-1,-1,0,-1,-1,0","0,1,2,3",0.6544113755226135,0.47270941734313965,0.8487697839736938,False,False,0.0,False,False,0.00010000528709497303,False
51,0,0.0,4.737121105194092,6.551958084106445,1.8148369789123535,1,4.737121105194092,inf,inf,0.022806257009506226,"0,0,0,1,-1,0,0,-1,0,1,-1,0","0,1,2,3",0.6373614072799683,0.9571014046669006,0.07023460417985916,False,False,0.0,False,False,0.00010000470501836389,False
52,0,0.0,11.571319580078125,11.756475448608398,0.18515586853027344,1,11.571319580078125,inf,inf,0.05655878782272339,"0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-2","0,1,2,3",0.7619666457176208,0.04821896553039551,0.025290966033935547,False,False,0.0,False,False,0.00010003211355069652,False
53,0,0.0,9.805621147155762,10.607124328613281,0.8015031814575195,1,9.805621147155762,inf,inf,0.037962913513183594,"0,0,0,0,-1,0,0,-1,0,0,-1,0","0,1,2,3",0.22090870141983032,0.830418586730957,0.799842119216919,False,False,0.0,False,False,0.00010000052861869335,False
54,0,0.0,7.273460388183594,9.390398025512695,2.1169376373291016,1,7.273460388183594,inf,inf,0.03382909297943115,"0,0,0,0,0,-1,-1,-1,-1,0,-1,-1","0,1,2,3",0.26895660161972046,0.6481501460075378,0.8003835678100586,False,False,0.0,False,False,0.00010000964539358392,False
55,0,0.0,7.854814529418945,10.985166549682617,3.130352020263672,1,7.854814529418945,inf,inf,0.02660536766052246,"0,0,0,-1,0,-1,-1,0,-1,0,-1,-1","0,1,2,3",0.6761631369590759,0.39449527859687805,0.7054641246795654,False,False,0.0,False,False,0.00010001305054174736,False
56,0,0.0,10.066265106201172,11.30041790008545,1.2341527938842773,1,10.066265106201172,inf,inf,0.0034313201904296875,"0,0,0,-1,0,0,-1,0,-1,0,-1,-1","0,1,2,3",0.512262225151062,0.40458613634109497,0.4363786578178406,False,False,0.0,False,False,0.00010000371548812836,False
57,0,0.0,8.905163764953613,10.570286750793457,1.6651229858398438,1,8.905163764953613,inf,inf,0.06115305423736572,"0,0,0,-1,0,0,-1,-1,0,0,-1,0","0,1,2,3",0.7026834487915039,0.910466730594635,0.2621299922466278,False,False,0.0,False,False,9.999917529057711e-05,False
58,0,0.0,13.050153732299805,14.153230667114258,1.1030769348144531,1,13.050153732299805,inf,inf,0.06426209211349487,"0,0,0,-1,0,0,-1,-1,0,0,-1,0","0,1,2,3",0.47912201285362244,0.5662593245506287,0.23743943870067596,False,False,0.0,False,False,0.00010000309703173116,False
59,0,0.0,9.049811363220215,10.234838485717773,1.1850271224975586,1,9.049811363220215,inf,inf,0.04914689064025879,"0,0,0,1,-1,0,0,-1,-1,0,-1,-1","0,1,2,3",0.9067128896713257,0.6596279144287109,0.6128771901130676,False,False,0.0,False,False,9.999657777370885e-05,False
60,0,0.0,7.782357215881348,8.890960693359375,1.1086034774780273,1,7.782357215881348,inf,inf,0.03470537066459656,"0,0,0,0,1,0,0,1,-1,0,0,0","0,1,2,3",0.7999349236488342,0.6950855851173401,0.48097747564315796,False,False,0.0,False,False,9.999809844885021e-05,False
61,0,0.0,7.662513732910156,7.880143165588379,0.21762943267822266,1,7.662513732910156,inf,inf,0.03266000747680664,"0,0,0,-1,0,0,-1,0,0,0,0,0","0,1,2,3",0.5326375365257263,0.17607355117797852,0.1384299248456955,False,False,0.0,False,False,0.00010001477494370192,False
62,0,0.0,9.809094429016113,10.590798377990723,0.7817039489746094,1,9.809094429016113,inf,inf,0.04669180512428284,"0,0,0,0,0,0,-1,0,0,0,-1,0","0,1,2,3",0.49930188059806824,0.10511989891529083,0.1345464289188385,False,False,0.0,False,False,0.00010000717884395272,False
63,0,0.0,11.122150421142578,12.301862716674805,1.1797122955322266,1,11.122150421142578,inf,inf,0.008112072944641113,"0,0,0,-1,0,0,0,0,0,0,0,-1","0,1,2,3",0.5902206897735596,0.17378437519073486,0.1252892017364502,False,False,0.0,False,False,9.999945177696645e-05,False
0,1,0.03125,7.037576675415039,7.660379409790039,0.622802734375,1,7.037576675415039,inf,inf,0.019800662994384766,"0,0,0,-1,0,-1,-1,0,-1,0,0,-1","0,1,2,3",0.7485265731811523,0.04733448475599289,0.7400995492935181,False,False,0.01104855164885521,False,False,9.999925532611087e-05,False
1,1,0.03125,11.892242431640625,12.168441772460938,0.2761993408203125,1,11.892242431640625,inf,inf,0.0216769278049469,"0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1","0,1,2,3",0.9102283716201782,0.760811448097229,0.4143655598163605,True,False,0.01193377934396267,False,False,0.00010003899660659954,True
2,1,0.03125,6.1106977462768555,6.359662055969238,0.2489643096923828,1,6.1106977462768555,inf,inf,0.0515751838684082,"0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1","0,1,2,3",0.8970034122467041,0.9568873643875122,0.7101278901100159,True,False,0.2421875149011612,False,False,0.00010000041947932914,True
3,1,0.03125,13.103649139404297,14.001365661621094,0.8977165222167969,1,13.103649139404297,inf,inf,0.10490715503692627,"0,0,0,0,0,-1,-2,0,-1,-1,0,-2","0,1,2,3",0.9629331827163696,0.22651679813861847,0.050987958908081055,False,False,0.007812492549419403,False,False,9.999843314290047e-05,False
4,1,0.03125,11.829874992370605,12.09857177734375,0.26869678497314453,1,11.829874992370605,inf,inf,0.05269995331764221,"0,0,0,-1,0,1,-1,0,1,-1,0,0","0,1,2,3",0.9042436480522156,0.11884334683418274,0.5686151385307312,True,False,0.24235543608665466,False,False,9.999944450100884e-05,True
5,1,0.03125,7.673785209655762,10.383659362792969,2.709874153137207,1,7.673785209655762,inf,inf,0.05979359149932861,"0,0,0,0,0,0,-1,-1,0,0,-1,0","0,1,2,3",0.6351315379142761,0.7203450202941895,0.014811009168624878,False,False,0.007812500931322575,False,False,9.999336180044338e-05,False
6,1,0.03125,10.468365669250488,10.837401390075684,0.3690357208251953,1,10.468365669250488,inf,inf,0.02654460072517395,"0,0,0,0,0,0,0,-1,0,-1,0,0","0,1,2,3",0.4852842092514038,0.24814581871032715,0.44457972049713135,False,False,0.013531654141843319,False,False,0.00010000705515267327,False
7,1,0.03125,7.790863037109375,10.55670166015625,2.765838623046875,1,7.790863037109375,inf,inf,0.1233665943145752,"0,0,0,0,-1,0,0,-1,0,1,-1,-1","0,1,2,3",0.8188601732254028,0.8888441324234009,0.008989378809928894,False,False,1.506278124452365e-08,False,False,0.00010000348265748471,False
8,1,0.03125,6.177968978881836,9.36805534362793,3.1900863647460938,1,6.177968978881836,inf,inf,0.017725467681884766,"0,0,0,0,1,1,0,0,0,0,0,0","0,1,2,3",0.19701334834098816,0.7961388230323792,0.7484349608421326,False,False,1.5472291892137946e-08,False,False,0.00010000685142586008,False
9,1,0.03125,12.082792282104492,12.302942276000977,0.22014999389648438,1,12.082792282104492,inf,inf,0.03708392381668091,"0,0,0,0,0,0,-1,-1,0,0,0,0","0,1,2,3",0.5914093852043152,0.2659989595413208,0.9113662838935852,False,False,0.011933790519833565,False,False,0.00010000386828323826,False
10,1,0.03125,9.614625930786133,10.475171089172363,0.8605451583862305,1,9.614625930786133,inf,inf,0.036386191844940186,"0,0,0,0,0,0,-1,-1,-1,0,0,-1","0,1,2,3",0.5343661904335022,0.5048062801361084,0.5551666617393494,False,False,0.01495981216430664,False,False,0.00010000061593018472,False
11,1,0.03125,5.611888408660889,6.256669998168945,0.6447815895080566,1,5.611888408660889,inf,inf,0.16381260752677917,"0,0,0,0,0,0,0,0,0,0,0,0","0,1,2,3",0.9853675365447998,0.9642666578292847,0.8953009843826294,True,False,1.5472291892137946e-08,False,False,9.999971371144056e-05,False
12,1,0.03125,6.26694393157959,9.073369026184082,2.806425094604492,1,6.26694393157959,inf,inf,0.04383212327957153,"0,0,0,-1,0,0,-1,0,0,0,0,-1","0,1,2,3",0.6241403222084045,0.2866254448890686,0.4015014171600342,False,False,0.011048546060919762,False,False,0.00010000099427998066,False
13,1,0.03125,7.281853199005127,7.995316028594971,0.7134628295898438,1,7.281853199005127,inf,inf,0.030446350574493408,"0,0,0,-1,-1,0,-1,-1,0,-1,-1,0","0,1,2,3",0.14150607585906982,0.8551894426345825,0.2199690341949463,False,False,2.8154863329632462e-08,False,False,0.00010000003385357559,False
14,1,0.03125,9.277193069458008,10.68625259399414,1.4090595245361328,1,9.277193069458008,inf,inf,0.06530749797821045,"0,0,0,0,0,0,0,0,0,0,0,-1","0,1,2,3",0.4905605912208557,0.20689785480499268,0.4164091646671295,False,False,0.014959804713726044,False,False,0.00010000299516832456,False
15,1,0.03125,7.50972318649292,8.40318775177002,0.8934645652770996,1,7.50972318649292,inf,inf,0.03510478138923645,"0,0,0,0,0,0,0,0,0,0,0,-1","0,1,2,3",0.9319946765899658,0.08321960270404816,0.39836257696151733,False,False,0.007812499534338713,False,False,9.998972382163629e-05,False
16,1,0.03125,12.574817657470703,13.039318084716797,0.46450042724609375,1,12.574817657470703,inf,inf,0.06610643863677979,"0,0,0,0,0,0,-1,0,0,0,-1,-1","0,1,2,3",0.16820429265499115,0.40598905086517334,0.4662339687347412,False,False,0.011933793313801289,False,False,0.00010000360634876415,False
17,1,0.03125,11.318923950195312,11.660521507263184,0.3415975570678711,1,11.318923950195312,inf,inf,0.03290760517120361,"0,0,0,-1,0,0,-1,0,0,0,0,-1","0,1,2,3",0.7817469835281372,0.22387313842773438,0.21772807836532593,False,False,0.01104854978621006,False,False,9.999364556279033e-05,False
18,1,0.03125,5.296015739440918,9.509538650512695,4.213522911071777,1,5.296015739440918,inf,inf,0.01609337329864502,"0,0,0,-1,-1,0,-1,-1,0,-1,-1,0","0,1,2,3",0.8162645101547241,0.7721354961395264,0.1415754109621048,False,False,1.9638912718278334e-08,False,False,9.999812027672306e-05,False
19,1,0.03125,12.118522644042969,13.699037551879883,1.580514907836914,1,12.118522644042969,inf,inf,0.020995527505874634,"0,0,0,0,0,0,0,0,0,0,0,-1","0,1,2,3",0.2701370120048523,0.033259034156799316,0.35328319668769836,False,False,0.00781249487772584,False,False,9.99929106910713e-05,False
20,1,0.03125,12.835293769836426,12.837968826293945,0.0026750564575195312,1,12.835293769836426,inf,inf,0.03538653254508972,"0,0,0,0,0,-1,-1,0,-1,0,-1,-1","0,1,2,3",0.5326443910598755,0.5024020671844482,0.16443681716918945,True,False,0.24252329766750336,True,False,0.24998338520526886,True
21,1,0.03125,8.227328300476074,9.750314712524414,1.5229864120483398,1,8.227328300476074,inf,inf,0.044747114181518555,"0,0,0,0,-1,1,-1,-1,0,-1,-1,0","0,1,2,3",0.7754586338996887,0.8868071436882019,0.7723777294158936,False,False,0.007812509313225746,False,False,9.998551104217768e-05,False
22,1,0.03125,9.468297004699707,10.890420913696289,1.422123908996582,1,9.468297004699707,inf,inf,0.03468137979507446,"0,0,0,0,0,0,-1,0,0,0,0,-1","0,1,2,3",0.27627718448638916,0.9259963631629944,0.30147022008895874,False,False,1.0202128031266966e-08,False,False,9.999148460337892e-05,False
23,1,0.03125,6.1431965827941895,11.65304946899414,5.509852886199951,1,6.1431965827941895,inf,inf,0.014608979225158691,"0,0,0,0,1,0,-1,0,0,0,0,-1","0,1,2,3",0.32215777039527893,0.8451176285743713,0.37817686796188354,False,False,0.009021103382110596,False,False,9.99938347376883e-05,False
24,1,0.03125,10.903068542480469,11.233016967773438,0.32994842529296875,1,10.903068542480469,inf,inf,0.014864474534988403,"0,0,0,-1,0,0,0,0,-1,-1,-1,-1","0,1,2,3",0.6160843372344971,0.3231946527957916,0.5400382280349731,False,False,0.011048538610339165,False,False,0.00010000365728046745,False
25,1,0.03125,6.695233345031738,9.247093200683594,2.5518598556518555,1,6.695233345031738,inf,inf,0.029863178730010986,"0,0,0,0,0,0,-1,-1,0,0,-1,0","0,1,2,3",0.49733346700668335,0.5453082919120789,0.2266903817653656,False,False,0.011933787725865841,False,False,0.00010000001930166036,False
26,1,0.03125,8.492366790771484,9.022354125976562,0.5299873352050781,1,8.492366790771484,inf,inf,0.05404168367385864,"0,0,0,-1,0,-1,-1,-1,-1,0,-1,-1","0,1,2,3",0.615871787071228,0.5446780920028687,0.5347075462341309,True,False,0.014959808439016342,False,False,0.00010000105248764157,True
27,1,0.03125,9.602143287658691,10.47856330871582,0.8764200210571289,1,9.602143287658691,inf,inf,0.13018321990966797,"0,0,0,-1,0,0,0,0,0,0,-1,0","0,1,2,3",0.4617732763290405,0.07141907513141632,0.9107033014297485,False,False,0.009021097794175148,False,False,0.00010000602196669206,False
