step,path_nll,gradient_norm
1.0,3.634739398956299,30.323543548583984
25.0,3.130408763885498,21.0703125
50.0,2.610604763031006,28.288719177246094
75.0,2.6155433654785156,16.204465866088867
100.0,2.2979135513305664,12.580387115478516
125.0,2.3060898780822754,12.570199966430664
150.0,2.3593592643737793,13.307051658630371
175.0,2.3724687099456787,7.995873928070068
200.0,2.183952808380127,8.890458106994629
225.0,2.3558597564697266,6.619961738586426
250.0,2.284019708633423,7.071754455566406
275.0,2.378084659576416,7.378910064697266
300.0,2.326721429824829,6.065149307250977
325.0,2.084385395050049,4.92525053024292
350.0,2.2204537391662598,5.926379203796387
375.0,2.076953411102295,3.663914680480957
400.0,2.1868491172790527,6.047423839569092
425.0,2.1750779151916504,4.153691291809082
450.0,2.1620702743530273,4.119112968444824
475.0,2.2217273712158203,4.172769546508789
500.0,2.190730571746826,2.9428646564483643
525.0,2.0163440704345703,2.5351669788360596
550.0,1.862764835357666,3.93631911277771
575.0,2.1099019050598145,2.9524335861206055
600.0,2.143500328063965,2.5580220222473145
625.0,2.2121763229370117,2.3896114826202393
650.0,2.289818048477173,3.61184024810791
675.0,2.180152654647827,2.6613075733184814
700.0,2.1554651260375977,3.405102491378784
725.0,2.043095588684082,2.2437124252319336
750.0,2.0639054775238037,2.7930078506469727
775.0,2.0928421020507812,2.4364471435546875
800.0,2.13360333442688,2.3781137466430664
825.0,2.1646885871887207,1.5951191186904907
850.0,2.1522698402404785,1.813689112663269
875.0,2.189948081970215,1.7542622089385986
900.0,2.1690938472747803,1.8965600728988647
925.0,2.158473491668701,2.1609315872192383
950.0,2.2241408824920654,2.2544620037078857
975.0,2.1112937927246094,1.3598358631134033
1000.0,2.2816309928894043,2.6515653133392334
1025.0,2.157172679901123,1.6952884197235107
1050.0,2.045497179031372,1.1575267314910889
1075.0,2.1664071083068848,1.8482533693313599
1100.0,2.118865489959717,1.6821346282958984
1125.0,2.1773929595947266,1.9934440851211548
1150.0,2.2099575996398926,2.156856060028076
1175.0,2.195507049560547,1.825396180152893
1200.0,2.0889081954956055,1.4084230661392212
1225.0,2.18310546875,2.2746145725250244
1250.0,2.1438302993774414,1.9577996730804443
1275.0,2.088097095489502,1.8114293813705444
1300.0,2.1251001358032227,1.3816624879837036
1325.0,2.139366626739502,1.083214521408081
1350.0,2.109650135040283,1.9473901987075806
1375.0,2.171781539916992,2.4288599491119385
1400.0,2.1078481674194336,1.3416130542755127
1425.0,2.1870641708374023,1.923891544342041
1450.0,2.116250514984131,1.1833972930908203
1475.0,2.01455020904541,1.0743926763534546
1500.0,2.230677843093872,2.109034299850464
1525.0,2.025773525238037,1.1389812231063843
1550.0,2.0512685775756836,1.2374961376190186
1575.0,2.135420322418213,2.170933961868286
1600.0,2.0554304122924805,1.4157021045684814
1625.0,2.1629788875579834,1.8836772441864014
1650.0,2.0838234424591064,1.3184775114059448
1675.0,2.0541796684265137,1.5276854038238525
1700.0,2.1330742835998535,1.6382791996002197
1725.0,2.067051887512207,1.8971861600875854
1750.0,2.107363700866699,1.7118459939956665
1775.0,2.007416248321533,1.6741515398025513
1800.0,2.1213178634643555,1.5631166696548462
1825.0,2.2009034156799316,1.269368290901184
1850.0,2.079509735107422,1.1761432886123657
1875.0,2.041046380996704,1.2560086250305176
1900.0,2.1502366065979004,1.139646291732788
1925.0,2.0445287227630615,0.9439833164215088
1950.0,2.1320042610168457,1.4340860843658447
1975.0,2.0415287017822266,1.3811177015304565
2000.0,2.0987768173217773,1.1651149988174438
