step,fixed_batch_velocity_mse
1,0.06276693940162659
100,0.053811073303222656
200,0.04083153232932091
300,0.0340648889541626
400,0.02467314898967743
500,0.016286879777908325
600,0.012434311211109161
700,0.008191173896193504
800,0.005657225847244263
900,0.004625973291695118
1000,0.0032199975103139877
1100,0.01165804173797369
1200,0.0019910905975848436
1300,0.0022469349205493927
1400,0.0016231290064752102
1500,0.0016181891551241279
1600,0.025469621643424034
1700,0.0011595427058637142
1800,0.0016220659017562866
1900,0.0007502375519834459
2000,0.0006948615191504359
2100,0.0007396684377454221
2200,0.0007099001668393612
2300,0.001357408706098795
2400,0.0005397173226810992
2500,0.0006296786013990641
2600,0.0004949521971866488
2700,0.0038564109709113836
2800,0.00124924851115793
2900,0.0006270799785852432
3000,0.0004214154032524675
3100,0.0032842238433659077
3200,0.0003097802400588989
3300,0.00042721242061816156
3400,0.00024943178868852556
3500,0.0008251830004155636
3600,0.000211205318919383
3700,0.0002029763418249786
3800,0.00021163912606425583
3900,0.00019376951968297362
4000,0.00030931667424738407
4100,0.0012328418670222163
4200,0.00039691347046755254
4300,0.00020531353948172182
4400,0.0005911297630518675
4500,0.00014751966227777302
4600,0.00011550109775271267
4700,0.00010039973858511075
4800,9.213331213686615e-05
4900,9.173977741738781e-05
5000,8.924878784455359e-05
