experiment,subspace,condition,final_training_loss,flow_mse_type,flow_mse_coord,flow_mse_lattice,type_decoded_composition_accuracy,geometry_endpoint_retrieval_accuracy,joint_endpoint_retrieval_accuracy,decoded_atom_type_accuracy,type_endpoint_reconstruction_rms,coordinate_endpoint_reconstruction_rms,lattice_endpoint_reconstruction_rms,generated_between_within_ratio,generated_nearest_centroid_accuracy,sampling_failure_count,type_criterion_pass,geometry_criterion_pass,joint_criterion_pass,between_within_criterion_pass,zero_failure_criterion_pass
endpoint_id_substrate,type,two_class_one_hot_endpoint_id,0.5561339855194092,0.5706745982170105,0.00043835389078594744,0.0024613940622657537,0.0,1.0,1.0,0.046875,0.7327410243451595,0.0,0.0,0.954953670501709,0.0,0,False,True,True,False,True
endpoint_id_substrate,geometry,two_class_one_hot_endpoint_id,1.5319929122924805,0.46968787908554077,0.05988230183720589,0.9314019680023193,1.0,0.5625,0.9375,1.0,0.0,0.29306750651448965,1.1326727196574211,1.1419928073883057,1.0,0,True,False,True,False,True
endpoint_id_substrate,joint,two_class_one_hot_endpoint_id,1.9342083930969238,0.8223806619644165,0.06833820044994354,0.8414692878723145,0.0,0.5625,0.625,0.03125,0.8571983985602856,0.2920824633911252,1.0941162705421448,0.8963993191719055,0.0,0,False,False,False,False,True
