subspace,time,quantity,pairwise_rms
geometry,0.0625,velocity_lattice_log,0.40485066175460815
geometry,0.125,state_type_logit,0.09166985005140305
geometry,0.125,state_fractional_coordinate,0.004203333519399166
geometry,0.125,state_lattice_log,0.05060633644461632
geometry,0.125,velocity_type_logit,0.3941437005996704
geometry,0.125,velocity_fractional_coordinate,0.031016310676932335
geometry,0.125,velocity_lattice_log,0.40485066175460815
geometry,0.1875,state_type_logit,0.09166985005140305
geometry,0.1875,state_fractional_coordinate,0.006141507066786289
geometry,0.1875,state_lattice_log,0.07590950280427933
geometry,0.1875,velocity_type_logit,0.3941437005996704
geometry,0.1875,velocity_fractional_coordinate,0.02934388257563114
geometry,0.1875,velocity_lattice_log,0.4048507511615753
geometry,0.25,state_type_logit,0.09166985005140305
geometry,0.25,state_fractional_coordinate,0.007974861189723015
geometry,0.25,state_lattice_log,0.10121268779039383
geometry,0.25,velocity_type_logit,0.3941437005996704
geometry,0.25,velocity_fractional_coordinate,0.027729135006666183
geometry,0.25,velocity_lattice_log,0.40485066175460815
geometry,0.3125,state_type_logit,0.09166985005140305
geometry,0.3125,state_fractional_coordinate,0.009706961922347546
geometry,0.3125,state_lattice_log,0.12651585042476654
geometry,0.3125,velocity_type_logit,0.3941437005996704
geometry,0.3125,velocity_fractional_coordinate,0.026174526661634445
geometry,0.3125,velocity_lattice_log,0.40485066175460815
geometry,0.375,state_type_logit,0.09166985005140305
geometry,0.375,state_fractional_coordinate,0.011341527104377747
geometry,0.375,state_lattice_log,0.15181900560855865
geometry,0.375,velocity_type_logit,0.3941437005996704
geometry,0.375,velocity_fractional_coordinate,0.02468109130859375
geometry,0.375,velocity_lattice_log,0.40485066175460815
geometry,0.4375,state_type_logit,0.09166985005140305
geometry,0.4375,state_fractional_coordinate,0.012882362119853497
geometry,0.4375,state_lattice_log,0.17712216079235077
geometry,0.4375,velocity_type_logit,0.3941437005996704
geometry,0.4375,velocity_fractional_coordinate,0.023248819634318352
geometry,0.4375,velocity_lattice_log,0.40485066175460815
geometry,0.5,state_type_logit,0.09166985005140305
geometry,0.5,state_fractional_coordinate,0.014333309605717659
geometry,0.5,state_lattice_log,0.20242531597614288
geometry,0.5,velocity_type_logit,0.3941437005996704
geometry,0.5,velocity_fractional_coordinate,0.021877070888876915
geometry,0.5,velocity_lattice_log,0.40485066175460815
geometry,0.5625,state_type_logit,0.09166985005140305
geometry,0.5625,state_fractional_coordinate,0.015698174014687538
geometry,0.5625,state_lattice_log,0.227728471159935
geometry,0.5625,velocity_type_logit,0.3941437005996704
geometry,0.5625,velocity_fractional_coordinate,0.020564785227179527
